probe_id	gene_symbol
TC0100008366.hg.1	DIO1
TC0100017107.hg.1	IL10
TC0200006480.hg.1	TPO
TC0200010525.hg.1	CTLA4
TC0200013323.hg.1	CD8A
TC0200013324.hg.1	CD8B
TC0200013925.hg.1	PAX8
TC0200015242.hg.1	STAT1
TC0200016382.hg.1	PDCD1
TC0300008385.hg.1	TIGIT
TC0400007836.hg.1	CXCL8
TC0400007918.hg.1	CXCL13
TC0400010961.hg.1	JCHAIN
TC0400011052.hg.1	CXCL9
TC0400011053.hg.1	CXCL10
TC0400011054.hg.1	CXCL11
TC0500012017.hg.1	IRF1
TC0500012205.hg.1	MZB1
TC0500012455.hg.1	CSF1R
TC0500012470.hg.1	CD74
TC0500013388.hg.1	HAVCR2
TC0600007495.hg.1	HLA-A
TC0600007599.hg.1	HLA-B
TC0600007650.hg.1	HLA-DRA
TC0600007657.hg.1	HLA-DQA1
TC0600007677.hg.1	HLA-DPB1
TC0600011438.hg.1	LTB
TC0600011441.hg.1	HLA-B
TC0600011443.hg.1	HLA-B
TC0600011499.hg.1	HLA-DQB1
TC0600011507.hg.1	PSMB8
TC0600011508.hg.1	TAP1
TC0600011517.hg.1	HLA-DPA1
TC0600014109.hg.1	PSMB8
TC0600014110.hg.1	PSMB9
TC0600014257.hg.1	HLA-C
TC0600014258.hg.1	HLA-B
TC0600014261.hg.1	HLA-B
TC0600014262.hg.1	HLA-B
TC0600014273.hg.1	HLA-DRB1
TC0600014275.hg.1	TAP2
TC0800008946.hg.1	TG
TC0800010558.hg.1	TOX
TC0900006559.hg.1	CD274
TC0900006560.hg.1	PDCD1LG2
TC0900009915.hg.1	CCL19
TC0900009916.hg.1	CCL21
TC0X00007529.hg.1	CD79A
TC1000006912.hg.1	MRC1
TC1000010925.hg.1	PRF1
TC1100007771.hg.1	MS4A1
TC1200006644.hg.1	LAG3
TC1200011177.hg.1	IFNG
TC1200012748.hg.1	CD163
TC1200012749.hg.1	CD163
TC1400006566.hg.1	TOX
TC1400007804.hg.1	TSHR
TC1400008764.hg.1	GZMB
TC1400010734.hg.1	NKX2-1
TC1400010772.hg.1	DIO2
TC1500007097.hg.1	B2M
TC1500010731.hg.1	B2M
TC1600006888.hg.1	CIITA
TC1600007528.hg.1	ITGAM
TC1600007530.hg.1	ITGAM
TC1600007986.hg.1	NLRC5
TC1600010316.hg.1	TOX
TC1700010230.hg.1	TGFB1
TC1700011430.hg.1	CD79B
TC1700012191.hg.1	CD68
TC1900007352.hg.1	SLC5A5
TC1900008166.hg.1	CD79A
TC1900010743.hg.1	TGFB1
TC2000007441.hg.1	TOX
