cluster_1,,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
CALCB,RAMP3,,,,,,,,,
APELA,APLNR,,,,,,,,,
CCL17,CCR4,,,,,,,,,
CCL22,CCR4,,,,,,,,,
CCL20,CCR6,,0.016,,,0.004,,,,
CCL19,CCR7,1.0,0.0,,0.0,0.0,,,,
CCL21,CCR7,0.85,0.0,,0.396,0.138,,,,
SAA1,FPR2,0.0,0.072,,1.0,1.0,,,,
RSPO3,LGR5,,,,,,,,,
NMU,NMUR2,,,,,,,,,
SST,SSTR1,,,,,,,,,
SST,SSTR2,,,,,,,,,
TNF,HMOX1,,,,1.0,0.0,,,,
HLA-DRA,LGMN,1.0,0.0,,0.0,0.0,,,,
HLA-DRB5,LGMN,1.0,0.0,,0.0,0.0,,,,
HLA-DQA2,LGMN,1.0,0.0,,0.0,0.0,,,,
HLA-DRB1,LGMN,1.0,0.0,,0.0,0.0,,,,
HLA-DQB2,LGMN,,,,0.15,0.0,,,,
LAMA3,ITGA6,0.0,1.0,,1.0,1.0,,,,
VEGFD,KDR,,,,,,,,,
CTSG,C3,,,,0.002,0.996,,,,
CGA,TSHR,,,,,,,,,
VEGFA,FLT1,0.96,0.482,,0.018,0.036,,,,
PLAUR,PLAU,0.918,0.12,,0.18,0.072,,,,
OSM,LIFR,,,,0.014,0.054,,,,
VEGFA,KDR,0.972,0.39,,0.018,0.026,,,,
KDR,VEGFA,0.972,0.018,,0.39,0.026,,,,
HLA-G,CD160,,,,,,,,,
EDN1,EDNRB,0.792,0.132,,0.396,0.2,,,,
LAMA4,ITGA6,0.086,1.0,,0.0,0.902,,,,
VWF,GP9,,,,,,,,,
VEGFD,FLT4,,,,,,,,,
CCL2,CCR4,,,,,,,,,
TG,TPO,,0.104,,,0.654,,,,
HLA-G,KLRC1,,,,0.16,0.116,,,,
MMP9,LRP1,1.0,0.0,,0.516,0.0,,,,
MMRN2,CD93,1.0,0.0,,0.89,0.0,,,,
TSPAN1,ITGA6,0.0,1.0,,1.0,1.0,,,,
MMRN2,CLEC14A,0.436,0.226,,0.842,0.556,,,,
SAA1,CD36,0.0,0.0,,1.0,1.0,,,,
LY6H,CD36,,,,0.164,0.02,,,,
CCL11,ACKR1,,,,0.004,,,,,
CCL13,ACKR1,1.0,,,0.0,,,,,
CCL14,ACKR1,0.472,,,0.096,,,,,
CCL17,ACKR1,0.996,,,0.0,,,,,
CCL2,ACKR1,1.0,,,0.0,,,,,
CCL5,ACKR1,1.0,,,0.0,,,,,
CXCL8,ACKR1,0.454,,,0.368,,,,,
PPBP,ACKR1,,,,,,,,,
CXCL1,ACKR1,0.0,,,1.0,,,,,
CXCL2,ACKR1,0.546,,,0.272,,,,,
CXCL13,ACKR4,,0.446,,,0.0,,,,
CCL5,CCR4,,,,,,,,,
DEFB1,CCR6,,,,,0.002,,,,
CCL23,FPR2,,,,0.0,0.002,,,,
DCN,KDR,1.0,0.686,,0.0,0.0,,,,
GREM1,KDR,1.0,0.468,,0.0,0.0,,,,
APOE,LDLR,1.0,0.99,,0.0,0.0,,,,
MDK,LRP1,0.0,0.0,,1.0,0.998,,,,
DLK1,NOTCH3,,,,,,,,,
DLL4,NOTCH3,0.998,0.0,,0.434,0.002,,,,
DLL1,NOTCH4,0.264,0.34,,0.858,0.728,,,,
JAG1,NOTCH4,0.0,0.23,,1.0,1.0,,,,
DLK1,NOTCH4,,,,,,,,,
TNFSF14,TNFRSF6B,0.0,1.0,,0.098,1.0,,,,
SCT,RAMP2,,,,0.008,0.016,,,,
SCT,RAMP3,,,,0.008,0.176,,,,
SCT,TSHR,,,,,,,,,
COMP,CD36,0.998,0.018,,0.022,0.002,,,,
CCL2,ACKR4,,0.416,,,0.0,,,,
CCL13,ACKR4,,0.998,,,0.0,,,,
CXCL6,ACKR1,0.134,,,0.592,,,,,
CEACAM6,STAB1,,,,,,,,,
THBS1,ITGA6,0.0,1.0,,1.0,1.0,,0.0,0.006,
THBS1,CD36,0.0,0.0,,1.0,1.0,,0.0,0.0,
VWF,SCARA5,,,,,,,,,
FGF7,FGFR4,,,,,,,,,
PTH2,TSHR,,,,,,,,,
TFF2,MUC6,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,
S100A1,RYR2,,,,,,,,,
SCGB3A1,MARCO,,,,,,,,,
ANGPTL4,GPIHBP1,,,,,,,,,
ANGPTL4,TIE1,1.0,0.05,,0.002,0.0,,,,
IGF1,INSR,,,,0.158,0.012,,,,
PCSK9,LDLR,,,,,,,,,
CXCL11,ACKR1,0.834,,,0.088,,,,,
ANGPT2,TIE1,0.974,0.04,,0.104,0.024,,,,
CALCA,TSHR,,,,,,,,,
THBS2,NOTCH4,1.0,0.602,,0.0,0.0,,,,
THBS2,ITGA6,0.968,1.0,,0.0,0.02,,,,
THBS2,CD36,1.0,0.048,,0.0,0.0,,,,
S100A8,CD36,1.0,0.034,,0.0,0.0,,,,
S100A12,CD36,,,,,,,,,
S100A9,CD36,1.0,0.082,,0.0,0.0,,,,
CALCB,TSHR,,,,,,,,,
MDK,ITGA6,0.0,1.0,,1.0,1.0,,,,
ADM,TSHR,,,,,,,,,
CGA,RAMP3,,,,,,,,,
CXCL8,CD79A,,0.168,,,0.31,,,,
PTH2,RAMP3,,,,,,,,,
APOE,LRP1,1.0,0.0,,0.0,0.0,,,,
PCSK9,LRP1,,,,,,,,,
THBS1,LRP1,0.194,0.0,,1.0,0.852,,0.0,0.0,
VWF,LRP1,1.0,0.0,,0.006,0.0,,,,
CGA,RAMP2,,,,,,,,,
CCL11,ACKR4,,,,,0.012,,,,
CCL7,ACKR4,,,,,0.142,,,,
CCL8,ACKR4,,0.388,,,0.0,,,,
S100A9,CD68,1.0,0.0,,0.0,0.0,,,,
S100A8,CD68,1.0,0.0,,0.0,0.0,,,,
PTH2,RAMP2,,,,,,,,,
TNF,FLT4,,,,0.462,0.332,,,,
THBS2,NOTCH3,1.0,0.004,,0.0,0.0,,,,
SCGB3A1,NOTCH3,,,,,,,,,
CXCL8,KDR,0.62,0.358,,0.374,0.356,,,,
CXCL9,FCGR2A,1.0,0.0,,0.0,0.0,,,,
VEGFD,FLT1,,,,,,,,,
TNF,ICOS,,,,0.486,0.0,,,,
IL6,F3,0.0,1.0,,0.216,1.0,,,,
CXCL12,CCR4,,,,,,,,,
CCL3,CCR4,,,,,,,,,
PTN,PTPRB,0.648,0.484,,0.252,0.352,,,,
CCL8,ACKR1,0.998,,,0.0,,,,,
EDN1,ADGRL4,0.96,0.04,,0.406,0.04,,,,
MDK,TSPAN1,0.0,1.0,,1.0,1.0,,,,
CCL1,ACKR1,,,,,,,,,
IGF1,ITGA6,,,,0.028,1.0,,,,
CCL18,ACKR1,1.0,,,0.0,,,,,
CXCL3,ACKR1,0.752,,,0.122,,,,,
CXCL5,ACKR1,0.0,,,1.0,,,0.004,,
CXCL9,ACKR1,1.0,,,0.0,,,,,
CXCL10,ACKR1,1.0,,,0.0,,,,,
CXCL13,ACKR1,1.0,,,0.0,,,,,
CCL7,ACKR1,,,,0.132,,,,,
SPP1,ITGB6,,,,,,,,,
ANGPTL4,CDH5,1.0,0.018,,0.002,0.0,,,,
ANGPTL4,CDH11,1.0,0.0,,0.002,0.0,,,,
SLC1A2,GRIA1,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,
APOE,TYROBP,1.0,0.0,,0.0,0.0,,,,
CCL20,ACKR4,,0.272,,,0.038,,,,
FAM3D,FPR2,,,,,,,,,
HLA-G,KLRD1,,,,0.172,0.0,,,,
FGFR4,MCAM,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,
IL2,DLK1,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,
DCN,LRP1,1.0,0.0,,0.0,0.0,,,,
IFNG,MPL,,,,,,,,,
TPO,MPL,,,,,,,,,
HAPLN1,IL1RL1,0.054,0.928,,0.662,0.946,,,,
SEMA3G,FCGR2A,,,,0.426,0.0,,,,
VCAM1,VCAM1,0.996,0.004,,0.004,0.004,,,,
CCL5,ACKR4,,1.0,,,0.0,,,,
FLT4,FCRL1,,,,,,,,,
CRLF1,LIFR,,,,0.266,0.46,,,,
PCSK9,CD36,,,,,,,,,
THBS1,GP9,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,
VCAN,LDLR,1.0,0.97,,0.0,0.0,,,,
CEACAM5,CEACAM6,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,
CCN1,ITGA6,0.0,1.0,,1.0,1.0,,,,
CCL3L1,CCR4,,,,,,,,,
CTSG,CXCL12,,,,1.0,0.0,,,,
KDR,FLT1,0.6,0.448,,0.352,0.386,,,,
KDR,CDH5,0.976,0.018,,0.38,0.024,,,,
CXCL8,MMP9,0.574,0.42,,0.372,0.404,,,,
CCL22,CCR7,1.0,0.0,,0.05,0.0,,,,
FLT4,KDR,0.71,0.366,,0.316,0.286,,,,
KDR,FLT4,0.71,0.316,,0.366,0.286,,,,
THBS1,MMP2,0.26,0.0,,1.0,0.79,,0.0,0.0,
NPPA,MME,,,,,,,,,
THBS1,MMP9,0.0,0.334,,1.0,1.0,,0.0,0.0,
SFTPA1,SFTPA2,,,,,,,,,
KDR,PLCG2,0.99,0.008,,0.386,0.01,,,,
IFNG,TNF,,,,,0.05,,,,
PRSS3,F2RL3,,,,,,,,,
CSF1,TNF,,0.516,,,0.014,,,,
KDR,HSP90AA1,0.016,0.976,,0.29,0.97,,,,
THBS1,ELANE,,,,,,,,,
AREG,MMP9,0.0,0.356,,1.0,1.0,,,,
IL1RN,IL2RA,1.0,0.0,,0.06,0.0,,,,
CCL1,ACKR4,,,,,,,,,
CTSG,F2RL3,,,,0.022,0.0,,,,
PRSS2,F2RL3,,,,,,,,,
PRSS1,F2RL3,,,,,,,,,
THBS4,CD36,0.972,0.016,,0.446,0.028,,,,
MDK,PTPRB,0.0,0.172,,1.0,1.0,,,,
CSF2,CSF2,0.556,0.784,0.0,0.784,0.776,0.0,0.0,0.0,0.0
IFNG,IFNG,,,,,0.014,,,,
IL13,IL13,,,,,,,,,
IL1A,IL1B,0.0,0.996,,1.0,1.0,,,,
IL1B,IL1B,0.002,0.998,,0.998,0.998,,,,
IL1RN,IL1B,0.574,0.998,,0.054,0.398,,,,
IL2,IL2,,,,,,,,,
IL22,IL22,,,,,,,,,
IL6,IL6,0.694,0.292,,0.292,0.292,,,,
CLU,TYROBP,1.0,0.0,,0.998,0.0,,,,
ICOS,CD40LG,,0.008,,,0.0,,,,
CCL26,CXCR6,,,,0.076,0.0,,,,
VEGFA,MMP9,0.912,0.428,,0.018,0.076,,,,
OSM,CXCL10,,,,0.032,0.0,,,,
THBS1,VCAM1,0.0,0.002,,1.0,1.0,,0.0,0.0,
IFNG,TYMS,,,,0.008,0.97,,,,
CSF1,VEGFA,0.996,0.022,,0.01,0.004,,,,
VEGFA,CSF1,0.996,0.01,,0.022,0.004,,,,
CSF2,FLT1,0.556,0.448,,0.776,0.708,,0.0,0.0,
IFNG,CD74,,,,0.316,0.0,0.064,,,
CCL1,CCR7,,,,,,,,,
IL6,IL17A,,,,,,,,,
IL10,PTGS2,,,,,,,,,
CXCL1,CXCR6,0.09,0.0,,1.0,0.9,,,,
VWF,THBS1,0.0,1.0,0.0,0.002,1.0,0.0,,,
XCL2,CCR7,,,,0.122,0.0,,,,
XCL1,CCR4,,,,,,,,,
CSF2,PLAU,0.86,0.112,,0.788,0.242,,0.0,0.0,
STC1,TNF,,0.464,,,0.32,,,,
CSF2,CD1A,,0.048,,,0.742,,,0.0,
CSF2,MMP9,0.56,0.418,,0.776,0.58,,0.0,0.0,
IFNG,PTGS2,,,,,0.024,,,,
CXCL8,CCR6,,0.014,,,0.148,,,,
CTSG,THBD,,,,0.072,0.0,,,,
CCL2,TNF,,0.614,,,0.0,,,,
IL13,CXCL12,,,,,,,,,
IL10,VEGFA,,,,,,,,,
PPBP,CCR4,,,,,,,,,
CXCL2,CXCR6,0.998,0.0,,0.296,0.002,,,,
CXCL13,CCR6,,0.018,,,0.0,,,,
IL2,CXCL12,,,,,,,,,
IL6,VEGFA,0.978,0.018,,0.318,0.02,,,,
CCL8,CCR4,,,,,,,,,
CD40LG,C3,,,,0.006,0.994,,,,
CXCL14,CCR7,,,,,,,,,
CXCL11,CCR6,,0.016,,,0.038,,,,
CXCL11,CXCR6,0.994,0.0,,0.098,0.004,,,,
CXCL12,CCR6,,0.08,,,0.0,,,,
CXCL9,CCR4,,,,,,,,,
IL2,IDO1,,,,,,,,,
CCL1,CXCR6,,,,,,,,,
CCL11,PIK3C2G,,,,,,,,,
IL1B,PLAUR,0.316,0.16,,0.998,0.656,,,,
CCL7,CCR7,,,,0.194,0.0,,,,
XCL1,CCR7,,,,0.114,0.0,,,,
CSF3,MMP9,0.146,0.41,,0.988,0.844,,,,
IL1B,CSF1,0.602,0.006,,0.998,0.382,,,,
CSF2,CDH11,1.0,0.0,,0.822,0.0,,0.0,0.0,
ADIPOQ,TNF,,,,,,,,,
TNF,CDK6,,,,0.4,0.956,,,,
CCL4,CCR7,1.0,0.0,,0.0,0.0,,,,
CXCL1,CCR7,0.006,0.0,,1.0,0.986,,,,
CCL13,CCR6,,0.048,,,0.0,,,,
CXCL8,CCR7,0.942,0.0,,0.394,0.058,,,,
IFNG,PIGR,,,,,,,,,
CALCA,CDH11,,,,,,,,,
CCL15,CCR6,,,,,0.008,,,,
CSF3,TNF,,0.386,,,0.984,,,,
CXCL2,CCR7,0.968,0.0,,0.288,0.03,,,,
CXCL12,MMP13,,1.0,,,0.0,,,,
CXCL12,CXCR6,1.0,0.0,,0.0,0.0,,,,
PPBP,CXCR6,,,,,,,,,
IL22,MMP1,,,,,,,,,
CD40LG,PTGS2,,,,,0.056,,,,
CCL5,MMP9,1.0,0.578,,0.0,0.0,,,,
RELN,ITGB6,,,,,,,,,
IFNG,CTSL,,,,0.1,0.0,,,,
CCL17,CCR6,,0.016,,,0.0,,,,
IFNG,CTSK,,,,0.034,0.0,,,,
CCL13,CXCR6,1.0,0.0,,0.0,0.0,,,,
IFNG,CD40LG,,,,,0.006,,,,
TNF,PTGS2,,,,,0.412,,,,
IL1A,ITGA6,0.0,1.0,,0.998,1.0,,,,
IL6,NOTCH3,1.0,0.0,,0.342,0.0,,,,
IL1B,PTGS2,,0.264,,,0.992,,,,
IFNG,TPO,,,,,0.004,,,,
IGF1,HMOX1,,,,0.394,0.0,,,,
SAA1,MMP9,0.0,0.298,,1.0,1.0,,,,
CXCL11,CCR7,0.986,0.0,,0.094,0.012,,,,
CCL4,CXCR6,1.0,0.0,,0.0,0.0,,,,
CCL2,CXCR6,1.0,0.0,,0.0,0.0,,,,
COMP,ITGA6,0.0,1.0,,0.004,1.0,,,,
CXCL3,CXCR6,1.0,0.0,,0.14,0.0,,,,
CCL20,CXCR6,1.0,0.0,,0.064,0.0,,,,
CCL18,CCR6,,0.088,,,0.0,,,,
IFNG,KLRD1,,,,0.014,0.0,,,,
FLT4,FLT1,0.644,0.448,,0.32,0.344,,,,
CCL3,CXCR6,1.0,0.0,,0.0,0.0,,,,
CXCL2,CCR6,,0.014,,,0.094,,,,
CSF2,CEACAM5,,,,,,,,,
FGF7,SFTPA1,,,,,,,,,
VEGFA,PDGFRB,1.0,0.0,,0.022,0.0,,,,
CCL1,CCR4,,,,,,,,,
IL1B,MMP9,0.112,0.41,,0.996,0.872,,,,
CCL3L1,CCR6,,0.018,,,0.0,,,,
CCL14,CCR6,,0.014,,,0.006,,,,
CCL2,VEGFA,1.0,0.024,,0.0,0.0,,,,
XCL1,CXCR6,,,,0.114,0.0,,,,
XCL2,CCR4,,,,,,,,,
IL17A,TNF,,,,,,,,,
CCL18,CXCR6,1.0,0.0,,0.0,0.0,,,,
TPSAB1,MMP2,,,,0.02,0.0,,,,
CCL13,CCR7,1.0,0.0,,0.0,0.0,,,,
IFNG,LOX,,,,0.022,0.0,,,,
IL17A,MMP9,,,,,,,,,
CXCL10,CXCR6,1.0,0.0,,0.0,0.0,,,,
CCL20,CCR4,,,,,,,,,
CCL7,CXCR6,,,,0.218,0.0,,,,
CD40LG,VEGFA,,,,0.008,0.01,,,,
CSF3,BIRC3,0.094,0.57,,0.98,0.882,,,,
XCL2,CXCR6,,,,0.134,0.0,,,,
IL20,PTGS2,,,,,0.262,,,,
IL6,MMP9,0.624,0.42,,0.288,0.352,,,,
CCL8,CXCR6,1.0,0.0,,0.0,0.0,,,,
CCL21,CCR4,,,,,,,,,
IL12B,CXCL9,,,,,,,,,
NPPA,TNF,,,,,,,,,
IL1B,MMP3,,0.086,,,0.994,,,,
CCL7,CCR4,,,,,,,,,
CCL14,CCR7,1.0,0.0,,0.136,0.0,,,,
PPBP,CCR6,,,,,,,,,
TNF,CXCL10,,,,0.998,0.0,,,,
IL6,HMOX1,1.0,0.0,,0.438,0.0,,,,
CCL22,CCR6,,0.016,,,0.002,,,,
CCL2,F3,0.292,1.0,,0.0,0.672,,,,
MDK,VEGFA,0.0,0.008,,1.0,1.0,,,,
IL2,FCER2,,,,,,,,,
LEP,FLT1,,,,,,,,,
CXCL14,CCR6,,,,,,,,,
SPARC,MMP14,1.0,0.01,0.0,0.0,0.0,0.0,,,
IL10,CD14,,,,,,,,,
IL1A,CSF1,0.266,0.006,,1.0,0.716,,,,
IL2,HSP90AA1,,,,,,,,,
CCL5,CCR6,,0.108,,,0.0,,,,
CCL2,CCR6,,0.018,,,0.0,,,,
CSF2,MMP14,0.996,0.0,0.0,0.812,0.02,0.0,0.0,0.0,0.0
PI3,TNF,,0.458,,,0.482,,,,
OSM,PTGS2,,,,,0.016,,,,
FGF7,PDGFRA,1.0,0.0,,0.0,0.0,,,,
CCL13,CCR4,,,,,,,,,
COL6A3,ITGA6,1.0,1.0,,0.0,0.0,,,,
CCL3,CCR7,1.0,0.0,,0.0,0.0,,,,
COMP,ITGB6,,,,,,,,,
IGFBP2,CD24,0.0,1.0,,0.0,1.0,,,,
IL6,PTGS2,,0.306,,,0.268,,,,
IFNG,CXCL9,,,,0.076,0.0,,,,
CSF3,CXCL12,1.0,0.0,,0.996,0.0,,,,
IGF1,FLT4,,,,0.134,0.216,,,,
IL1B,PTGDS,0.892,0.0,,0.998,0.1,,,,
FGFR4,MMP9,,,,,,,,,
CXCL9,CCR7,1.0,0.0,,0.0,0.0,,,,
IGF1,PDGFRB,,,,0.198,0.0,,,,
S100B,BIRC3,0.486,0.582,,0.154,0.486,,,,
VEGFA,PDGFRA,1.0,0.0,,0.022,0.0,,,,
IL17A,CXCL12,,,,,,,,,
COL6A3,ITGB6,,,,,,,,,
OLR1,MMP3,,0.154,,,0.0,,,,
CD160,KLRD1,,,,,,,,,
CCL22,CXCR6,1.0,0.0,,0.058,0.0,,,,
CXCL1,CCR4,,,,,,,,,
LAMA3,ITGB6,,,,,,,,,
IL2,TNFRSF9,,,,,,,,,
TNF,INSR,,,,0.512,0.03,,,,
IL6,TSHR,,,,,,,,,
CXCL6,CXCR6,1.0,0.0,,0.682,0.0,,,,
LEP,F3,,,,,,,,,
CCL1,CCR6,,,,,,,,,
CCL2,CCR7,1.0,0.0,,0.0,0.0,,,,
CCL26,CCR4,,,,,,,,,
CXCL9,CCR6,,0.064,,,0.0,,,,
CCL8,CCR7,1.0,0.0,,0.0,0.0,,,,
CD40LG,F3,,,,0.006,1.0,,,,
CXCL10,CCR7,1.0,0.0,,0.0,0.0,,,,
FGF7,PDGFRB,1.0,0.0,,0.0,0.0,,,,
CCL17,CXCR6,1.0,0.0,,0.0,0.0,,,,
CXCL12,MMP9,1.0,0.556,,0.0,0.0,,,,
CXCL3,CCR4,,,,,,,,,
IGF1,FLT1,,,,0.128,0.334,,,,
IL13,MUC5AC,,,,,,,,,
CXCL14,CCR4,,,,,,,,,
OSM,F3,,,,0.006,1.0,,,,
CCL4,CCR6,,0.048,,,0.0,,,,
HLA-G,KLRC2,,,,,,,,,
CSF2,TNF,,0.458,,,0.782,,,0.0,
IGF1,FGFR2,,,,,,,,,
CCL3,CCR6,,0.02,,,0.0,,,,
IFNG,CCR6,,,,,0.0,,,,
CXCL6,CCR7,0.994,0.0,,0.644,0.006,,,,
CCL4,CCR4,,,,,,,,,
CCL23,CCR6,,,,,0.0,,,,
CCL14,CCR4,,,,,,,,,
OSM,ADAMTS4,,,,0.016,0.0,,,,
ADM,HMOX1,1.0,0.0,,0.986,0.0,,,,
CCL8,CCR6,,0.018,,,0.0,,,,
IL6,INSR,0.984,0.022,,0.324,0.012,,,,
CCL3L1,CCR7,1.0,0.0,,0.0,0.0,,,,
DKK1,LRP1,0.964,0.0,,1.0,0.034,,,,
IGF1,KDR,,,,0.132,0.214,,,,
CXCL6,CCR4,,,,,,,,,
CCL21,CXCL10,1.0,0.0,,0.434,0.0,,,,
CCL26,CCR6,,,,,0.006,,,,
CCL7,CCR6,,,,,0.008,,,,
IL10,CSF1,,,,,,,,,
THBS1,ITGB6,,,,,,,,,
PRSS1,PRSS2,,,,,,,,,
IL17F,CXCL10,,,,,,,,,
VEGFA,CDH5,0.998,0.018,,0.02,0.002,,,,
THBS4,ITGB6,,,,,,,,,
TNF,MUC5AC,,,,,,,,,
CCL5,CXCR6,1.0,0.0,,0.0,0.0,,,,
CCL18,CCR7,1.0,0.0,,0.0,0.0,,,,
IL2,C3,,,,,,,,,
CSF2,CD1C,,0.022,,,0.756,,,0.0,
IL1A,PLAU,0.212,0.108,,1.0,0.77,,,,
CXCL5,CCR6,,0.004,,,1.0,,,0.004,
CCN1,IL17A,,,,,,,,,
CCL21,CCR6,,0.014,,,0.238,,,,
CXCL10,CCR6,,0.034,,,0.0,,,,
CSF2,CPE,0.968,0.002,,0.792,0.114,,0.0,0.0,
IL1B,LDLR,0.002,0.934,,0.996,0.998,,,,
SPP1,ITGA6,0.17,1.0,,0.0,0.792,,,,
CXCL2,CCR4,,,,,,,,,
VWF,ITGB6,,,,,,,,,
EDN1,MMP1,0.998,0.002,,0.416,0.002,,,,
VEGFA,VCAM1,1.0,0.004,,0.02,0.0,,,,
S100B,TNF,,0.466,,,0.21,,,,
IL13,PTGS2,,,,,,,,,
CCL26,CCR7,,,,0.066,0.0,,,,
CD40LG,VCAM1,,,,0.01,0.0,,,,
TNF,F3,,,,0.294,1.0,,,,
IL17A,PTGS2,,,,,,,,,
CXCL1,CCR6,,0.008,,,1.0,,,,
CXCL14,CXCR6,,,,,,,,,
IFNG,VCAM1,,,,0.018,0.0,,,,
TNF,PIGR,,,,,,,,,
CCL5,CXCL12,1.0,0.0,,0.0,0.0,,,,
IL10,DCN,,,,,,,,,
CXCL8,CXCR6,0.984,0.0,,0.404,0.014,,,,
EDN1,MCAM,0.0,1.0,,0.29,1.0,,,,
IL1B,VEGFA,0.644,0.018,,0.998,0.338,,,,
CSF3,PLAUR,0.322,0.162,,0.986,0.632,,,,
ADIPOQ,WIF1,,,,,,,,,
IL1B,MMP1,0.66,0.002,,0.998,0.328,,,,
CSF2,MMP1,0.976,0.002,,0.794,0.054,,0.0,0.0,
CCL15,CCR7,,,,0.02,0.0,,,,
CCL23,CCR4,,,,,,,,,
VEGFD,PDGFRB,,,,,,,,,
CSF2,FCER2,,,,,,,,,
IL12B,TNF,,,,,,,,,
IGFBP3,MMP14,1.0,0.0,0.0,0.0,0.0,0.0,,,
THBS2,ITGB6,,,,,,,,,
CCL23,CCR7,,,,0.0,0.0,,,,
SPP1,PLAU,1.0,0.136,,0.0,0.0,,,,
VEGFA,FLT4,0.984,0.346,,0.018,0.016,,,,
LAMA4,ITGB6,,,,,,,,,
CCL11,CXCR6,,,,0.008,0.0,,,,
CCL19,CCR6,,0.018,,,0.0,,,,
IL1A,CXCL12,1.0,0.0,,1.0,0.0,,,,
TNF,MMP13,,,,,0.296,,,,
PPBP,CCR7,,,,,,,,,
CXCL12,GZMB,1.0,0.0,,0.0,0.0,,,,
IGF1,PDGFRA,,,,0.194,0.0,,,,
IFNG,CSF1,,,,0.016,0.002,,,,
VEGFD,PDGFRA,,,,,,,,,
SST,F3,,,,,,,,,
IL12B,GZMB,,,,,,,,,
TNF,CHI3L1,,,,0.508,0.0,,,,
CCL5,CCR7,1.0,0.004,,0.0,0.0,,,,
IFNG,IDO1,,,,0.014,0.0,,,,
IL2,GZMB,,,,,,,,,
IGF1,VEGFA,,,,0.158,0.012,,,,
CCL11,CCR4,,,,,,,,,
CXCL13,CCR7,1.0,0.0,,0.0,0.0,,,,
FGF7,PLAU,0.99,0.124,,0.0,0.006,,,,
CCL5,TNFRSF4,1.0,0.034,,0.0,0.0,,,,
IL6,KDR,0.734,0.364,,0.288,0.256,,,,
IFNG,CXCL12,,,,0.13,0.0,,,,
DCN,VEGFA,1.0,0.046,,0.0,0.0,,,,
IL1B,CXCL10,1.0,0.0,,1.0,0.0,,,,
XCL1,CCR6,,,,,0.002,,,,
THBS4,ITGA6,0.0,1.0,,0.202,1.0,,,,
TNF,CDH11,,,,0.87,0.0,,,,
IL6,CCR7,0.996,0.0,,0.308,0.004,,,,
CXCL3,CCR7,0.998,0.0,,0.132,0.002,,,,
IFNG,CXCL10,,,,0.036,0.0,,,,
S100A8,MMP1,1.0,0.006,,0.0,0.0,,,,
FGF7,SFTPA2,,,,,,,,,
ADIPOQ,CXCL12,,,,,,,,,
SAA1,F3,0.0,1.0,,1.0,1.0,,,,
IL6,CXCL12,1.0,0.0,,0.588,0.0,,,,
CCL21,CXCR6,0.954,0.0,,0.396,0.028,,,,
CCL14,CXCR6,1.0,0.0,,0.158,0.0,,,,
CCL11,CCR7,,,,0.008,0.0,,,,
CXCL12,CCR7,1.0,0.0,,0.0,0.0,,,,
