cluster_1,,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
cluster_2,,Malignant cell,Myeloid cell,T cell,Malignant cell,Myeloid cell,T cell,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,
CCL2,MMP14,0.372599966242861,0.4709273191072997,1.925199554691077,0.4844097515948037,0.5827371044592424,2.03700934004302,0.0,0.0,0.0
TNFSF9,TNFRSF9,0.03762305372294729,0.05676912457901842,0.0,0.027764022883708175,0.04691009373977931,0.0,0.0,0.0,0.0
SHH,PTCH1,0.006577256313834909,0.013350848035905291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.00658916821652864,0.013362759938599022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.45245225556428875,0.5317293315437863,0.0,0.25982153227348054,0.3390986082529781,0.0,0.0,0.0,0.0
HLA-DRB5,CTSL,0.41961944648594407,0.8441801016748736,0.0,0.8080415316883887,1.232602186877318,0.0,0.0,0.0,0.0
HLA-DQA2,CTSL,0.2596040756091524,0.6841647307980818,0.0,0.5519071793896906,0.9764678345786201,0.0,0.0,0.0,0.0
HLA-DRB1,CTSL,0.8927725466430381,1.3173332018319677,0.0,1.4442723908789152,1.8688330460678446,0.0,0.0,0.0,0.0
IL2,IL2RA,0.06193072788602998,0.2776717397993068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.19368532546356984,0.6182459806524992,0.0,0.2050462958768084,0.6296069510657378,0.0,0.0,0.0,0.0
HLA-DRA,CTSL,1.3190770734170147,1.7436377286059441,0.0,2.0700287154206047,2.494589370609534,0.0,0.0,0.0,0.0
IL1RN,IL1R2,0.12299823572259813,0.11714286400210878,0.0,0.17806378881460438,0.17220841709411505,0.0,0.0,0.0,0.0
IL1B,IL1R2,0.08741969044036751,0.08156431871987817,0.0,0.0395859707337312,0.03373059901324185,0.0,0.0,0.0,0.0
