ligand_receptor,cluster_pair,mean,pval
"('CSF2', 'CSF2')","('T cell', 'T cell')",3.6641464233398438,0.0
"('CSF2', 'MMP14')","('T cell', 'T cell')",3.6641464233398438,0.0
"('SPARC', 'MMP14')","('Myeloid cell', 'T cell')",3.154193772812082,0.0
"('SPARC', 'MMP14')","('Malignant cell', 'T cell')",2.662269266377549,0.0
"('THBS1', 'LRP1')","('T cell', 'Myeloid cell')",2.5967896532530736,0.0
"('THBS1', 'ITGA6')","('T cell', 'Malignant cell')",2.589920084780629,0.0
"('THBS1', 'MMP2')","('T cell', 'Myeloid cell')",2.5880164145821274,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.540905893752069,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.494589370609534,0.0
"('VWF', 'THBS1')","('Myeloid cell', 'T cell')",2.3789836693592745,0.0
"('THBS1', 'MMP9')","('T cell', 'Myeloid cell')",2.360458538237244,0.0
"('THBS1', 'MMP9')","('T cell', 'Malignant cell')",2.354034712415023,0.0
"('VWF', 'THBS1')","('Malignant cell', 'T cell')",2.286162522822651,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.2703712323699334,0.0
"('THBS1', 'VCAM1')","('T cell', 'Myeloid cell')",2.2700612934851887,0.0
"('THBS1', 'LRP1')","('T cell', 'Malignant cell')",2.2695012398298227,0.0
"('THBS1', 'MMP2')","('T cell', 'Malignant cell')",2.247176481423373,0.0
"('THBS1', 'CD36')","('T cell', 'Myeloid cell')",2.213667459108613,0.0
"('THBS1', 'VCAM1')","('T cell', 'Malignant cell')",2.21290543086964,0.0
"('CSF2', 'MMP14')","('T cell', 'Myeloid cell')",2.2098741877560664,0.0
"('THBS1', 'CD36')","('T cell', 'Malignant cell')",2.187167316805955,0.0
"('CSF2', 'CDH11')","('T cell', 'Myeloid cell')",2.132313716441694,0.0
"('CSF2', 'MMP14')","('T cell', 'Malignant cell')",2.1115468348916275,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Malignant cell')",2.097986537891848,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Malignant cell')",2.0700287154206047,0.0
"('CSF2', 'PLAU')","('T cell', 'Myeloid cell')",2.068021734856596,0.0
"('IGFBP3', 'MMP14')","('Myeloid cell', 'T cell')",2.047758283037128,0.0
"('CCL2', 'MMP14')","('Myeloid cell', 'T cell')",2.03700934004302,0.0
"('CSF2', 'PLAU')","('T cell', 'Malignant cell')",2.0248862251251905,0.0
"('CSF2', 'MMP9')","('T cell', 'Myeloid cell')",2.020332977476746,0.0
