threshold	model_nb	treat_all_nb
0.05	0.2405263157894737	0.24210526315789477
0.1	0.22933333333333333	0.2
0.15	0.21541176470588236	0.15294117647058825
0.2	0.20450000000000002	0.10000000000000003
0.25	0.202	0.040000000000000036
0.3	0.19285714285714284	-0.02857142857142858
0.35	0.18661538461538463	-0.10769230769230764
0.39999999999999997	0.16866666666666666	-0.19999999999999984
0.44999999999999996	0.16745454545454547	-0.30909090909090897
0.49999999999999994	0.16200000000000003	-0.43999999999999984
0.5499999999999999	0.1557777777777778	-0.5999999999999996
0.6	0.128	-0.7999999999999998
0.65	0.12228571428571428	-1.0571428571428572
0.7	0.10266666666666668	-1.3999999999999997
0.75	0.08399999999999999	-1.8800000000000001
0.7999999999999999	0.06800000000000002	-2.5999999999999988
0.85	0.04533333333333334	-3.799999999999999
0.9	0.034	-6.200000000000001
0.95	0.01	-13.399999999999988
