DM1_tertile	A_dominant	A_silenced	B_dominant	B_silenced	C_dominant	C_silenced	balanced
Low	0.05325443786982249	0.0	0.0	0.005917159763313609	0.011834319526627219	0.011834319526627219	0.9171597633136095
Mid	0.017964071856287425	0.005988023952095809	0.005988023952095809	0.005988023952095809	0.005988023952095809	0.005988023952095809	0.9520958083832335
High	0.0	0.0	0.0	0.0	0.005917159763313609	0.0	0.9940828402366864
