locus	cohort	n	rho	p	rho_lo	rho_hi
HLA-A	TCGA-THCA Primary Tumor	505	0.39942799726020634	9.136229884646929e-21	0.32344430080215575	0.4702935942164205
HLA-B	TCGA-THCA Primary Tumor	505	0.47803115760827114	3.401432687467284e-30	0.40778376657258764	0.5426529680431761
HLA-C	TCGA-THCA Primary Tumor	505	0.4297892211520938	4.053122510545359e-24	0.3558787543754209	0.498356494476035
B2M	TCGA-THCA Primary Tumor	505	0.40917212770037503	8.351221162443236e-22	0.33383439369690526	0.4793157446961558
