metric	value
n_primary	505
median_CV_primary	1.4553
n_normal	59
median_CV_normal	1.4015
MW_p_tumor_vs_normal	4.3135e-01
spearman_rho_DM1_vs_CV	0.0726
spearman_p_DM1_vs_CV	1.0339e-01
