driver	locus	n	rho	p	rho_lo	rho_hi
BRAF	HLA-A	278	0.20473529910474947	0.0005932264631595651	0.08923959027830759	0.3147981781396212
BRAF	HLA-B	278	0.2515493826463435	2.1986000336719133e-05	0.1379877892764075	0.35858278407833855
BRAF	HLA-C	278	0.19702112621530124	0.0009578353636894134	0.08125946129134645	0.30753797675720784
BRAF	B2M	278	0.24114538223006252	4.850925113673445e-05	0.12710618805799906	0.3488925886672601
RAS	HLA-A	54	0.1771568012668122	0.20000606786388603	-0.09512061680204881	0.42477235158978754
RAS	HLA-B	54	0.15695170019700147	0.25704248743976094	-0.1156749132176849	0.4075875749530101
RAS	HLA-C	54	0.07285551028286516	0.6005944166555813	-0.19878771006960522	0.33410300642413987
RAS	B2M	54	-0.07910789316428322	0.5696194928042456	-0.33967795337476847	0.19274002767592383
TripleNeg	HLA-A	162	0.39840066176800787	1.5163065433664242e-07	0.26018636316214366	0.5206160650971716
TripleNeg	HLA-B	162	0.44428104186735645	3.1754192774449854e-09	0.3114171637217866	0.5601077829977376
TripleNeg	HLA-C	162	0.41708754435857653	3.365554709378643e-08	0.2809589396872681	0.5367642438933692
TripleNeg	B2M	162	0.3533386777279317	3.9862708230675695e-06	0.21061565934213528	0.48131296869642765
