sample	sample_type	DM1_local	DM1_score	DM1_use	driver_anchor_v17	dm_status	tert_pos	driver_simple	HLA_A	HLA_B	HLA_C	B2M
TCGA-4C-A93U-01	Primary Tumor	0.8846475230503821	0.0263224946308444	0.0263224946308444	BRAF	False	False	BRAF	16.23	16.37	15.63	17.36
TCGA-BJ-A0YZ-01	Primary Tumor	-0.33496129671237473	-0.8271895388602539	-0.8271895388602539	unknown	True	False	TripleNeg	13.75	13.15	13.51	14.72
TCGA-BJ-A0Z0-01	Primary Tumor	-1.2404233270290397	-1.1486075872236343	-1.1486075872236343	unknown	True	False	TripleNeg	13.66	12.37	11.76	14.37
TCGA-BJ-A0Z2-01	Primary Tumor	-0.8975660921536138	-0.8433168349272047	-0.8433168349272047	RAS	False	True	RAS	14.83	13.7	13.24	14.76
TCGA-BJ-A0Z3-01	Primary Tumor	0.32886901116807565	-0.3931604850091313	-0.3931604850091313	BRAF	False	False	BRAF	15.29	15.78	15.21	16.52
TCGA-BJ-A0Z5-01	Primary Tumor	0.13708810856939097	-0.299954131391249	-0.299954131391249				TripleNeg	15.1	15.17	14.26	16.23
TCGA-BJ-A0Z9-01	Primary Tumor	1.444867561967024	0.2854257716788088	0.2854257716788088	BRAF	False	True	BRAF	15.41	15.46	15.1	15.66
TCGA-BJ-A0ZA-01	Primary Tumor	-1.2968913567296037	-1.262260967138292	-1.262260967138292	unknown	True	False	TripleNeg	14.41	13.49	13.35	15.34
TCGA-BJ-A0ZB-01	Primary Tumor	0.5287420608619112	-0.1030500793598359	-0.1030500793598359	BRAF	False	False	BRAF	15.21	15.03	14.45	16.16
TCGA-BJ-A0ZC-01	Primary Tumor	-1.1464700234817222	-1.1243303140725014	-1.1243303140725014	unknown	True	False	TripleNeg	14.07	13.53	13.46	15.96
TCGA-BJ-A0ZE-01	Primary Tumor	-0.42234551248231267	-0.8457422874070715	-0.8457422874070715	RAS	False	False	RAS	13.39	13.5	13.51	15.51
TCGA-BJ-A0ZF-01	Primary Tumor	-0.7255678818467117	-1.0064980459159378	-1.0064980459159378	unknown	True	False	TripleNeg	13.67	12.93	13.1	14.77
TCGA-BJ-A0ZG-01	Primary Tumor	-1.0040386172983304	-1.0413815994462097	-1.0413815994462097				TripleNeg	14.39	13.93	13.14	15.24
TCGA-BJ-A0ZH-01	Primary Tumor	0.27961329314619804	-0.287169519263025	-0.287169519263025	BRAF	False	False	BRAF	15.86	15.7	14.76	16.69
TCGA-BJ-A0ZJ-01	Primary Tumor	-0.4612116309304602	-0.7858979288197734	-0.7858979288197734				TripleNeg	15.67	15.91	14.87	16.69
TCGA-BJ-A18Y-01	Primary Tumor	-1.1847581738792388	-1.1973870069550574	-1.1973870069550574	RAS	False	False	RAS	14.07	13.47	12.82	14.58
TCGA-BJ-A18Z-01	Primary Tumor	0.31496196870633925	-0.3666630467124359	-0.3666630467124359	BRAF	False	False	BRAF	15.13	15.36	14.47	16.24
TCGA-BJ-A190-01	Primary Tumor	-1.0552462345153475	-1.2132881162852427	-1.2132881162852427				TripleNeg	12.83	11.94	12.57	13.75
TCGA-BJ-A191-01	Primary Tumor	-0.167217710135025	-0.7812396734219716	-0.7812396734219716	unknown	True	False	TripleNeg	14.23	14.83	14.41	15.66
TCGA-BJ-A192-01	Primary Tumor	-0.402213591318203	-0.978130469559673	-0.978130469559673	unknown	True	False	TripleNeg	13.94	13.51	13.09	13.89
TCGA-BJ-A28R-01	Primary Tumor	-0.0581877480590505	-0.5013045629743276	-0.5013045629743276	BRAF	False	False	BRAF	15.5	16.38	15.25	17.11
TCGA-BJ-A28R-11	Solid Tissue Normal	-0.9508178727297182	-1.2786332702299594	-1.2786332702299594				TripleNeg	14.75	15.61	14.6	16.58
TCGA-BJ-A28S-01	Primary Tumor	-0.6748560899412593	-0.7631273319546233	-0.7631273319546233	unknown	True	False	TripleNeg	12.44	13.53	12.37	15.15
TCGA-BJ-A28T-01	Primary Tumor	-0.8275111943462149	-1.3056428287239297	-1.3056428287239297	unknown	True	False	TripleNeg	15.68	16.41	15.8	17.07
TCGA-BJ-A28V-01	Primary Tumor	-1.1030962922657828	-1.2267842739819448	-1.2267842739819448	unknown	True	False	TripleNeg	12.54	12.82	12.52	14.04
TCGA-BJ-A28W-01	Primary Tumor	-0.08625295746320791	-1.0701983701379376	-1.0701983701379376				TripleNeg	16.72	17.34	16.19	17.25
TCGA-BJ-A28W-11	Solid Tissue Normal	-0.3432899761616178	-0.9668194310354792	-0.9668194310354792				TripleNeg	17.23	17.51	16.61	18.27
TCGA-BJ-A28X-01	Primary Tumor	0.49499011408482885	-0.3787283885059468	-0.3787283885059468	BRAF	False	False	BRAF	15.8	15.84	14.62	17.1
TCGA-BJ-A28X-11	Solid Tissue Normal	-0.34616438519746895	-1.0829277550474048	-1.0829277550474048				TripleNeg	15.37	15.55	14.51	16.72
TCGA-BJ-A28Z-01	Primary Tumor	0.5818625190562647	-0.266141755474205	-0.266141755474205	unknown	True	False	TripleNeg	16.03	16.56	15.54	17.41
TCGA-BJ-A290-01	Primary Tumor	0.5378098404816717	-0.0119387978662576	-0.0119387978662576	BRAF	False	False	BRAF	13.8	13.48	13.33	14.51
TCGA-BJ-A290-11	Solid Tissue Normal	-1.2121866825129817	-1.2543423940905574	-1.2543423940905574				TripleNeg	14.22	13.16	13.21	14.9
TCGA-BJ-A291-01	Primary Tumor	-0.4782556628454354	-1.1508013305329128	-1.1508013305329128				TripleNeg	14.46	14.91	14.68	16.21
TCGA-BJ-A2N7-01	Primary Tumor	-0.6362559618407111	-0.9844412955525708	-0.9844412955525708	RAS	False	False	RAS	14.33	13.99	12.93	15.54
TCGA-BJ-A2N7-11	Solid Tissue Normal	-1.1613560021005567	-1.3404204975086649	-1.3404204975086649				TripleNeg	13.64	13.48	12.54	14.93
TCGA-BJ-A2N8-01	Primary Tumor	-0.3625045553524819	-0.9285334658122548	-0.9285334658122548	RAS	False	False	RAS	14.42	13.38	13.21	15.73
TCGA-BJ-A2N8-11	Solid Tissue Normal	-1.336740372385411	-1.3316130253803111	-1.3316130253803111				TripleNeg	13.39	12.81	12.79	14.32
TCGA-BJ-A2N9-01	Primary Tumor	-0.7709988421646404	-1.0668047007347696	-1.0668047007347696	unknown	True	False	TripleNeg	15.45	15.68	14.84	16.25
TCGA-BJ-A2N9-11	Solid Tissue Normal	-0.9696759751281765	-1.366985341011698	-1.366985341011698				TripleNeg	16.13	16.13	15.3	16.81
TCGA-BJ-A2NA-01	Primary Tumor	0.29027575431936725	-0.4260228484290808	-0.4260228484290808	BRAF	False	False	BRAF	15.7	15.83	14.91	16.76
TCGA-BJ-A2NA-11	Solid Tissue Normal	-1.0736395757521877	-1.3401739938349275	-1.3401739938349275				TripleNeg	15.27	15.2	14.44	16.27
TCGA-BJ-A2P4-01	Primary Tumor	-0.5058514248932738	-0.8253671501274535	-0.8253671501274535	RAS	False	False	RAS	14.88	14.41	13.94	14.86
TCGA-BJ-A3EZ-01	Primary Tumor	0.26515579388649213	-0.2993070848192744	-0.2993070848192744	BRAF	False	True	BRAF	15.45	15.51	13.94	17.0
TCGA-BJ-A3F0-01	Primary Tumor	-1.3303387154653799	-1.4359255712891508	-1.4359255712891508	unknown	True	False	TripleNeg	14.2	14.32	14.14	15.35
TCGA-BJ-A3PR-01	Primary Tumor	0.3699357406238031	-0.7926705471293175	-0.7926705471293175	unknown	True	False	TripleNeg	16.11	16.8	15.29	17.61
TCGA-BJ-A3PR-11	Solid Tissue Normal	-0.6913730206147197	-1.3329065004039624	-1.3329065004039624				TripleNeg	16.06	16.78	14.88	16.98
TCGA-BJ-A3PT-01	Primary Tumor	-0.709330789160642	-1.1636490098914951	-1.1636490098914951	RAS	False	False	RAS	15.43	14.9	13.97	16.2
TCGA-BJ-A3PU-01	Primary Tumor	0.8020313072474332	-0.1841976412421628	-0.1841976412421628	BRAF	False	False	BRAF	16.12	16.52	15.19	17.35
TCGA-BJ-A3PU-11	Solid Tissue Normal	-1.2291638613784788	-1.3356688711281977	-1.3356688711281977				TripleNeg	14.41	13.56	12.66	15.19
TCGA-BJ-A45C-01	Primary Tumor	-1.0423190862392127	-1.1835299845880685	-1.1835299845880685				TripleNeg	13.91	12.74	12.72	13.98
TCGA-BJ-A45D-01	Primary Tumor	-0.6960888470300365	-1.0547019270322164	-1.0547019270322164	RAS	False	False	RAS	15.2	14.43	13.68	15.07
TCGA-BJ-A45E-01	Primary Tumor	0.9020994160787071	-0.320605343166214	-0.320605343166214	unknown	True	False	TripleNeg	16.76	17.14	15.88	17.59
TCGA-BJ-A45F-01	Primary Tumor	-0.46012121298490277	-0.8956236099167859	-0.8956236099167859	RAS	False	False	RAS	14.1	14.21	13.2	15.28
