run	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1	p_DM2	DM_call	sample_alias	tissue_tag
ERR1512530	8142.8	90142.79014	789337.4728999999	38133.856	23682.3680241399	26892.1	22952.8263	715.586446	0.970401161697656	DM2	GMI-FA01	FA
ERR1518626	8142.8	90142.79014	789337.4728999999	38133.856	23682.3680241399	26892.1	22952.8263	715.586446	0.970401161697656	DM2	SNU-GMI-FA01	FA
ERR1518627	6840.48	51256.9051455	836175.2977	39994.584	23327.7820400868	23041.168	14167.34567	5196.2156	0.934177567051066	DM2	SNU-GMI-FA01-N	Normal
ERR1518628	3027.38	11038.19955319	934485.5192	18916.77797	12148.71762	13683.871	6365.06411	334.52116	0.9921296637078936	DM2	SNU-GMI-FA02	FA
ERR1518629	4477.43	31766.8343090215	904283.2616	17538.8162	16384.4040916601	15772.554000000002	7499.558129999999	2276.2588683	0.8990794044041238	DM2	SNU-GMI-FA02-N	Normal
ERR1518630	5225.86	195548.5946992811	711218.1810999999	21938.4083	25074.09026	21560.537	17239.48198	2194.2966	0.6191619080107046	DM2	SNU-GMI-FA03	FA
ERR1518631	5158.27	55668.087418666	863644.7597	26186.7484	20258.3051	19365.112	8514.0605	1204.6810020776302	0.945329349921303	DM2	SNU-GMI-FA03-N	Normal
ERR1518632	11866.6	56004.09707835832	746628.9516	50513.7445	56033.2567	49145.082	29606.89833	201.03939	0.997840628239963	DM2	SNU-GMI-FA04	FA
ERR1518633	5482.92681	51803.405028812005	864152.5205	23918.9661	26305.18520245763	16976.513	8714.41	2645.071600120907	0.902919411368208	DM2	SNU-GMI-FA04-N	Normal
ERR1518634	5135.45	45280.5817	869586.025	20995.8235	22825.32168647341	21274.655	9244.1523	5657.88750135	0.8216141648850698	DM2	SNU-GMI-FA05	FA
ERR1518635	2632.33	32629.74031299943	923194.6028	12627.804	11582.000420239	10643.485	4411.32	2278.9634518000003	0.7686898856067526	DM2	SNU-GMI-FA05-N	Normal
ERR1518636	11821.4	87709.0933681	707103.618	75241.2599	33504.404039771696	51153.184	20622.935360000003	12844.0553	0.9500864830870488	DM2	SNU-GMI-FA06	FA
ERR1518637	5041.95	67715.86177718407	863302.6157	23402.9964	15690.7724748603	17128.3782	5959.88827	1757.3375	0.8908736770254985	DM2	SNU-GMI-FA06-N	Normal
ERR1518638	4363.4	167818.55892929155	766654.7086	25528.6612	11296.80649229654	15097.295999999998	8657.72	583.2442	0.8501882642275695	DM2	SNU-GMI-FA07	FA
ERR1518639	6096.079159999999	85936.4510644	804144.3574	32719.6737	27264.19390297705	21942.51	9798.19754	12098.82	0.742304525725018	DM2	SNU-GMI-FA07-N	Normal
ERR1518640	19081.1	73829.33900213998	577734.062	69701.3686	117271.14138913	62282.34426	55551.0	24549.309807	0.9538539871485944	DM2	SNU-GMI-FA08	FA
ERR1518641	6120.52598	35993.2459772063	856161.2189	26653.426	30932.0031091	20232.643	16400.40086	7506.7229904	0.8841759522418697	DM2	SNU-GMI-FA08-N	Normal
ERR1518642	3454.89	168700.35259006	760142.3946	23616.338	11007.6573310632	14101.702	8245.84	10729.9657	0.2940682238842426	DM1	SNU-GMI-FA09	FA
ERR1518643	8638.545520000001	67669.26047112595	818593.2608	37825.4592	21457.14216	26609.639	12763.629819999998	6442.907719755	0.9036883373872872	DM2	SNU-GMI-FA09-N	Normal
ERR1518644	3119.67	153506.12279000002	771405.6633	15269.0793	13942.25674467	12555.767	12800.48	17400.7153	0.114869372432903	DM1	SNU-GMI-FA10	FA
ERR1518645	8058.87558	33180.50969051	862463.1965	32293.19681	23326.017704119266	25934.748	12615.0898	2129.3148211599	0.9757599552769132	DM2	SNU-GMI-FA10-N	Normal
ERR1518646	16552.9	126419.08250758564	692552.5531	64812.9555	25069.437562066894	51584.204	22557.01	450.878642	0.9935022193005816	DM2	SNU-GMI-FA11	FA
ERR1518647	11110.6	37679.6102	818376.6190000001	48037.884	26717.7839828	36518.309	11887.4953	9671.10240118192	0.966788314602698	DM2	SNU-GMI-FA12	FA
ERR1518648	3806.3	40979.0534203	896028.7353000001	18367.57881	16595.1264	13398.157	6017.2234	4808.8587	0.7812911816888375	DM2	SNU-GMI-FA12-N	Normal
ERR1518649	3522.48	37304.66344629927	918286.28044	18315.316119694	4990.461436465156	13626.8945	3599.52117	354.1852	0.9621663882482604	DM2	SNU-GMI-FA13	FA
ERR1518650	9721.8703	55378.79358645	851812.7613	22397.104	25615.0741	21678.642	12338.97892	1057.3885	0.95689258252341	DM2	SNU-GMI-FA14	FA
ERR1518653	5130.87	45933.5465621403	870877.92267	28008.042	19495.2339359161	18799.651	8942.22156	2812.6734305	0.923829506821642	DM2	SNU-GMI-FA16-N	Normal
ERR1518654	3781.24	100685.12103969	813270.5764	17362.696200000002	26701.10800008445	13736.106	10294.16451	14169.338130000002	0.3125606075648882	DM1	SNU-GMI-FA17	FA
ERR1518655	4554.28	42469.3701899	873284.4967	22088.8583	21734.13562219	15805.239	10279.72299	9784.19791	0.7446168818790234	DM2	SNU-GMI-FA17-N	Normal
ERR1518656	40763.5	108073.918	441224.55	176659.606	45374.73409796574	146643.461	39198.707	2061.981	0.998869414516962	DM2	SNU-GMI-FA18	FA
ERR1518657	5200.39	67301.61720445196	852577.5277	29658.369280000003	16842.511599999998	15928.748	11141.8304	1348.7729000000002	0.9297262869976164	DM2	SNU-GMI-FA18-N	Normal
ERR1518658	46711.7	118004.720212	301090.826	284175.374	47410.091159697	160689.578	40996.4	921.34099	0.9997811123145384	DM2	SNU-GMI-FA19	FA
ERR1518659	4772.93451	90782.16817935	836693.328	25343.87399	15698.92753	14066.81	10127.61893	2514.87162218909	0.7982181287895002	DM2	SNU-GMI-FA19-N	Normal
ERR1518660	3629.22	192240.513188242	728453.7156700001	16903.36052	21652.68433	13007.121	11888.81562	12224.0524419	0.167203221259913	DM1	SNU-GMI-FA20	FA
ERR1518661	5060.53617	56296.31933	856001.0858	31131.689	19709.6049414512	18193.371	13044.88103	563.3052493465	0.973197838341725	DM2	SNU-GMI-FA20-N	Normal
ERR1518662	5375.12	134687.61767024835	762565.7220000001	30205.0957	19263.82798931	21647.223	16233.33924	10021.45932	0.556196728775584	DM2	SNU-GMI-FA21	FA
ERR1518663	5833.61	77578.8169854688	829601.0322	34061.7951	20369.85588196	17702.741	11649.38197	3202.9891	0.8908970996463738	DM2	SNU-GMI-FA21-N	Normal
