candidate	source	compound_id	compound_label	spearman_lineage_sensitivity	p_lineage_sensitivity	n_models	strict_thyroid_n	strict_thyroid_spearman	strict_thyroid_p	direction_note
GLS	GDSC1_AUC	DPC-007404	BPTES GDSC1:1425 DPC-007404	-0.015284071500354133	0.6942279939207787	664	11	-0.4090909090909091	0.21154501034209602	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	GDSC1_AUC	DPC-001195	BORTEZOMIB GDSC1:104 DPC-001195	0.017124454906557684	0.7888637498191626	247	0			positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	GDSC1_AUC	DPC-007404	BPTES GDSC1:1425 DPC-007404	-0.015284071500354133	0.6942279939207787	664	11	-0.4090909090909091	0.21154501034209602	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	GDSC2_AUC	DPC-001195	BORTEZOMIB GDSC2:1191 DPC-001195	0.021721178259252277	0.5683865708918963	692	12	0.10489510489510491	0.7456094809807079	positive sensitivity correlation supports higher sensitivity with lineage silencing
OXPHOS_comparator	GDSC2_AUC	DPC-002245	DIHYDROROTENONE GDSC2:1827 DPC-002245	-0.029302950687870557	0.49601699699575263	542	11	-0.21818181818181823	0.5192482475549817	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	CTRP_AUC	DPC-001195	BORTEZOMIB CTRP:411737 DPC-001195	-0.06251616665362263	0.08989511103240455	737	10	0.1515151515151515	0.6760651759978539	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	CTRP_AUC	DPC-001290	BRD4132 CTRP:3588 DPC-001290	-0.023762027875737547	0.5275923510643729	709	10	-0.33333333333333326	0.3465935070873343	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	CTRP_AUC	DPC-003508	ISOX:BORTEZOMIB (250:1 MOL/MOL) CTRP:660173 DPC-003508	-0.13046987175652033	0.0005148238357440708	705	9	0.18333333333333335	0.6368198117628943	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	CTRP_AUC	DPC-005968	SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL) CTRP:660134 DPC-005968	-0.16500202253378568	5.326339042205198e-06	753	9	0.08333333333333334	0.831214097710308	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	CTRP_AUC	DPC-006011	SNX-2112:BORTEZOMIB (250:1 MOL/MOL) CTRP:660251 DPC-006011	-0.07902276851353195	0.031374350173474896	742	10	0.34545454545454546	0.3282265114713672	positive sensitivity correlation supports higher sensitivity with lineage silencing
MYC_glutamine_addiction_module	CTRP_AUC	DPC-006265	TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL) CTRP:660221 DPC-006265	0.012352439460756181	0.7440635033016798	701	10	0.04242424242424241	0.9073638178128159	positive sensitivity correlation supports higher sensitivity with lineage silencing
OXPHOS_comparator	CTRP_AUC	DPC-004751	OLIGOMYCIN A CTRP:411869 DPC-004751	-0.10140569682732674	0.005567909463983401	746	9	-0.25	0.5164895523012261	positive sensitivity correlation supports higher sensitivity with lineage silencing
GLS	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
GLUD1	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
GLUD2	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
SLC1A5	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
ASNS	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
GOT1	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
GOT2	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
GPT2	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
OXPHOS_comparator	PRISM24Q2_LFC_COLLAPSED	none_found	No metadata match by Sprint 2 regex			0	0			not testable
