candidate	common_essential_proxy_spearman	common_essential_proxy_p	common_essential_proxy_n	nonessential_proxy_spearman	nonessential_proxy_p	nonessential_proxy_n	tissue_lineage_kruskal_p	common_essential_overlap_genes	artifact_risk
GLS	-0.09718550835579608	0.001017868428803945	1140	0.06971271826722583	0.018569890661190226	1140	3.1122258205074825e-22		moderate_tissue_context_risk
GLUD1	-0.044453517868527956	0.1336096195280989	1140	0.12400819507847381	2.685452722690899e-05	1140	0.5259765866262773		low_to_moderate
GLUD2	-0.03192642297233304	0.2814569921166438	1140	0.034164975827968964	0.2490691222536341	1140	0.056239721339766804		low_to_moderate
SLC1A5	0.0011449928623732156	0.9691957403349516	1140	-0.004653297711549162	0.8752906353777921	1140	2.8921673994880075e-07		moderate_tissue_context_risk
SLC7A5	-0.0951198023390292	0.0013027025965739066	1140	0.04927713532364498	0.09631791153119133	1140	7.191874054601646e-21		moderate_tissue_context_risk
ASNS	0.10325924421788243	0.0004795141508526292	1140	-0.02643448600602753	0.3725496537485028	1140	1.2492959845583928e-05		low_to_moderate
GOT1	-0.07010337318219739	0.017919441801433643	1140	0.04976697872918777	0.09304997053052118	1140	0.012576759551512355		low_to_moderate
GOT2	-0.11188155569120695	0.00015352204524951435	1140	-0.037874986620366834	0.20129797344254546	1140	0.0006488863520923404		low_to_moderate
GPT2	0.03859862683959072	0.19281548188538888	1140	-0.1194253077497873	5.292636787822733e-05	1140	0.006079007755278195		low_to_moderate
MYC_glutamine_addiction_module	-0.14461841488676205	9.423000015719681e-07	1140	-0.025755142851554093	0.38496537628459016	1140	3.028200576273926e-34		moderate_high_proliferation_or_common_essential_risk
LDHA_glycolysis_comparator	-0.26442325671226286	1.0831548864466771e-19	1140	0.10845907488629794	0.000243682180635477	1140	4.859091527698279e-05	ALDOA;GAPDH;PGK1;ENO1	moderate_high_proliferation_or_common_essential_risk
OXPHOS_comparator	-0.4019341998651325	1.6820854259832675e-45	1140	-0.021410855437553798	0.4701694331038294	1140	1.4623858052260794e-16	SDHA;UQCRC1	moderate_high_proliferation_or_common_essential_risk
NAMPT_NAD_salvage_comparator	-0.05532892109513457	0.06183171331649839	1140	-0.11974156724699819	5.0544247896652176e-05	1140	3.073548076570406e-22		moderate_high_proliferation_or_common_essential_risk
