method	testset	in_master	n	AUROC	CI_lo95	CI_hi95	delta_vs_baseline	coverage	mean_set_size
Wave1_baseline	ITSNdb_main	BOTH	192	0.5638045540796963	0.47778347889910056	0.6420822668568414	0.0		
Wave1_baseline	ITSNdb_Val	BOTH	119	0.7831858407079646	0.45257055524912665	1.0	0.0		
Wave1_baseline	ITSNdb_combined	BOTH	311	0.7840628984275395	0.7319863326397947	0.8355814942553131	0.0		
Wave1_baseline	ITSNdb_in_master	TRUE	208	0.9384972170686456	0.9065837539170851	0.9659151715578047	0.0		
Wave1_baseline	ITSNdb_no_overlap	FALSE	103	0.4106514084507042	0.29388011165195393	0.5297936347278451	0.0		
M5_kNN	ITSNdb_main	BOTH	199	0.6095791805094131	0.5242480927230048	0.684077898211292	0.04577462642971675		
M5_kNN	ITSNdb_Val	BOTH	120	0.8836915297092288	0.7543066919929865	0.9870799240210403	0.10050568900126422		
M5_kNN	ITSNdb_combined	BOTH	319	0.7854588556734168	0.7345940982075506	0.8331289717090651	0.0013959572458772662		
M5_kNN	ITSNdb_in_master	TRUE	213	0.92171226831421	0.8840709459502232	0.9551194075945619	-0.01678494875443559		
M5_kNN	ITSNdb_no_overlap	FALSE	106	0.42507264425072644	0.30271043435660583	0.5525110369928997	0.014421235800022247		
M6_TENT	ITSNdb_main	BOTH	192	0.5804079696394686	0.5004176978885666	0.6569507448967663	0.016603415559772294		
M6_TENT	ITSNdb_Val	BOTH	119	0.715339233038348	0.3730691414496833	0.9781319738360909	-0.06784660766961659		
M6_TENT	ITSNdb_combined	BOTH	311	0.750531236719082	0.6940627213076686	0.8043144467301667	-0.03353166170845756		
M6_TENT	ITSNdb_in_master	TRUE	208	0.8742115027829314	0.8251116291162152	0.91807938340485	-0.06428571428571428		
M6_TENT	ITSNdb_no_overlap	FALSE	103	0.4859154929577465	0.36978168978434744	0.6125925532918317	0.0752640845070423		
M7_conformal	ITSNdb_main	BOTH	192	0.5638045540796963	0.47778347889910056	0.6420822668568414	0.0	0.796875	1.5416666666666667
M7_conformal	ITSNdb_Val	BOTH	119	0.7831858407079646	0.45257055524912665	1.0	0.0	0.9831932773109243	1.1260504201680672
M7_conformal	ITSNdb_combined	BOTH	311	0.7840628984275395	0.7319863326397947	0.8355814942553131	0.0	0.8681672025723473	1.382636655948553
M7_conformal	ITSNdb_in_master	TRUE	208	0.9384972170686456	0.9065837539170851	0.9659151715578047	0.0	0.9086538461538461	1.3125
M7_conformal	ITSNdb_no_overlap	FALSE	103	0.4106514084507042	0.29388011165195393	0.5297936347278451	0.0	0.7864077669902912	1.5242718446601942
M8_WiSE-FT_skipped	ITSNdb_main	BOTH	192	0.5638045540796963	0.47778347889910056	0.6420822668568414	0.0		
M8_WiSE-FT_skipped	ITSNdb_Val	BOTH	119	0.7831858407079646	0.45257055524912665	1.0	0.0		
M8_WiSE-FT_skipped	ITSNdb_combined	BOTH	311	0.7840628984275395	0.7319863326397947	0.8355814942553131	0.0		
M8_WiSE-FT_skipped	ITSNdb_in_master	TRUE	208	0.9384972170686456	0.9065837539170851	0.9659151715578047	0.0		
M8_WiSE-FT_skipped	ITSNdb_no_overlap	FALSE	103	0.4106514084507042	0.29388011165195393	0.5297936347278451	0.0		
