subset	n	coverage	mean_set_size	AUROC	selective_AUROC	n_selective	selective_retain_rate
ITSNdb_main	192	0.796875	1.5416666666666667	0.5638045540796963	0.5996493278784336	88	0.4583333333333333
ITSNdb_Val	119	0.9831932773109243	1.1260504201680672	0.7831858407079646	0.6138613861386139	104	0.8739495798319328
ITSNdb_combined	311	0.8681672025723473	1.382636655948553	0.7840628984275395	0.8286600496277916	192	0.617363344051447
ITSNdb_in_master	208	0.9086538461538461	1.3125	0.9384972170686456	0.9342403628117913	143	0.6875
ITSNdb_no_overlap	103	0.7864077669902912	1.5242718446601942	0.4106514084507042	0.43566176470588236	49	0.47572815533980584
