model	d	mw_p
raw 8-gene RAI	1.783	1.6001478104700288e-44
8-gene | HLA-II residualized	1.001	4.3923368730284734e-24
8-gene | immune-proxy residualized	1.498	5.482312262714674e-38
8-gene | HLA-II + immune residualized	0.867	2.0256377839041884e-19
raw HLA-II	-1.409	7.921855476287555e-33
HLA-II | 8-gene residualized	-0.58	1.415034092983644e-09
