cohort	contrast	group_high	group_low	score	n_high	n_low	cohens_d	ci_lo	ci_hi	mw_p	stratum	extra
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	HT_HLA-II	17	22	0.34268859354193487	-0.2947896413553786	0.9801668284392484	0.387685237786081		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	HT_composite	17	22	0.18388196387700345	-0.45035771097419836	0.8181216387282053	0.5056870156829876		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	RAI_lineage	17	22	-0.2782414450129336	-0.9141719467350181	0.35768905670915097	0.0559096798514663		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	HLA_class_II	17	22	0.34268859354193487	-0.2947896413553786	0.9801668284392484	0.387685237786081		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	IFNG_T_inflamed	17	22	-0.19968776839649924	-0.8341627934110366	0.4347872566180381	0.8762132735307269		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	TLS_CXCL13	17	22	0.3706175831856881	-0.26762976707064784	1.008864933442024	0.2287103792076407		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	myeloid_supp	17	22	0.28113137020451723	-0.3548617272134604	0.9171244676224948	0.2755372992053938		
GSE151179	post_vs_pre_RAI_tumor	post-RAI	pre-RAI	thyroid_diff	17	22	-0.38247887973849554	-1.021070789380354	0.25611302990336277	0.07210560512484884		
GSE151179	pre_RAI_primary_Refractory_vs_Avid	Refractory	Avid	HT_HLA-II	13	4	-0.09279221233559844	-1.2138990607700626	1.0283146360988658	0.8705882352941177		
GSE151179	pre_RAI_primary_Refractory_vs_Avid	Refractory	Avid	HT_composite	13	4	-0.3503041130378413	-1.4771460781854577	0.7765378521097752	0.6235294117647058		
GSE151179	pre_RAI_primary_Refractory_vs_Avid	Refractory	Avid	RAI_lineage	13	4	-0.05303048541874413	-1.1738451183897671	1.0677841475522787	0.8705882352941177		
GSE151179	pre_RAI_primary_Refractory_vs_Avid	Refractory	Avid	thyroid_diff	13	4	0.01744689083073978	-1.103241328634669	1.1381351102961483	1.0		
GSE151179	pre_RAI_primary_Refractory_vs_Avid	Refractory	Avid	myeloid_supp	13	4	-0.0564258624788582	-1.1772592279080765	1.06440750295036	0.8705882352941177		
GSE151179	BRAFV600E_pre_RAI_Refractory_vs_Avid	Refractory	Avid	HT_HLA-II	5	1						
GSE151179	BRAFV600E_pre_RAI_Refractory_vs_Avid	Refractory	Avid	HT_composite	5	1						
GSE151179	BRAFV600E_pre_RAI_Refractory_vs_Avid	Refractory	Avid	RAI_lineage	5	1						
GSE151179	BRAFV600E_pre_RAI_Refractory_vs_Avid	Refractory	Avid	thyroid_diff	5	1						
GSE151179	post_RAI_LNmet_NoUptake_vs_YesUptake	No_uptake	Yes_uptake	HT_HLA-II	12	5	-0.37271910371542316	-1.423504336723067	0.6780661292922208	0.6460892049127342		
GSE151179	post_RAI_LNmet_NoUptake_vs_YesUptake	No_uptake	Yes_uptake	HT_composite	12	5	-0.11830128765625046	-1.1623485211091682	0.9257459457966674	1.0		
GSE151179	post_RAI_LNmet_NoUptake_vs_YesUptake	No_uptake	Yes_uptake	RAI_lineage	12	5	0.2053593967624782	-0.8402114174984477	1.2509302110234042	0.7989657401422106		
GSE151179	post_RAI_LNmet_NoUptake_vs_YesUptake	No_uptake	Yes_uptake	thyroid_diff	12	5	0.13365245800707615	-0.9106040429866564	1.1779089590008087	0.7989657401422106		
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	HT13	31	361	-0.04718463776848278	-0.4140293476974951	0.3196600721605296	0.9578451309964928	BRAF_like_all	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	HT13	6	386	0.38837249734339374	-0.41844723527144434	1.1951922299582318	0.17484333153176143	BRAF_like_all	
