panel_model	threshold	sensitivity	specificity	ppv	npv
TDS16 | LogReg_l2	0.2	0.9479638009049773	0.6050420168067226	0.8991416309012875	0.7578947368421053
TDS16 | LogReg_l2	0.3	0.8959276018099548	0.6974789915966386	0.9166666666666666	0.6434108527131783
TDS16 | LogReg_l2	0.5	0.834841628959276	0.8067226890756303	0.9413265306122449	0.5680473372781065
TDS16 | LogReg_l2	0.7	0.7398190045248869	0.907563025210084	0.9674556213017751	0.484304932735426
TDS16 | RandomForest	0.2	0.995475113122172	0.11764705882352941	0.8073394495412844	0.875
TDS16 | RandomForest	0.3	0.9932126696832579	0.25210084033613445	0.8314393939393939	0.9090909090909091
TDS16 | RandomForest	0.5	0.9638009049773756	0.5210084033613446	0.8819875776397516	0.7948717948717948
TDS16 | RandomForest	0.7	0.8642533936651584	0.7899159663865546	0.9385749385749386	0.6103896103896104
TDS16 | GradientBoosting	0.2	0.9819004524886877	0.48739495798319327	0.8767676767676768	0.8787878787878788
TDS16 | GradientBoosting	0.3	0.9683257918552036	0.5462184873949579	0.8879668049792531	0.8227848101265823
TDS16 | GradientBoosting	0.5	0.9366515837104072	0.6722689075630253	0.9139072847682119	0.7407407407407407
TDS16 | GradientBoosting	0.7	0.9027149321266968	0.7478991596638656	0.9300699300699301	0.6742424242424242
BRS_proxy | LogReg_l2	0.2	0.9389140271493213	0.6638655462184874	0.9120879120879121	0.7452830188679245
BRS_proxy | LogReg_l2	0.3	0.918552036199095	0.773109243697479	0.9376443418013857	0.71875
BRS_proxy | LogReg_l2	0.5	0.8687782805429864	0.865546218487395	0.96	0.639751552795031
BRS_proxy | LogReg_l2	0.7	0.8099547511312217	0.8907563025210085	0.9649595687331537	0.5578947368421052
BRS_proxy | RandomForest	0.2	0.997737556561086	0.2184873949579832	0.8258426966292135	0.9629629629629629
BRS_proxy | RandomForest	0.3	0.9773755656108597	0.40336134453781514	0.8588469184890656	0.8275862068965517
BRS_proxy | RandomForest	0.5	0.9389140271493213	0.7478991596638656	0.9325842696629213	0.7672413793103449
BRS_proxy | RandomForest	0.7	0.8800904977375565	0.8487394957983193	0.9557739557739557	0.6558441558441559
BRS_proxy | GradientBoosting	0.2	0.9683257918552036	0.5546218487394958	0.8898128898128899	0.825
BRS_proxy | GradientBoosting	0.3	0.9479638009049773	0.6386554621848739	0.9069264069264069	0.7676767676767676
BRS_proxy | GradientBoosting	0.5	0.9230769230769231	0.7563025210084033	0.9336384439359268	0.7258064516129032
BRS_proxy | GradientBoosting	0.7	0.9049773755656109	0.7983193277310925	0.9433962264150944	0.6934306569343066
TierA67 | LogReg_l2	0.2	0.9389140271493213	0.6302521008403361	0.9041394335511983	0.7352941176470589
TierA67 | LogReg_l2	0.3	0.9140271493212669	0.7058823529411765	0.9202733485193622	0.6885245901639344
TierA67 | LogReg_l2	0.5	0.8868778280542986	0.7394957983193278	0.9267139479905437	0.6376811594202898
TierA67 | LogReg_l2	0.7	0.834841628959276	0.8151260504201681	0.9437340153452686	0.5705882352941176
TierA67 | RandomForest	0.2	1.0	0.16806722689075632	0.8170055452865065	1.0
TierA67 | RandomForest	0.3	0.9932126696832579	0.3025210084033613	0.8409961685823755	0.9230769230769231
TierA67 | RandomForest	0.5	0.9547511312217195	0.6302521008403361	0.9055793991416309	0.7894736842105263
TierA67 | RandomForest	0.7	0.8936651583710408	0.8235294117647058	0.9495192307692307	0.6758620689655173
TierA67 | GradientBoosting	0.2	0.9660633484162896	0.5042016806722689	0.8786008230452675	0.8
TierA67 | GradientBoosting	0.3	0.9638009049773756	0.5882352941176471	0.8968421052631579	0.813953488372093
TierA67 | GradientBoosting	0.5	0.9276018099547512	0.7226890756302521	0.9255079006772009	0.7288135593220338
TierA67 | GradientBoosting	0.7	0.9049773755656109	0.7647058823529411	0.9345794392523364	0.6842105263157895
Intermediate32 | LogReg_l2	0.2	0.9434389140271493	0.6722689075630253	0.9144736842105263	0.7619047619047619
Intermediate32 | LogReg_l2	0.3	0.9117647058823529	0.7226890756302521	0.9243119266055045	0.688
Intermediate32 | LogReg_l2	0.5	0.8574660633484162	0.7899159663865546	0.9381188118811881	0.5987261146496815
Intermediate32 | LogReg_l2	0.7	0.8054298642533937	0.8487394957983193	0.9518716577540107	0.5401069518716578
Intermediate32 | RandomForest	0.2	1.0	0.15126050420168066	0.8139963167587477	1.0
Intermediate32 | RandomForest	0.3	0.995475113122172	0.2857142857142857	0.8380952380952381	0.9444444444444444
Intermediate32 | RandomForest	0.5	0.9570135746606335	0.6134453781512605	0.9019189765458422	0.7934782608695652
Intermediate32 | RandomForest	0.7	0.8778280542986425	0.8067226890756303	0.9440389294403893	0.64
Intermediate32 | GradientBoosting	0.2	0.9773755656108597	0.5378151260504201	0.8870636550308009	0.8648648648648649
Intermediate32 | GradientBoosting	0.3	0.9660633484162896	0.6134453781512605	0.9027484143763214	0.8295454545454546
Intermediate32 | GradientBoosting	0.5	0.9524886877828054	0.6386554621848739	0.9073275862068966	0.7835051546391752
Intermediate32 | GradientBoosting	0.7	0.918552036199095	0.7310924369747899	0.9269406392694064	0.7073170731707317
ThyroSeq112_surrogate | LogReg_l2	0.2	0.9389140271493213	0.6218487394957983	0.9021739130434783	0.7326732673267327
ThyroSeq112_surrogate | LogReg_l2	0.3	0.9253393665158371	0.6638655462184874	0.910913140311804	0.7053571428571429
ThyroSeq112_surrogate | LogReg_l2	0.5	0.8800904977375565	0.7563025210084033	0.930622009569378	0.6293706293706294
ThyroSeq112_surrogate | LogReg_l2	0.7	0.8506787330316742	0.7983193277310925	0.94	0.5900621118012422
ThyroSeq112_surrogate | RandomForest	0.2	0.9932126696832579	0.2605042016806723	0.8330170777988615	0.9117647058823529
ThyroSeq112_surrogate | RandomForest	0.3	0.9841628959276018	0.42016806722689076	0.8630952380952381	0.8771929824561403
ThyroSeq112_surrogate | RandomForest	0.5	0.9570135746606335	0.7058823529411765	0.9235807860262009	0.8155339805825242
ThyroSeq112_surrogate | RandomForest	0.7	0.8846153846153846	0.8403361344537815	0.9536585365853658	0.6622516556291391
ThyroSeq112_surrogate | GradientBoosting	0.2	0.9638009049773756	0.6134453781512605	0.902542372881356	0.8202247191011236
ThyroSeq112_surrogate | GradientBoosting	0.3	0.9570135746606335	0.6638655462184874	0.9136069114470843	0.8061224489795918
ThyroSeq112_surrogate | GradientBoosting	0.5	0.9366515837104072	0.7478991596638656	0.9324324324324325	0.7606837606837606
ThyroSeq112_surrogate | GradientBoosting	0.7	0.920814479638009	0.7899159663865546	0.9421296296296297	0.7286821705426356
