	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F19_129C|PTC	0.006907142	0.8533078	0.7573036	0.9946263	0.9574611	0.8541966	0.006907142	PTC
F19_131N|PTC	0.006907142	0.9453173	1.4813716	1.4191497	1.121524	1.280834	0.006907142	PTC
F19_131C|PTC	0.006907142	0.8428531	1.7947051	1.3392481	1.114792	1.0581567	0.006907142	PTC
F19_132N|PTC	0.006907142	0.4636291	0.3082039	1.1199439	1.030332	0.7770414	0.006907142	PTC
F19_133N|PTC	0.006907142	0.5533953	0.3191657	1.1514063	1.134868	0.9318428	0.006907142	PTC
F19_133C|PTC	0.006907142	2.2521394	0.8127568	2.8235201	1.375348	3.7311746	0.006907142	PTC
F20_127N|PTC	0.9578387	1.2845819	1.6617013	1.7619057	1.2432	1.2627086	0.006907142	PTC
F20_129N|PTC	1.100203	1.0322553	0.881246	1.1707407	1.020254	1.0684516	0.006907142	PTC
F20_132N|PTC	0.7021265	1.0552968	1.0910156	0.9195541	0.9895525	1.0365316	0.006907142	PTC
F20_133N|PTC	0.9436576	1.4353582	1.9351457	1.5529697	1.208517	1.3705357	0.006907142	PTC
F21_127N|PTC	0.8357083	0.8811005	0.9059357	0.8131526	0.9212442	1.1835873	0.006907142	PTC
F21_130N|PTC	0.9050897	0.9154627	1.2932313	1.0785276	1.113441	1.1261152	0.006907142	PTC
F21_130C|PTC	0.9650407	1.1078193	1.4940045	1.2062912	1.16063	0.9529252	0.006907142	PTC
F21_132C|PTC	0.9208639	0.7450317	0.8443495	1.274267	0.9592406	1.1173635	0.006907142	PTC
F21_133C|PTC	0.8659607	0.7507142	0.9130032	1.4313235	1.024644	1.0457404	0.006907142	PTC
F22_127N|PTC	0.8895152	0.9154054	0.6985572	1.4148009	0.9375938	1.3174306	0.006907142	PTC
F22_128N|PTC	0.719864	0.9192916	1.072517	1.4291523	1.059911	0.8200596	0.006907142	PTC
F22_128C|PTC	1.064934	1.2448681	2.5932025	1.6007903	1.143507	1.3145115	0.006907142	PTC
F22_131N|PTC	1.300551	1.0949662	1.2732574	1.2896713	0.9559022	1.3472659	0.006907142	PTC
F22_131C|PTC	0.8804057	0.826397	0.6900942	1.0241702	0.9367417	0.7606276	0.006907142	PTC
F22_134N|PTC	0.9711819	1.1345071	1.8299687	1.7488708	0.9763438	1.5133946	0.006907142	PTC
F23_130C|PTC	2.213238	1.2428288	1.2006207	0.006907142	1.08672	1.3371055	0.006907142	PTC
F23_131N|PTC	1.281321	0.8423809	0.9784681	0.006907142	1.037169	1.0156769	0.006907142	PTC
F23_132N|PTC	1.187109	1.1311236	1.1970647	0.006907142	1.022444	1.110319	0.006907142	PTC
F23_132C|PTC	0.6971029	0.7791757	1.8729223	0.006907142	1.047576	1.1434541	0.006907142	PTC
F23_133N|PTC	1.386504	1.2097527	1.3447821	0.006907142	1.061925	1.2891396	0.006907142	PTC
F24_128N|PTC	0.006907142	1.5011902	1.9931224	1.7566822	0.9020481	2.0671289	0.006907142	PTC
F24_128C|PTC	0.006907142	1.0884082	1.5860914	1.1779091	1.028869	1.7412981	0.006907142	PTC
F24_129N|PTC	0.006907142	0.9203728	1.3874248	1.2017585	1.040496	1.372419	0.006907142	PTC
F24_129C|PTC	0.006907142	0.5551558	0.3704438	0.7526053	0.8872409	0.9969005	0.006907142	PTC
F24_130C|PTC	0.006907142	0.7298319	0.6767518	1.315144	0.8901074	1.7674324	0.006907142	PTC
F24_131N|PTC	0.006907142	0.9748769	1.8930075	1.4809419	1.043533	1.1115664	0.006907142	PTC
F24_133N|PTC	0.006907142	0.8586628	0.9444046	1.2991759	1.021585	1.2075181	0.006907142	PTC
F25_128N|PTC	1.176811	0.9457474	1.9677902	1.1519801	1.479502	1.6313638	0.006907142	PTC
F25_128C|PTC	1.098776	1.8353751	2.4439347	1.6354487	1.853229	1.8755182	0.006907142	PTC
F25_130C|PTC	0.7972518	0.920893	1.0264712	1.0832024	1.055314	0.9448952	0.006907142	PTC
F25_133N|PTC	1.105955	1.1214097	1.8587585	1.2111757	1.570759	1.5345518	0.006907142	PTC
F25_133C|PTC	1.010467	1.4132141	1.7513795	1.4198748	1.660516	1.6412242	0.006907142	PTC
F26_130N|PTC	0.5391186	0.8941368	1.174334	1.1682944	0.9844774	1.1188904	0.006907142	PTC
F26_131C|PTC	1.199748	1.0356551	1.2556735	1.2955139	1.024316	1.1162907	0.006907142	PTC
F26_132N|PTC	0.5523019	0.8814473	0.8573844	1.0030976	1.351055	1.0135592	0.006907142	PTC
F26_132C|PTC	0.5501856	0.9371754	1.5218223	1.4654011	1.345629	1.3146872	0.006907142	PTC
F26_134N|PTC	0.4409697	0.8842334	0.9407914	1.6147334	1.041342	1.148636	0.006907142	PTC
F27_127N|PTC	1.483959	1.8689767	0.6567804	1.6238694	1.294432	1.7946837	0.006907142	PTC
F27_127C|PTC	1.065858	1.0669264	1.3271665	1.488151	1.268036	1.1652573	0.006907142	PTC
F27_130N|PTC	0.9290589	1.3272757	2.5648652	1.4852321	1.44378	1.1905453	0.006907142	PTC
F27_130C|PTC	0.7410885	1.3075896	1.6998208	0.9680657	1.08424	1.6808593	0.006907142	PTC
F27_133C|PTC	0.9477004	1.2510007	2.0406204	1.2837213	1.275953	1.4536503	0.006907142	PTC
F28_128N|PTC	0.9372303	0.8605282	0.902801	1.0831141	0.8971395	1.2583461	0.006907142	PTC
F28_129C|PTC	1.877632	0.932987	0.8454539	1.1914645	0.9545858	1.7475569	0.006907142	PTC
F28_131N|PTC	1.020122	0.7536029	1.1015315	1.0838889	0.8951396	1.0076408	0.006907142	PTC
F28_133N|PTC	1.458941	1.3301234	1.3850619	1.1515078	1.0919	1.287849	0.006907142	PTC
F29_127N|PTC	0.956953	1.034856	0.8632905	1.1270523	0.8845944	1.3075324	0.006907142	PTC
F29_128C|PTC	1.149465	1.1675357	2.1468516	1.2724932	1.571534	1.7556356	0.006907142	PTC
F29_129C|PTC	0.7894975	0.8750544	1.0140635	1.1475002	1.12584	1.0817073	0.006907142	PTC
F29_131C|PTC	1.344695	1.0964234	1.2814826	1.1578743	1.056843	2.3109574	0.006907142	PTC
F29_132C|PTC	1.347096	1.1025185	1.3400712	1.4814001	0.8018543	1.7493946	0.006907142	PTC
F29_134N|PTC	0.9450955	1.05372	1.4572291	1.1312568	1.167319	1.6996274	0.006907142	PTC
F30_128N|PTC	0.006907142	0.9821394	1.0694204	0.9043524	0.006907142	0.9478674	0.006907142	PTC
F30_131C|PTC	0.006907142	1.3922088	1.2961047	1.0151706	0.006907142	1.3367004	0.006907142	PTC
F30_132C|PTC	0.006907142	0.7943669	0.8024692	1.434136	0.006907142	1.0808543	0.006907142	PTC
F30_133N|PTC	0.006907142	0.8072704	1.2999148	1.0889865	0.006907142	1.182811	0.006907142	PTC
F31_128N|PTC	0.006907142	0.7880615	1.0824234	1.408226	1.061998	1.330734	0.006907142	PTC
F31_129N|PTC	0.006907142	1.1980335	1.5810389	1.0780393	1.280076	1.8005122	0.006907142	PTC
F31_129C|PTC	0.006907142	0.6283959	1.0008992	1.7028524	1.170081	1.3620807	0.006907142	PTC
F31_130C|PTC	0.006907142	0.6389213	1.0070486	0.9634879	1.079441	1.0291119	0.006907142	PTC
F31_132C|PTC	0.006907142	0.9671976	0.7850969	1.0653254	0.939268	1.4754857	0.006907142	PTC
F32_128C|PTC	0.006907142	0.7389655	0.5376074	1.1386341	1.0359	1.035779	0.006907142	PTC
F32_130N|PTC	0.006907142	1.2864932	1.3215514	1.1448629	1.080601	1.5603837	0.006907142	PTC
F32_130C|PTC	0.006907142	1.1226289	1.1418021	1.7463335	1.095928	1.4907335	0.006907142	PTC
F32_131N|PTC	0.006907142	1.7681187	2.7186979	1.9545984	1.427383	1.9263206	0.006907142	PTC
F32_131C|PTC	0.006907142	1.2644131	0.6827795	1.3809007	0.9301508	1.1699294	0.006907142	PTC
F32_132C|PTC	0.006907142	1.0711942	1.9466066	1.0425183	1.180568	1.5901118	0.006907142	PTC
F33_127N|PTC	1.269558	1.1795018	1.4617897	1.177233	0.9105806	1.5566954	0.006907142	PTC
F33_127C|PTC	0.7958132	1.5332365	2.0891436	1.3865804	1.14161	1.4626621	0.006907142	PTC
F33_128N|PTC	1.413833	1.5176491	1.8343814	2.0168781	1.135946	2.2701364	0.006907142	PTC
F33_128C|PTC	1.172683	1.3630354	1.9468968	1.6968479	1.209272	1.4679251	0.006907142	PTC
F33_129N|PTC	0.9170177	1.1421133	1.5591475	1.4209176	0.9431914	1.5936315	0.006907142	PTC
F33_130C|PTC	1.104422	0.8760761	1.6219314	1.5090313	0.8143854	1.6322298	0.006907142	PTC
F33_132C|PTC	1.060107	1.3398781	2.0573139	1.4039608	1.169168	1.443213	0.006907142	PTC
F33_133N|PTC	1.13765	1.0288407	1.0435265	1.4060213	1.049053	1.5888033	0.006907142	PTC
F33_133C|PTC	1.185867	1.089383	1.3880983	1.5792577	1.071575	1.4330755	0.006907142	PTC
F34_127N|PTC	3.307756	1.2517198	2.380537	1.5475826	0.8062577	1.0818593	0.006907142	PTC
F34_127C|PTC	1.060267	1.0241995	1.6354513	1.443272	0.8743071	1.2943482	0.006907142	PTC
F34_128N|PTC	1.020343	1.3288372	1.6751606	2.2827162	0.8505718	1.2918004	0.006907142	PTC
F34_128C|PTC	1.119261	1.2253802	1.4880225	1.0786218	1.040919	1.1776908	0.006907142	PTC
F34_130N|PTC	1.572187	0.9846868	1.3196863	1.4870522	1.048443	1.4937823	0.006907142	PTC
F34_130C|PTC	0.7207141	0.7171914	0.6535422	1.975784	1.058707	1.7060757	0.006907142	PTC
