	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F16_132C|ATC	0.5275913	0.6266102	0.4767763	0.6008212	0.966354	0.6038618	0.006907142	ATC
F17_127N|ATC	0.006907142	0.4389421	0.3925342	0.3570159	0.7117907	0.633747	0.006907142	ATC
F17_130C|ATC	0.006907142	0.6537593	0.3760665	0.5564777	0.7053897	1.0694581	0.006907142	ATC
F17_132C|ATC	0.006907142	0.4749688	0.299892	0.3427589	0.5780768	0.7676601	0.006907142	ATC
F17_133N|ATC	0.006907142	0.5567012	0.3345056	0.3356341	0.8100238	0.9152777	0.006907142	ATC
F18_127C|ATC	0.006907142	0.5371947	0.3892774	0.5332331	0.9194015	1.0201646	0.006907142	ATC
F18_130N|ATC	0.006907142	0.692026	0.6046354	0.6309448	0.9664296	0.7071353	0.006907142	ATC
F19_128N|ATC	0.006907142	0.5631468	0.3023335	0.7998952	1.013081	0.7310376	0.006907142	ATC
F19_128C|ATC	0.006907142	0.5003293	0.4100639	0.7704943	0.7534171	0.6785992	0.006907142	ATC
F19_130C|ATC	0.006907142	0.5146298	0.296521	0.7379497	0.7455744	0.774117	0.006907142	ATC
F20_128C|ATC	0.2667977	0.7483082	0.568793	0.4757515	0.7751813	0.8461086	0.006907142	ATC
F20_130C|ATC	0.3761148	0.7246945	0.5018232	0.3956711	0.6542746	0.7626505	0.006907142	ATC
F20_133C|ATC	0.2302799	0.5660612	0.3955075	0.3751226	0.6849886	0.72716	0.006907142	ATC
F21_127C|ATC	0.4919605	0.4257334	0.3440393	0.4192497	0.6334907	0.6241566	0.006907142	ATC
F21_128N|ATC	0.811726	0.5304248	0.4366342	0.5136833	0.7247031	0.7518791	0.006907142	ATC
F21_129C|ATC	0.933517	0.5504696	0.4643734	0.6238403	1.028518	0.9821574	0.006907142	ATC
F21_132N|ATC	0.498134	0.4892498	0.591758	0.5012465	0.938875	0.7451346	0.006907142	ATC
F21_133N|ATC	0.6953675	0.4508643	0.4085004	0.3654071	0.8207827	0.853861	0.006907142	ATC
F22_133N|ATC	0.7549376	0.5746404	0.3848812	0.4438979	0.7125876	0.6139809	0.006907142	ATC
F22_133C|ATC	0.855572	0.5626954	0.4262349	0.4608149	0.8659029	0.4772393	0.006907142	ATC
F23_128C|ATC	0.4263536	0.7155517	0.4600675	0.006907142	0.9132424	0.5066869	0.006907142	ATC
F23_129N|ATC	0.4585198	0.6259255	0.5117088	0.006907142	0.7181574	0.5638012	0.006907142	ATC
F23_129C|ATC	0.3519053	0.5670095	0.355542	0.006907142	0.7294393	0.6049159	0.006907142	ATC
F23_130N|ATC	0.7096099	0.562965	0.3647854	0.006907142	0.6787916	0.6852362	0.006907142	ATC
F23_133C|ATC	0.3986335	0.4972538	0.3734725	0.006907142	0.7715281	0.3525697	0.006907142	ATC
F24_127C|ATC	0.006907142	0.7984854	0.4565397	0.6661573	3.300495	1.2012565	0.006907142	ATC
F24_130N|ATC	0.006907142	0.6132666	0.3646658	0.4765217	0.9341564	0.8376906	0.006907142	ATC
F24_133C|ATC	0.006907142	0.6773934	0.660251	0.6172499	0.8633146	1.5560229	0.006907142	ATC
F25_129N|ATC	0.6222097	0.6487306	0.5774211	0.6391077	0.7459115	0.8030627	0.006907142	ATC
F25_131C|ATC	0.8560146	0.8310139	0.9004289	0.5899276	0.851687	0.5816417	0.006907142	ATC
F26_127N|ATC	0.2691848	0.5878113	0.4600841	0.5366729	0.5129999	1.0866234	0.006907142	ATC
F26_130C|ATC	0.3515899	0.7317673	0.7778881	0.596853	0.7422286	0.8210827	0.006907142	ATC
F26_133N|ATC	0.4526564	0.5928719	0.4813053	0.5471299	0.667397	0.9041403	0.006907142	ATC
F27_129N|ATC	0.6796137	1.0105229	0.6963393	0.5093468	1.108514	1.1485624	0.006907142	ATC
F28_127N|ATC	0.8666563	0.5328864	0.4084334	0.6232866	0.8285716	0.3182822	0.006907142	ATC
F28_129N|ATC	0.839213	0.5499573	0.3937548	0.5213545	0.8804685	0.4734039	0.006907142	ATC
F29_130N|ATC	0.7974218	0.7551416	0.3829113	0.4355035	1.004645	0.912988	0.006907142	ATC
F29_131N|ATC	0.5908031	0.5694618	0.3114741	0.2876256	0.8440347	0.5562082	0.006907142	ATC
F30_127N|ATC	0.006907142	0.5531	0.233047	0.4230597	0.006907142	0.6738614	0.006907142	ATC
F30_127C|ATC	0.006907142	0.6548762	0.5631784	0.5663039	0.006907142	0.7164581	0.006907142	ATC
F30_128C|ATC	0.006907142	1.9362555	0.5293586	1.7679615	0.006907142	1.3985362	0.006907142	ATC
F30_129N|ATC	0.006907142	0.6469073	0.3009043	0.4987363	0.006907142	0.8422501	0.006907142	ATC
F30_129C|ATC	0.006907142	0.6101832	0.2676241	0.5270615	0.006907142	0.6556595	0.006907142	ATC
F30_130C|ATC	0.006907142	0.5563025	0.3053312	0.4498871	0.006907142	0.6440015	0.006907142	ATC
F30_131N|ATC	0.006907142	0.7871295	0.2952211	0.4865664	0.006907142	1.175614	0.006907142	ATC
F30_133C|ATC	0.006907142	0.4841333	0.2590408	0.4457731	0.006907142	0.4333915	0.006907142	ATC
F30_134N|ATC	0.006907142	0.5282157	0.2805825	0.3697048	0.006907142	0.5587259	0.006907142	ATC
