	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group	unsup	panel_z
F21_127C|ATC	0.4919605	0.4257334	0.3440393	0.4192497	0.6334907	0.6241566	0.006907142	ATC	DM1	-0.7881133478938949
F21_128N|ATC	0.811726	0.5304248	0.4366342	0.5136833	0.7247031	0.7518791	0.006907142	ATC	DM1	-0.5648041688843409
F21_129C|ATC	0.933517	0.5504696	0.4643734	0.6238403	1.028518	0.9821574	0.006907142	ATC	DM1	-0.3064227811500254
F21_132N|ATC	0.498134	0.4892498	0.591758	0.5012465	0.938875	0.7451346	0.006907142	ATC	DM1	-0.5233579726803846
F21_133N|ATC	0.6953675	0.4508643	0.4085004	0.3654071	0.8207827	0.853861	0.006907142	ATC	DM1	-0.5917954241537612
F22_133N|ATC	0.7549376	0.5746404	0.3848812	0.4438979	0.7125876	0.6139809	0.006907142	ATC	DM1	-0.6394154491414057
F22_133C|ATC	0.855572	0.5626954	0.4262349	0.4608149	0.8659029	0.4772393	0.006907142	ATC	DM1	-0.5968700685605072
F23_128C|ATC	0.4263536	0.7155517	0.4600675	0.006907142	0.9132424	0.5066869	0.006907142	ATC	DM1	-0.7005496167368374
F23_129N|ATC	0.4585198	0.6259255	0.5117088	0.006907142	0.7181574	0.5638012	0.006907142	ATC	DM1	-0.7723864089930826
F23_129C|ATC	0.3519053	0.5670095	0.355542	0.006907142	0.7294393	0.6049159	0.006907142	ATC	DM1	-0.8348257354033735
F23_130N|ATC	0.7096099	0.562965	0.3647854	0.006907142	0.6787916	0.6852362	0.006907142	ATC	DM1	-0.7612814199063284
F23_133C|ATC	0.3986335	0.4972538	0.3734725	0.006907142	0.7715281	0.3525697	0.006907142	ATC	DM1	-0.915219664818032
F24_127C|ATC	0.006907142	0.7984854	0.4565397	0.6661573	3.300495	1.2012565	0.006907142	ATC	DM2	0.5727092948455678
F24_130N|ATC	0.006907142	0.6132666	0.3646658	0.4765217	0.9341564	0.8376906	0.006907142	ATC	DM1	-0.6000396822141444
F24_133C|ATC	0.006907142	0.6773934	0.660251	0.6172499	0.8633146	1.5560229	0.006907142	ATC	DM1	-0.25730465616301246
F25_129N|ATC	0.6222097	0.6487306	0.5774211	0.6391077	0.7459115	0.8030627	0.006907142	ATC	DM1	-0.4623004692060502
F25_131C|ATC	0.8560146	0.8310139	0.9004289	0.5899276	0.851687	0.5816417	0.006907142	ATC	DM1	-0.3157807796975548
F26_127N|ATC	0.2691848	0.5878113	0.4600841	0.5366729	0.5129999	1.0866234	0.006907142	ATC	DM1	-0.6024348196555103
F26_130C|ATC	0.3515899	0.7317673	0.7778881	0.596853	0.7422286	0.8210827	0.006907142	ATC	DM1	-0.438015132264523
F26_133N|ATC	0.4526564	0.5928719	0.4813053	0.5471299	0.667397	0.9041403	0.006907142	ATC	DM1	-0.5594079311594927
F27_129N|ATC	0.6796137	1.0105229	0.6963393	0.5093468	1.108514	1.1485624	0.006907142	ATC	DM1	-0.06568284356555319
F28_127N|ATC	0.8666563	0.5328864	0.4084334	0.6232866	0.8285716	0.3182822	0.006907142	ATC	DM1	-0.6345896118353307
F28_129N|ATC	0.839213	0.5499573	0.3937548	0.5213545	0.8804685	0.4734039	0.006907142	ATC	DM1	-0.5924687540119093
F29_130N|ATC	0.7974218	0.7551416	0.3829113	0.4355035	1.004645	0.912988	0.006907142	ATC	DM1	-0.35479885456577204
F29_131N|ATC	0.5908031	0.5694618	0.3114741	0.2876256	0.8440347	0.5562082	0.006907142	ATC	DM1	-0.6990014722715289
F30_127N|ATC	0.006907142	0.5531	0.233047	0.4230597	0.006907142	0.6738614	0.006907142	ATC	DM1	-1.0798219852082325
F30_127C|ATC	0.006907142	0.6548762	0.5631784	0.5663039	0.006907142	0.7164581	0.006907142	ATC	DM1	-0.9086699568808461
F30_128C|ATC	0.006907142	1.9362555	0.5293586	1.7679615	0.006907142	1.3985362	0.006907142	ATC	DM2	0.11059705937670407
F30_129N|ATC	0.006907142	0.6469073	0.3009043	0.4987363	0.006907142	0.8422501	0.006907142	ATC	DM1	-0.9522430184025852
F30_129C|ATC	0.006907142	0.6101832	0.2676241	0.5270615	0.006907142	0.6556595	0.006907142	ATC	DM1	-1.0283317083344712
F30_130C|ATC	0.006907142	0.5563025	0.3053312	0.4498871	0.006907142	0.6440015	0.006907142	ATC	DM1	-1.0636960764628898
F30_131N|ATC	0.006907142	0.7871295	0.2952211	0.4865664	0.006907142	1.175614	0.006907142	ATC	DM1	-0.7937511758308974
F30_133C|ATC	0.006907142	0.4841333	0.2590408	0.4457731	0.006907142	0.4333915	0.006907142	ATC	DM1	-1.1728779969043088
F30_134N|ATC	0.006907142	0.5282157	0.2805825	0.3697048	0.006907142	0.5587259	0.006907142	ATC	DM1	-1.1295306201439677
F31_127N|ATC	0.006907142	0.5188568	0.3783937	0.5217802	0.6433816	0.6244684	0.006907142	ATC	DM1	-0.80278143321757
F31_132N|ATC	0.006907142	0.5922355	0.5066709	0.6029966	0.6801852	1.0021808	0.006907142	ATC	DM1	-0.5837213126961026
F31_133N|ATC	0.006907142	0.5843917	0.4253786	0.4788033	0.8529426	1.8425224	0.006907142	ATC	DM1	-0.2962673685409375
F31_134N|ATC	0.006907142	0.8672671	0.5520775	0.8717323	0.7920605	0.9156308	0.006907142	ATC	DM1	-0.38281224010596
F32_128N|ATC	0.006907142	0.8234066	0.5100751	0.4963569	1.24616	0.4450164	0.006907142	ATC	DM1	-0.488345839452629
F32_129C|ATC	0.006907142	0.6132312	0.3659803	0.5452738	0.9053162	0.4720751	0.006907142	ATC	DM1	-0.7130734002817618
F32_134N|ATC	0.006907142	0.7314059	0.424238	0.4624332	0.9341334	0.5304386	0.006907142	ATC	DM1	-0.6452379251087647
F33_131C|ATC	1.217523	0.6153585	0.5496106	0.492986	0.8541019	0.9097943	0.006907142	ATC	DM1	-0.33375191584987546
F34_129N|ATC	0.5654159	0.5731237	0.5460143	0.5940361	1.416695	0.6893809	0.006907142	ATC	DM1	-0.30039756557785396
F34_131N|ATC	0.5969218	0.5835092	0.5367227	0.4859595	0.9453653	1.225795	0.006907142	ATC	DM1	-0.32612294574190887
F1_128N|PDTC	0.364133	0.5992206	0.5078742	0.7187731	0.6647249	0.7299189	0.006907142	PDTC	DM1	-0.580122949608705
F1_130N|PDTC	0.4562448	0.8254846	0.6624078	1.2142245	0.8626579	1.576554	0.006907142	PDTC	DM1	0.045434390727269514
F2_127N|PDTC	0.2303756	0.4872898	0.3735436	0.416592	0.676684	0.5528571	0.006907142	PDTC	DM1	-0.8131603200709617
F2_132N|PDTC	0.5421396	1.445374	1.8030901	0.9070071	1.622256	1.3769975	0.006907142	PDTC	DM2	0.7226151328035233
F3_128N|PDTC	0.3547373	0.5511049	0.4916351	0.9291401	1.361829	1.1819109	0.006907142	PDTC	DM1	-0.13211043903097391
F3_133C|PDTC	0.5133642	1.4459206	1.1121424	1.2465341	1.197844	2.0833805	0.006907142	PDTC	DM2	0.7065153812455774
F4_127N|PDTC	0.9835215	1.0715525	0.3616348	1.9937421	1.375516	1.1773332	1.634623	PDTC	DM2	0.9764307439177708
F4_132C|PDTC	0.9766741	0.9621795	0.6610492	1.2527685	1.386648	0.9121108	0.8738302	PDTC	DM2	0.4755546646859375
F5_130N|PDTC	0.006907142	0.4611513	0.3475808	0.8359935	1.395414	0.8938026	0.006907142	PDTC	DM1	-0.37198347444932767
F5_130C|PDTC	0.006907142	0.5173164	0.375099	0.499135	0.9159146	0.7233414	0.006907142	PDTC	DM1	-0.6727373081886909
F6_127C|PDTC	0.006907142	0.6141032	0.3855552	0.6477956	1.171456	0.9769254	0.006907142	PDTC	DM1	-0.4125974574267365
F6_128C|PDTC	0.006907142	0.7585867	0.5570619	0.7268285	0.8643219	1.0825397	0.006907142	PDTC	DM1	-0.37827651540198687
F6_132N|PDTC	0.006907142	0.5794113	0.4051317	0.8824245	1.107526	1.3688326	0.006907142	PDTC	DM1	-0.2551650969294324
F7_129C|PDTC	0.4930053	2.0428689	0.4251697	1.6225813	1.136551	1.6910272	0.006907142	PDTC	DM2	0.7079311188209486
F7_130N|PDTC	0.7121687	0.6888408	0.8103082	2.7399426	1.181143	0.9047638	0.006907142	PDTC	DM2	0.3783427666638759
F8_133C|PDTC	1.052301	1.3897734	0.6655206	0.4348734	0.006907142	1.0952948	0.006907142	PDTC	DM1	-0.3209954756299501
F9_127C|PDTC	5.756916	1.9311659	0.4607496	0.8940432	0.7933307	1.6054182	0.006907142	PDTC	DM2	1.2923956103520324
F9_129N|PDTC	0.7032023	0.69093	0.4121503	0.3235132	0.6331181	0.6100937	0.006907142	PDTC	DM1	-0.661396256005225
F9_130N|PDTC	0.6927937	0.6870779	0.3262436	1.0650371	0.4653422	0.9040356	0.006907142	PDTC	DM1	-0.459214532481646
F10_127N|PDTC	0.006907142	0.5421411	0.424632	0.6522315	0.9638799	1.2720429	0.006907142	PDTC	DM1	-0.4120539662193489
F11_129N|PDTC	0.006907142	0.5896928	0.3028021	0.3437005	0.6696102	0.790569	0.006907142	PDTC	DM1	-0.7762692810232122
F13_127N|PDTC	0.006907142	0.6575359	0.4038991	1.3735608	0.9815318	0.7657546	0.803061	PDTC	DM1	-0.07800104060347514
F13_130N|PDTC	0.006907142	0.5460698	0.3611703	1.0287466	1.183131	0.8465216	1.090754	PDTC	DM1	-0.021162962597129593
F13_131N|PDTC	0.006907142	0.9059566	0.4402646	0.604881	1.233327	1.0217526	6.328398	PDTC	DM1	1.849606946470653
F17_131C|PDTC	0.006907142	0.577782	0.3172384	3.6425694	0.6933442	1.2652436	0.006907142	PDTC	DM2	0.25305278088003547
F18_128N|PDTC	0.006907142	0.5248251	0.3488892	0.4034432	0.8504864	0.6195061	0.006907142	PDTC	DM1	-0.7607157904381118
F18_130C|PDTC	0.006907142	1.2090732	0.3265388	2.0357044	1.042118	1.2322487	0.006907142	PDTC	DM2	0.19774924563058827
F19_132C|PDTC	0.006907142	0.6772849	0.4836741	1.1679227	0.8811385	1.0811398	0.006907142	PDTC	DM1	-0.30553310947488105
F22_129C|PDTC	0.8183831	0.6295518	0.4561211	0.4818314	0.6344336	0.4917968	0.006907142	PDTC	DM1	-0.64969081020401
F23_127N|PDTC	0.372252	0.4842624	0.33425	0.006907142	0.7264897	0.4895702	0.006907142	PDTC	DM1	-0.9068870575887826
F24_132N|PDTC	0.006907142	0.6464385	0.3947056	0.8942119	1.213736	1.0134725	0.006907142	PDTC	DM1	-0.305136373211662
F24_132C|PDTC	0.006907142	0.5545111	0.3856785	0.4945437	0.9699645	0.5568228	0.006907142	PDTC	DM1	-0.6911692111658222
F25_127N|PDTC	0.7148475	0.6741376	0.4519858	0.606376	1.088574	1.562208	0.006907142	PDTC	DM1	-0.09328559377237212
F25_130N|PDTC	0.7237589	0.830854	0.9247024	0.4835137	0.9417539	0.6875775	0.006907142	PDTC	DM1	-0.2926639877435474
F25_132C|PDTC	2.807765	1.0987802	0.4613401	1.3912014	1.763316	1.6021663	0.006907142	PDTC	DM2	0.9347689362349857
F26_133C|PDTC	0.3202743	0.7867287	0.6747973	0.6988361	1.068385	1.046314	0.006907142	PDTC	DM1	-0.22176865802578913
F27_132C|PDTC	1.095454	0.8679539	0.5909086	0.5367256	1.110547	3.4405221	0.006907142	PDTC	DM2	0.6927367555275054
F28_131C|PDTC	1.168852	0.7076256	0.5572349	0.6061922	0.8675218	0.6593718	0.006907142	PDTC	DM1	-0.35323887572694185
F29_128N|PDTC	3.555712	1.109413	0.6295492	0.9845015	1.230868	1.3769271	0.006907142	PDTC	DM2	0.7321697302674234
F29_129N|PDTC	7.228041	1.4486385	0.5031015	1.1833599	1.072033	1.3374352	0.006907142	PDTC	DM2	1.484868900030887
F29_133N|PDTC	0.8203363	0.9261527	0.7250827	1.0742669	0.9456582	0.7925619	0.006907142	PDTC	DM1	-0.0964937800512441
F29_133C|PDTC	0.9972908	3.2920967	0.4134976	1.8994457	1.102713	1.2583569	0.006907142	PDTC	DM2	1.1910216067452566
F30_130N|PDTC	0.006907142	1.2429563	0.3172897	2.0261592	0.006907142	1.1446083	0.006907142	PDTC	DM1	-0.22121191329769302
F31_133C|PDTC	0.006907142	0.7228808	0.4120015	0.547501	0.9696051	1.024301	0.006907142	PDTC	DM1	-0.4530629827706948
F32_127C|PDTC	0.006907142	1.2568562	0.6555674	1.805888	1.188613	0.8072454	0.006907142	PDTC	DM2	0.15277613164679374
F33_131N|PDTC	0.5170577	0.5766009	0.5465681	0.4829588	0.8265288	0.7342779	0.006907142	PDTC	DM1	-0.5492524448634227
F1_128C|PTC	3.079361	1.3439532	1.46424	1.5407009	1.194099	1.1666321	0.006907142	PTC	DM2	1.0006094954361873
F1_129C|PTC	0.2656423	0.5880429	0.4283716	0.9284301	0.9157446	1.0440872	0.006907142	PTC	DM1	-0.36708172335641437
F1_131N|PTC	0.6378518	0.8919439	0.863945	1.1375731	1.003461	1.4858975	0.006907142	PTC	DM2	0.15777881709522634
F1_132N|PTC	0.8862958	1.7912597	2.2357012	1.5924985	1.478784	1.3385123	0.006907142	PTC	DM2	1.1355406808211945
F1_133N|PTC	0.414442	0.8142135	0.6254475	1.6762945	1.239987	1.1496089	0.006907142	PTC	DM2	0.15027695437357383
F2_128N|PTC	1.870262	1.7202952	1.9624254	2.0885707	1.213748	1.6044352	0.006907142	PTC	DM2	1.3384476433538663
F2_128C|PTC	1.341904	1.2391528	1.5950473	1.4104866	1.228174	2.3800949	0.006907142	PTC	DM2	1.0508454746410278
F2_129N|PTC	0.4603025	0.6521618	0.5449879	1.4147133	0.8714034	1.0219221	0.006907142	PTC	DM1	-0.17509498308695776
F2_129C|PTC	0.5478124	1.1856986	1.3624304	1.4012278	1.150698	1.1471053	0.006907142	PTC	DM2	0.3894358587479702
F2_130N|PTC	0.2752379	0.5524041	0.4061741	1.2346823	0.8106004	0.8166687	0.006907142	PTC	DM1	-0.41927998372786623
F2_131N|PTC	1.376232	1.5879272	1.4547023	1.4162765	1.310342	1.3586385	0.006907142	PTC	DM2	0.8527636555006605
F2_131C|PTC	0.7315196	0.6759205	1.0683867	1.3835259	1.267627	0.955759	0.006907142	PTC	DM2	0.13452313852350367
F2_133N|PTC	0.2928563	0.6469098	0.6544898	0.8830087	1.224913	1.6639718	0.006907142	PTC	DM1	0.026657510074741642
F2_133C|PTC	0.2856309	0.5519133	0.4074386	1.0274118	1.038325	1.2198375	0.006907142	PTC	DM1	-0.2513548642525847
F3_127N|PTC	1.434541	1.1229878	2.199659	1.1047245	1.505514	1.6085004	0.006907142	PTC	DM2	0.9443558690663617
F3_128C|PTC	0.5518954	0.9680277	1.0252544	1.3992019	1.145886	1.46506	0.006907142	PTC	DM2	0.32695712642227487
F3_129C|PTC	0.4267451	0.6561752	0.581421	1.3001192	0.9907605	0.8563474	0.006907142	PTC	DM1	-0.20942718295923798
F3_130N|PTC	0.6625465	0.8835992	1.0583091	0.8907825	1.258999	1.5681113	0.006907142	PTC	DM2	0.26736903595379213
F3_131N|PTC	0.7037025	1.4992594	2.0363509	1.5310848	1.419132	1.8015425	0.006907142	PTC	DM2	1.0551589417051803
F3_132C|PTC	0.6272673	0.9950878	1.288921	0.9819528	1.215319	1.7043089	0.006907142	PTC	DM2	0.4116931274787849
F3_133N|PTC	0.5661517	1.0466922	1.0750564	1.4026204	1.540311	1.9742354	0.006907142	PTC	DM2	0.691878113010489
F4_128N|PTC	1.128847	0.9525502	1.4268641	1.5316434	1.308518	1.0160817	1.095713	PTC	DM2	0.8387217090078093
F4_130N|PTC	1.032327	1.3008414	1.773242	1.3050887	1.046344	1.5165838	0.8672739	PTC	DM2	0.9665066570820899
F4_130C|PTC	0.8454649	0.8443985	0.7298464	0.839772	1.166633	0.807062	0.7874918	PTC	DM1	0.16704401103829195
F4_131N|PTC	1.218351	1.0339702	1.1609143	1.0738818	1.305745	0.9927364	1.062982	PTC	DM2	0.681408665609645
F4_131C|PTC	1.983298	1.1556184	2.1910627	1.4832803	1.484937	1.0651412	1.229404	PTC	DM2	1.3764735689003582
F5_127N|PTC	0.006907142	0.6277985	0.5316417	0.7882186	1.002994	0.9815302	0.006907142	PTC	DM1	-0.39809510997682335
F5_129N|PTC	0.006907142	0.7642961	0.861107	1.0188095	1.129461	1.0312303	0.006907142	PTC	DM1	-0.13998527891561457
F5_131N|PTC	0.006907142	0.6967644	0.6156474	1.1851817	0.9836828	1.1336933	0.006907142	PTC	DM1	-0.2045431468173244
F5_132N|PTC	0.006907142	0.9002502	1.1697926	1.0489511	1.088832	1.1652574	0.006907142	PTC	DM1	0.023723420609537388
F6_127N|PTC	0.006907142	1.0269527	1.3141254	1.3956133	1.178675	1.2106372	0.006907142	PTC	DM2	0.24770978851957032
F6_128N|PTC	0.006907142	0.8539766	1.1191634	1.120268	0.9972975	1.1309739	0.006907142	PTC	DM1	-0.03408749531299195
F6_132C|PTC	0.006907142	0.8111484	0.8990396	1.1877365	0.9874214	1.3507878	0.006907142	PTC	DM1	-0.01808009623289112
F6_133N|PTC	0.006907142	0.7320882	0.7779979	1.0982715	1.106481	0.9481689	0.006907142	PTC	DM1	-0.18792533379857237
F7_127N|PTC	1.465718	1.4179565	1.5317745	1.510719	1.212312	1.3854808	0.006907142	PTC	DM2	0.8192532555264511
F7_128C|PTC	0.9799325	1.3156079	1.5904662	1.1851569	1.208487	1.2835568	0.006907142	PTC	DM2	0.5847898270555165
F7_132C|PTC	1.043257	1.0147111	0.7941898	0.9071535	1.065771	1.2085969	0.006907142	PTC	DM2	0.1344630935682307
F7_133C|PTC	1.87965	1.0920869	2.3619381	1.5159722	1.287712	1.3638629	0.006907142	PTC	DM2	0.9978617847705024
F8_127N|PTC	0.7845895	0.9618008	1.1643085	1.4338088	0.006907142	1.166287	0.006907142	PTC	DM1	-0.12591892164740645
F8_129N|PTC	1.055132	0.7526389	0.8752271	0.6014718	0.006907142	0.9227801	0.006907142	PTC	DM1	-0.5248828995178616
F8_129C|PTC	1.395506	1.2902582	1.3896143	1.1321817	0.006907142	1.2937085	0.006907142	PTC	DM2	0.12968531616679355
F8_131N|PTC	0.6544831	1.1259184	1.2052022	0.7598365	0.006907142	1.1979842	0.006907142	PTC	DM1	-0.2436666291393435
