	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation	group
F1_127C|ATC	0.5705267549061035	-0.19806044562004918	0.22535624956557299	-0.3126069545859403	-0.33447759925996096	-0.4433312853922373	-0.6108035538423681	ATC
F1_130C|ATC	0.24765533382198454	0.23985587806966072	0.2898224641161553	-0.2007607658760017	-0.33447759925996096	0.4955734328546478	-0.5196612146221354	ATC
F1_131C|ATC	0.6456899432138025	0.023747040480349087	0.24022518954995592	-0.444592110797591	-0.33447759925996096	1.7825033608894527	-0.7390894770371329	ATC
F1_132C|ATC	-0.05794247699992192	0.5074257634596935	0.013287492799590767	-0.087193400019911	-0.33447759925996096	0.3854103990521928	-0.45574714006529454	ATC
F2_130C|ATC	1.1874368739612262	0.8141763990495455	0.6309762863701329	-0.26026743917544315	0.12905816132394543	1.137675332295054	-0.834501216139758	ATC
F2_132C|ATC	0.4174207559696416	-0.01963859989545084	0.32455918442735254	-0.366909801956333	0.26904302474364106	0.2395271517641709	-0.5993958510511028	ATC
F4_128C|ATC	1.9458743335326567	3.143691957826656	-0.12617551613833783	-0.11534290421808753	-0.33447759925996096	2.044442024937563	-0.2607570668474251	ATC
F4_129N|ATC	0.9170249411992192	0.6672289112670745	-0.15449412518056033	0.12477273528292367	-0.33447759925996096	0.5595412800935444	-0.00369514690284356	ATC
F4_129C|ATC	-1.1372206561655376	-1.175124873207343	-0.622318533551077	-0.25439497899943186	-0.33447759925996096	-0.16735015152430244	-0.01631432529721011	ATC
F4_133N|ATC	-0.7035891519629142	-0.8875856190788116	-0.5991248452196496	-0.11132021216816741	-0.33447759925996096	1.34028126993199	1.8640484487529	ATC
F4_133C|ATC	-0.3976227213560683	-0.38630298989213263	-0.4404263213773512	-0.27146543537193807	-0.33447759925996096	0.1436415320766144	-0.3515759911603989	ATC
F5_129C|ATC	-0.5992179518274015	-1.4953856059248052	-0.0817382419214624	-0.5064861142923857	0.05190886579415538	1.0050637853498974	-0.616825133795178	ATC
F5_131C|ATC	0.4910748545074798	0.04025557411475146	0.21784753715025273	0.0762165068337685	0.7546498363510816	0.06322854706626471	-0.6621138991732521	ATC
