gene	spearman_dediff	p	mean_PTC	mean_PDTC	mean_ATC
TG	-0.737340238823499	7.421510609801445e-59	1.2884079847457628	0.5214660521739131	0.4751059840707964
TSHR	-0.7080580298959394	2.093416498546662e-52	1.2941916746327684	1.017568035695652	0.5177143062831858
FOXE1	-0.660766374766858	1.5954511397600866e-43	1.303683461581921	1.0949446195652173	0.74685683539823
TPO	-0.6136833138369941	3.757508208966475e-36	1.0474667344632769	0.9094815782608695	0.6561433230088495
PAX8	-0.5175380974021888	2.046321208688053e-24	1.0655375693672315	0.979247808347826	0.7601331910442478
SLC5A5	-0.20550813969641143	0.00014850451646735306	0.6488939489039548	0.7631051608260869	0.40783281835398233
DIO1	-0.008994130487794629	0.8695311394096873	0.06934112696045198	0.2394317178695652	0.059766391097345134
