sample	n_cells	median_DM	pct_hashi_like	median_HLA_II
PTC05	629	0.19714457	0.6693163751987281	1.4552323
PTC04	1197	0.11349656	0.09690893901420217	-0.0326608
PTC06	417	0.3782913	0.03836930455635491	0.034471042
PTC07	2727	0.3623136	0.03116978364503117	0.036023594
PTC01	3565	0.27931005	0.01514726507713885	-0.21659787
PTC03	86	0.19387409	0.011627906976744186	-0.37768584
