classifier	dial	auc_pre	auc_post	n_folds_used	n_patients	n_genes	task	dataset	batch_correction	notes
LogReg_l2	0.0	0.8	1.0	8	8	3000	BRAF_vs_RAS	GSE193581	z-score (single-sample-per-batch surrogate)	v5p1_common ComBat needs >=2 samples/batch; pseudobulk per patient gives 1 row/patient under LODO -> z-score surrogate, same methods choice as v6 Wave 1 (documented).
LogReg_elasticnet	0.0	0.6000000000000001	1.0	8	8	3000	BRAF_vs_RAS	GSE193581	z-score (single-sample-per-batch surrogate)	v5p1_common ComBat needs >=2 samples/batch; pseudobulk per patient gives 1 row/patient under LODO -> z-score surrogate, same methods choice as v6 Wave 1 (documented).
RandomForest	0.0	0.8	0.8	8	8	3000	BRAF_vs_RAS	GSE193581	z-score (single-sample-per-batch surrogate)	v5p1_common ComBat needs >=2 samples/batch; pseudobulk per patient gives 1 row/patient under LODO -> z-score surrogate, same methods choice as v6 Wave 1 (documented).
GradientBoosting	0.0	0.8	0.8	8	8	3000	BRAF_vs_RAS	GSE193581	z-score (single-sample-per-batch surrogate)	v5p1_common ComBat needs >=2 samples/batch; pseudobulk per patient gives 1 row/patient under LODO -> z-score surrogate, same methods choice as v6 Wave 1 (documented).
XGBoost	0.0	0.0	0.0	8	8	3000	BRAF_vs_RAS	GSE193581	z-score (single-sample-per-batch surrogate)	v5p1_common ComBat needs >=2 samples/batch; pseudobulk per patient gives 1 row/patient under LODO -> z-score surrogate, same methods choice as v6 Wave 1 (documented).
