cohort	n	layer	metric	value	significance	main_fig_location
TCGA-THCA primary	504	Bulk RNA	Discovery	DM1 prevalence 28.4 %	anchor cohort	Fig 1 anchor
Lee  GSE213647	632	Bulk RNA	Cohen's d (DM1−DM2)	d = +0.95	p < 10⁻¹⁵	Fig 4G + Fig 5E
K2  PRJEB11591	260	Bulk RNA	% DM1-like	37.8 %  (calibration caveat)	K-S preserved	Fig 5E + ED14
MSK-IMPACT advanced	117	Bulk RNA	Cox HR (DM1 vs DM2)	HR = 2.67 [1.17, 6.10]	p = 0.018	Fig 2G + Fig 5A
GSE286332  PTC+HT	18	Bulk RNA	MAPK × Panel ρ	ρ = −0.040  (HT route)	NS (predicted)	Fig 3D
GSE76039  PDTC+ATC	37	Bulk RNA	Convergence	5 / 8 panel overlap	Landa silenced list	Fig 3D + Fig 3G
GSE126698  Korean PTC	28	Bulk RNA	MAPK × Panel ρ	ρ = −0.18	trend	Fig 3D
HM450  TCGA	503	Methylation	TPO d (DM1 vs DM2)	d = 2.30	p = 1.9 × 10⁻¹⁸	Fig 3A + ED1
Pu 2021  GSE184362	6	Single-cell	Per-patient r	r = 0.798 – 0.886	p < 10⁻¹⁰  Bonferroni	Fig 4B
Lu 2023  GSE193581	23	Single-cell	Spearman r	r = 0.86 median	p < 10⁻¹⁰	Fig 4A + Fig 4F
GSE241184  Phase 1	14	Single-cell	Author-independence	r = 0.79	concordant	Fig 4C
GSE232237  External	11	Single-cell	Pseudobulk d	d = +1.65	p = 4 × 10⁻⁹	Fig 4D
Mun 2025 proteome	336	Protein	Thyroid-diff d	d = −1.91	7 / 7 sign-consistent	ED11
GSE151179 post-RAI	52	Bulk RNA	Pre vs post-RAI d	d = −1.01	p = 1 × 10⁻⁴	Fig 6D
DepMap + PRISM	~766	Drug	AZD-0364 MEK d	d = −0.594	FDR = 5.9 × 10⁻⁷	ED10
TCGA pan-cancer	11069	Pan-cancer	LGG / LUAD HR	HR 44.7 / 19.0	p = 1.3 × 10⁻⁵ / 8.6 × 10⁻⁴	ED12
