89637	54417
25715	36921
31547	50415
101530	54188
44583	16224
49500	31547
78545	27773
21484	41953
59220	70083
102216	40238
97413	50415
90095	21827
89294	57619
33605	49843
100272	37379
94669	45155
80261	45841
34749	53388
72713	60249
50872	52016
17367	39551
67110	50186
72027	38751
81747	25715
92382	27316
26630	34063
44469	21484
64938	60821
57962	22513
98671	30403
72942	18053
55103	30403
48014	21713
68597	21370
73056	38294
63108	52702
17939	30746
79460	61736
49614	24000
52130	36578
97299	49500
30289	38751
17939	40009
73171	47899
62079	22513
94669	32119
32690	54989
51101	43325
63451	54989
97413	28688
57962	57276
43897	57390
71456	17367
18968	55789
31890	40466
100387	45726
33834	62651
82662	44011
69169	16796
91010	55561
57848	21598
76373	25829
57962	45383
43897	24914
51101	46870
35435	58877
55218	33834
70541	65852
84263	31547
86436	44354
69969	19654
94212	33148
77516	48242
63337	30746
88951	55218
56247	65052
25258	39437
55789	25486
66767	21141
34291	62536
69169	64709
66081	50415
28002	60020
75000	19769
66882	61736
41381	52245
70769	21255
32347	14051
36693	46527
48928	54989
45726	27087
46184	36578
83234	49614
48242	27888
45612	53502
70198	35206
81290	52016
46298	67110
75915	37150
88837	22971
42067	61964
51673	49957
32347	56018
58076	21941
96727	56018
92954	59677
73514	51215
65967	31318
88265	54532
65852	39437
41381	55218
53617	40695
44469	54989
19540	35092
47327	51444
56933	69169
90095	23657
83920	34634
80261	40695
32119	52588
41953	33148
75000	30518
77631	61850
97299	42639
24457	62651
99357	33491
77173	28917
37951	42639
94326	48128
39323	22513
37722	15881
88951	28459
28574	23428
41610	55103
60707	60592
79575	56018
88151	58648
42067	60020
68825	22056
60935	51215
83691	36578
80032	43211
80604	51673
93640	59449
85406	42410
25258	46641
51787	66538
98328	50529
52816	42296
24571	35092
60363	33720
73857	28917
74314	56018
31433	47899
61393	67568
57848	23314
59106	55561
100158	39551
17367	46870
77974	44812
30518	13022
21255	51101
85292	56018
70198	57162
96956	42067
45040	65852
79231	52016
92153	49043
65281	39780
77288	57505
42753	59220
73400	46984
57733	50186
66653	44469
66767	32119
48814	67911
57162	46984
26858	61850
29260	33148
32690	35320
48700	42410
47899	51101
61621	48585
54303	37722
61050	20798
100158	30975
69283	53274
54188	39895
89866	32919
69740	49500
65509	16910
97985	46641
37608	22284
18854	38751
61621	46184
42182	49043
37836	61278
19883	46413
74772	17139
96727	49500
