39750	52361
48475	29797
32728	48680
52634	52156
31842	4780
27343	21617
27480	15686
30547	38455
5802	8597
39136	35592
5666	48816
22299	9279
17050	55497
32047	48203
27889	30752
13710	42749
36750	43704
50657	51338
29593	58291
39341	50111
25843	34228
27480	48543
31024	32933
31297	12892
13437	15005
41318	25434
37773	8870
48816	58837
7915	9892
16368	20186
23594	6143
42136	20049
36001	9074
11460	8870
52770	32115
9688	50793
33887	20458
15618	59859
36341	11187
22367	29388
9551	47998
25230	32865
47589	34978
36614	46430
13232	9892
30547	22571
25025	52838
37977	40295
5802	52906
40636	17527
13369	55088
16368	55156
9620	5666
50793	53520
39750	35864
6347	43635
24685	60609
6484	41181
31297	5189
21344	53452
31024	9006
16913	13028
16095	43022
14664	12074
36546	45203
46021	56724
29184	25162
21004	63336
29593	21685
20663	41590
6347	7438
36410	24139
4507	46839
37568	20526
30888	53111
17254	62654
29797	34024
18004	12619
15686	8665
41045	60473
37432	62313
30888	48748
49293	57951
22708	7506
48475	59791
31638	50316
34705	8733
13778	3553
14119	44726
24276	52838
31842	14459
46635	29320
26525	48066
35796	15755
27752	51475
45612	27275
33546	50179
39613	64563
52293	30274
8938	10369
27752	59996
14868	48339
21685	53792
12619	9347
37841	53861
32251	57746
12619	49498
22299	21344
16777	52497
37977	34092
44590	53043
40227	36341
37432	52838
43635	27002
28366	49634
38727	66881
17391	10983
28434	26457
32865	36410
53997	50588
46567	24003
32115	20254
33751	59927
24821	39545
40091	24685
36546	17936
10369	39477
30888	46703
23662	9824
17050	4575
23389	16982
34364	10642
4302	52974
43704	58564
33887	53861
30956	56587
18686	58019
40840	9415
46703	49430
47794	29388
23662	40227
46976	49839
26934	57473
32865	39204
22844	44862
37977	63881
37432	48884
27616	39000
49770	27002
41999	24957
36137	17936
28707	53861
5393	46430
35046	65313
37841	10574
25571	53383
43363	34364
13778	45203
4371	42204
11392	3212
43158	49293
27752	53861
30615	54951
41727	38727
38318	63268
22094	50179
13164	47589
38318	34705
38114	55292
27820	57133
32797	45408
24412	48543
34433	41658
30683	22503
30615	65790
9415	45408
25025	59859
37159	24003
23867	27411
41454	39136
16164	49361
10029	47112
40227	31161
39409	8324
23049	20935
6620	51338
28434	34910
29116	23798
40840	47930
2053	5325
28570	44999
16095	9620
45271	32797
22026	44249
52225	47453
24889	59314
11937	44522
26798	5461
17936	47998
37091	20731
