9587	33294
36129	20278
31760	30644
6333	33154
40359	4706
37524	13770
25949	11260
7077	24694
44961	7355
12004	23439
12422	30737
36641	7867
15304	35479
20743	30319
33945	20836
30505	27158
10470	27669
5217	32550
7077	37431
33061	31667
7123	22788
26647	30551
36641	22045
22230	10098
38779	10981
30551	16327
41940	7588
15816	37849
18419	8285
35060	12934
26832	5729
38686	12887
43195	7727
18233	7588
36827	21626
4241	32132
27530	13120
22742	38547
40592	9122
20929	19953
37896	30133
36827	21998
22835	23160
33666	29110
21998	8285
34688	14328
14979	33619
32039	25763
2196	33666
35293	11818
4845	35200
8146	35246
40034	5357
33805	34084
29900	23532
35525	27576
29714	39104
10145	26321
40127	5031
12608	34038
38268	7681
31341	10145
24462	27297
29250	9633
23579	28366
18372	36362
38872	16048
4195	41010
35293	13817
34921	26554
44450	6565
14700	15351
2754	29389
25717	13166
20836	33805
9168	40592
37013	22649
42870	9912
20882	7448
10238	39058
24834	40359
31295	30691
17954	37198
25996	6658
21022	38547
27902	31806
39430	7495
36036	3590
37989	28088
14049	33619
37617	10795
9819	19953
12841	30226
13956	11307
29157	32597
40638	17814
29296	31713
4473	41522
17629	20604
18698	8611
8889	38686
10935	30412
12887	34270
24880	7913
27018	34316
4148	37059
2614	31248
15676	13631
35479	33340
37338	22695
29343	33759
5031	23764
24183	33619
15816	17629
20232	31341
11074	42498
39011	8982
19906	17164
16327	23764
2754	32039
26368	15258
40499	12980
12980	38639
31063	25298
2939	39151
16048	15723
24973	11957
22556	25252
25624	29296
36036	8239
36129	4520
26739	11679
37524	8797
1684	33712
31341	37617
24229	34316
6891	36269
26042	37198
19813	8006
27948	31202
13538	19999
22370	25717
36920	31481
1917	36873
22138	25113
21626	28180
13259	41243
1731	30830
37989	24973
21812	17629
34828	15909
24694	11957
19999	34316
8099	29110
21626	41754
41754	8750
15397	33991
7216	22881
4241	28366
32829	26879
24276	3265
21301	31109
19488	34316
17954	35107
29807	24834
21905	40964
23857	31713
2893	29900
19953	23021
28552	35339
429	36641
1824	28506
24508	30551
5264	26647
12748	14328
4473	41986
20232	28459
2939	38593
17814	15258
27158	17907
37198	25066
1405	31155
4055	29575
8982	21115
41707	13352
9819	32504
16141	23114
18372	15118
25066	30133
18326	5124
3637	28273
32411	8099
23021	21998
14700	27902
33712	29807
13910	38175
35618	27995
18698	5264
6426	30179
38500	13259
