5970	15958
25631	9334
4419	14355
20926	15853
13198	2447
8099	7152
4892	5865
11726	11174
11122	3814
7126	10622
18876	14381
18140	4051
18560	17404
13277	14144
9229	9571
5786	12410
16694	12646
18955	15485
17483	18744
16615	14959
17561	10333
20374	14276
8992	10070
4892	5286
12567	5733
4445	8151
19480	3919
17246	19007
9571	4261
17772	6732
4366	2973
2474	6732
12226	3998
7547	3919
20978	9886
21504	15222
3893	6837
13408	19454
3893	4734
12410	9229
18665	14039
17062	10044
23660	10491
23370	13435
12199	4261
18429	7389
11043	16168
5102	11700
7100	16195
20794	6127
11910	17220
15275	17246
6863	2789
3394	16510
6443	10675
11227	12620
9150	19822
25132	11936
4629	2631
6837	16457
6968	5313
20584	12462
21215	4997
10149	13040
17404	18008
11884	21189
2868	7179
6127	12094
17272	3394
4892	7810
8125	13592
20032	6837
9991	16300
7915	20847
3709	10307
18166	5181
14433	3841
10675	19769
7415	20689
7389	14381
9439	18613
5628	3446
13198	19454
18771	15038
3367	3893
14276	1895
24028	12883
8651	16168
5917	5654
8440	9229
6627	14092
17929	5865
13408	15537
13487	8651
17509	14985
7836	21688
12488	4419
10911	19533
8598	14197
4419	16615
11621	4077
16063	16641
8440	18508
3946	14696
8914	7074
4445	16011
20610	10307
12699	16273
13382	10754
16247	16168
11200	8572
15643	14749
10543	22766
17745	4629
6627	8414
19349	10754
15143	15169
23870	7757
19691	6758
10648	19507
10359	11463
9702	19822
16536	7941
10333	6206
11516	11437
19217	13540
18876	4235
17614	2342
16300	4524
9571	16221
15800	16641
16641	17929
13435	18613
3919	4130
15984	14670
24343	9229
3525	11674
10517	14854
4761	18376
23160	11358
13277	12935
12751	21425
13934	14433
22503	11306
16563	8572
9676	8020
13671	16641
10280	13435
8440	21977
21057	4498
2737	16431
3367	10386
23318	13014
17509	12252
13671	1764
9203	14617
11805	16641
10491	17167
7599	11253
10202	21189
13014	14985
14512	13881
16957	10438
15932	17325
18902	18192
17456	13093
19691	14276
8651	23055
4577	7389
8335	22214
5628	13093
17141	19454
19848	7757
13645	8677
12331	11358
20847	14617
8861	13697
5365	9676
15012	3735
20978	6942
19349	15459
2447	10491
16221	7704
10754	14039
6075	2658
4103	4182
13093	10044
14328	12778
7915	13855
10754	19217
23055	12830
16694	2710
2079	14065
3841	6916
17009	11490
10464	2290
22319	14486
11306	12567
3446	3473
4997	17220
