32170	63345
99010	36285
26807	58856
33043	63096
69331	8476
34290	27556
30299	23690
17330	46635
31796	14961
91528	43518
101505	58856
64094	16083
37532	66962
30174	58233
18702	37657
91154	52372
37532	53369
83173	61974
78310	69830
22193	60602
98886	42021
66463	58607
91902	40525
74943	21570
88535	23191
21196	31047
52372	15459
65465	70453
31047	17205
77686	26309
37158	10845
34913	26309
44889	15834
64842	15335
92900	39527
23191	61350
82300	26558
79557	71451
44016	19325
20198	35661
16083	57983
96641	40400
95893	42894
84171	55988
35412	17205
33791	28304
84420	63844
18452	49379
37906	63969
37532	24563
76190	66463
66089	66588
58108	9972
29426	64842
92900	43767
41896	53244
40151	72324
85044	50626
69456	9224
95394	64592
39527	15709
73072	21695
97514	52621
47508	20572
88161	54616
39527	68334
71077	30673
63345	75067
68957	27556
17829	51249
59854	12841
38654	29676
31546	56487
38155	26683
79307	64218
66588	74319
20822	41896
39652	21320
37781	15085
51124	72199
62971	74070
63969	58856
49129	69581
74319	12965
68209	71451
88785	60727
55364	15210
56611	5857
101879	54117
24563	63969
55988	22942
102752	35537
84171	57983
55863	23690
21196	62223
90531	33043
53494	60602
62722	76190
30174	37033
53993	17953
36659	71701
49877	58357
47383	65091
52496	16208
27181	65216
40275	69331
63595	59729
43393	27306
35412	63470
118963	41896
29301	64218
30174	44266
107366	63844
28429	32793
30673	59978
77187	81427
50252	18951
77437	84545
104373	44266
74319	61101
47633	29551
52122	26433
73696	71576
6605	48132
35287	72324
88411	30174
78185	24687
96142	47882
43268	56362
51374	17081
46635	8102
44765	24313
62098	18452
22942	64094
59480	70204
93025	65091
86790	68084
60228	69581
45513	16457
49254	59729
100382	35661
100008	49129
64218	60228
39652	69082
21944	47633
18951	54367
75067	75566
101380	58981
99010	47259
32170	32793
25934	30548
74444	24687
87413	65091
35537	55988
58482	76938
69331	18328
62597	64592
81801	42271
42395	54616
46635	51873
58607	5109
17455	59604
102627	65091
87164	66338
27556	47009
39028	75067
51748	60602
82051	57360
19575	42645
106867	66712
57360	68708
42769	54866
54242	58607
22318	51374
79432	28179
69206	77437
26184	54866
29800	71576
34040	29551
87039	33167
34664	47508
36784	59604
33417	56861
24189	38280
35661	14586
73072	26932
36410	61974
91902	42769
56986	29301
69082	57858
71701	9349
21445	54491
52372	16706
84420	40400
78933	53743
28553	57360
42395	70952
55988	53993
51249	9723
104123	57858
