query_id	query_term	pmid	year	journal	authors	title	relevance	abstract_500
A	(BRAF AND TROP2 AND thyroid)	29228520	2018	Journal of pathology and translational medicine	Kong JS; Kim HJ; Kim MJ	The Significance of TROP2 Expression in Predicting	LOW	Trophoblast antigen 2 (TROP2) is a human trophoblast cell-surface glycoprotein that is overexpressed in several types of epithelial cancers, and is suggested to be associated with an unfavorable prognosis. First, we carried out pyrosequencing for In this study, 21 of 26 cases with Based on these results, we concluded that TROP2 expression is significantly associated with
A	(BRAF AND TROP2 AND thyroid)	35121239	2022	Annals of diagnostic pathology	Seok JY; Fan X	TROP-2 and 5hmC expression in follicular-patterned thyroid neoplasm emphasizing tiny well-formed papillae.	MEDIUM	Follicular-patterned thyroid neoplasms (FPTNs), characterized by predominantly follicular growth pattern, represent diverse pathological entities. We aimed to study the nuclear features and the immunoexpression of trophoblast cell-surface antigen 2 (TROP-2) and 5-hydroxymethylcytosine (5hmC) in FPTNs. FPTNs were divided into 4 groups: I) noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP), II) encapsulated follicular variant of papillary thyroid carcinoma (FVPTC)
A	(BRAF AND TROP2 AND thyroid)	31949805	2018	International journal of clinical and experimental pathology	Guan Q; Wang Y; Liao T	Overexpression of trophoblast cell surface antigen 2 is associated with BRAF V600E mutation and aggressive behavior in papillary thyroid cancer.	MEDIUM	Papillary thyroid cancer (PTC) is the most common endocrine tumor with an increasing incidence. The dilemma in treating this cancer is how to discriminate the tumors with aggressive behavior from the indolent ones. Trophoblast cell surface antigen 2 (trop-2) has been identified in multiple epithelial cancers and proven to be associated with shortened overall survival and disease-free survival. In this study, we retrospectively collected the clinicopathologic characteristics of 145 patients who u
B	(BRAF AND TACSTD2 AND thyroid)	38696857	2024	Pathology, research and practice	Kalfert D; Ludvikova M; Pesta M	BRAF mutation, selected miRNAs and genes expression in primary papillary thyroid carcinomas and local lymph node metastases.	HIGH	Mutations in cancer-related genes are now known to be accompanied by epigenetic events in carcinogenesis by modification of the regulatory pathways and expression of genes involved in the pathobiology. Such cancer-related mutations, miRNAs and gene expression may be promising molecular markers of the most common papillary thyroid carcinoma (PTC). However, there are limited data on their relationships. The aim of this study was to analyse the interactions between BRAF mutations, selected microRNA
C	(V600E AND TROP2)	41373672	2025	International journal of molecular sciences	Peshin S; Takrori E; Yazji JH	Advances in Targeted Therapy for Non-Small-Cell Lung Cancer: Current Progress and Future Directions.	LOW	The advent of targeted therapies has significantly transformed the management of non-small-cell lung cancer (NSCLC), improving survival across all disease stages. Discoveries of both common and rare oncogenic drivers are advancing rapidly, posing a challenge for clinicians and researchers to remain up to date in this dynamic field. This review highlights the evolving landscape of therapeutic strategies for actionable mutations in lung cancer, with particular attention given to the latest develop
C	(V600E AND TROP2)	29228520	2018	Journal of pathology and translational medicine	Kong JS; Kim HJ; Kim MJ	The Significance of TROP2 Expression in Predicting	LOW	Trophoblast antigen 2 (TROP2) is a human trophoblast cell-surface glycoprotein that is overexpressed in several types of epithelial cancers, and is suggested to be associated with an unfavorable prognosis. First, we carried out pyrosequencing for In this study, 21 of 26 cases with Based on these results, we concluded that TROP2 expression is significantly associated with
C	(V600E AND TROP2)	31949805	2018	International journal of clinical and experimental pathology	Guan Q; Wang Y; Liao T	Overexpression of trophoblast cell surface antigen 2 is associated with BRAF V600E mutation and aggressive behavior in papillary thyroid cancer.	MEDIUM	Papillary thyroid cancer (PTC) is the most common endocrine tumor with an increasing incidence. The dilemma in treating this cancer is how to discriminate the tumors with aggressive behavior from the indolent ones. Trophoblast cell surface antigen 2 (trop-2) has been identified in multiple epithelial cancers and proven to be associated with shortened overall survival and disease-free survival. In this study, we retrospectively collected the clinicopathologic characteristics of 145 patients who u
C	(V600E AND TROP2)	35121239	2022	Annals of diagnostic pathology	Seok JY; Fan X	TROP-2 and 5hmC expression in follicular-patterned thyroid neoplasm emphasizing tiny well-formed papillae.	MEDIUM	Follicular-patterned thyroid neoplasms (FPTNs), characterized by predominantly follicular growth pattern, represent diverse pathological entities. We aimed to study the nuclear features and the immunoexpression of trophoblast cell-surface antigen 2 (TROP-2) and 5-hydroxymethylcytosine (5hmC) in FPTNs. FPTNs were divided into 4 groups: I) noninvasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP), II) encapsulated follicular variant of papillary thyroid carcinoma (FVPTC)
D	(thyroid AND sacituzumab)	35477165	2022	Pathobiology : journal of immunopathology, molecular and cellular biology	Dum D; Taherpour N; Menz A	Trophoblast Cell Surface Antigen 2 Expression in Human Tumors: A Tissue Microarray Study on 18,563 Tumors.	HIGH	Trophoblast cell surface antigen 2 (TROP2) is the target of sacituzumab govitecan, an antibody-drug conjugate approved for treatment of triple negative breast cancer and urothelial carcinoma. A tissue microarray containing 18,563 samples from 150 different tumor types and subtypes as well as 608 samples of 76 different normal tissue types was analyzed by TROP2 immunohistochemistry. TROP2 positivity was found in 109 tumor categories, including squamous cell carcinomas of various origins, urotheli
D	(thyroid AND sacituzumab)	39413161	2024	Science translational medicine	Chen W; Zhang Y; Zhang L	Intraoperative evaluation of tumor margins using a TROP2 near-infrared imaging probe to enable human breast-conserving surgery.	MEDIUM	Intraoperative surgical margin assessment remains a challenge during breast-conserving surgery. Here, we report a combined strategy of immuno-positron emission tomography (PET) for preoperative detection of breast cancer and guided assessment of margins in breast-conserving surgery through second near-infrared (NIR-II) fluorescence imaging of trophoblastic cell surface antigen 2 (TROP2). We demonstrated that the intensity of PET signals in the tumors was nearly five times higher than in normal b
D	(thyroid AND sacituzumab)	33289434	2021	International journal of surgical pathology	Seok JY; Astvatsaturyan K; Peralta-Venturina M	TROP-2, 5hmC, and IDH1 Expression in Anaplastic Thyroid Carcinoma.	MEDIUM	Anaplastic thyroid carcinoma (ATC), a highly aggressive malignancy, has no effective treatment to date. Trophoblast cell-surface antigen 2 (TROP-2), a transmembrane glycoprotein, has been suggested to be a promising novel target for sacituzumab govitecan, an antibody-drug conjugate. 5-Hydroxymethylcytosine (5hmC) has a role in tumor suppression and promoting modification. Additionally, isocitrate dehydrogenase 1 (IDH1) mutations are strongly associated with increased overall survival in gliomas 
