sample	dataset	condition	axis	morans_I	n_spots
GSM7980860_N-1	GSE250521	PT	TROP2	-0.005212376270987215	3401
GSM7980861_N-2	GSE250521	PT	TROP2	0.050534274774317475	3839
GSM7980862_N-3	GSE250521	PT	TROP2	0.07882737030352194	4547
GSM7980863_N-4	GSE250521	PT	TROP2	0.03623812746888177	3030
GSM7980864_PTC-1	GSE250521	PTC	TROP2	0.3258337872064833	2270
GSM7980865_PTC-2	GSE250521	PTC	TROP2	0.3343244598762779	4952
GSM7980866_PTC-3	GSE250521	PTC	TROP2	0.44188196955936043	4524
GSM7980867_PTC-4	GSE250521	PTC	TROP2	0.5781612779374984	4748
GSM7980868_LPTC-1	GSE250521	LPTC	TROP2	0.24714014890539196	1520
GSM7980869_LPTC-2	GSE250521	LPTC	TROP2	0.4199293037347363	4174
GSM7980870_LPTC-3	GSE250521	LPTC	TROP2	0.5685549022732402	4633
GSM7980871_LPTC-4	GSE250521	LPTC	TROP2	0.5648209257487994	4737
GSM7980872_ATC-1	GSE250521	ATC	TROP2	0.3092885743535346	4722
GSM7980873_ATC-2	GSE250521	ATC	TROP2	0.051101701467785914	2684
GSM7980874_ATC-3	GSE250521	ATC	TROP2	-0.003980052572002269	1622
GSM7980875_ATC-4	GSE250521	ATC	TROP2	0.030035107436676905	2594
GSM7221915_P1	GSE230424	PTC_HT	TROP2	0.028033220170665618	3647
GSM7221916_P2	GSE230424	PTC_HT	TROP2	0.19269497920515052	3154
GSM7221917_P3	GSE230424	PTC_HT	TROP2	0.016317696770389915	4062
GSM7221918_P4	GSE230424	PTC_HT	TROP2	0.14069758629873397	4626
GSM7908359_C1	GSE248205	CONTROL	TROP2	-0.005325765570720778	1302
GSM7908360_C2	GSE248205	CONTROL	TROP2	0.02723708850600264	2290
GSM7908361_HT1	GSE248205	HT	TROP2	-0.006177557930463473	2041
GSM7908362_HT2	GSE248205	HT	TROP2	0.011510603766209535	2625
GSM7908363_HT3	GSE248205	HT	TROP2	0.045201827516168726	2144
GSM7908364_GD1	GSE248205	GD	TROP2	0.13493363475958686	2279
GSM7908365_GD2	GSE248205	GD	TROP2	0.03449364789741162	2171
GSM7908366_GD3	GSE248205	GD	TROP2	-0.008568436094566872	2133
GSM7980860_N-1	GSE250521	PT	DM1_like_score	0.4969062236929684	3395
GSM7980860_N-1	GSE250521	PT	RAI_8_score	0.4969062236929684	3395
GSM7980860_N-1	GSE250521	PT	TDS_like_score	0.49674191552300406	3395
GSM7980860_N-1	GSE250521	PT	Epithelial_score	0.19735957154822978	3395
GSM7980860_N-1	GSE250521	PT	Proliferation_score	0.019181390133911607	3395
GSM7980860_N-1	GSE250521	PT	CAF_ECM_score	0.3458812158699614	3395
GSM7980860_N-1	GSE250521	PT	EMT_score	0.056804073485688014	3395
GSM7980860_N-1	GSE250521	PT	Hypoxia_score	0.08055445944490998	3395
GSM7980861_N-2	GSE250521	PT	DM1_like_score	0.4014986168681157	3780
GSM7980861_N-2	GSE250521	PT	RAI_8_score	0.4014986168681157	3780
GSM7980861_N-2	GSE250521	PT	TDS_like_score	0.3851674134049397	3780
GSM7980861_N-2	GSE250521	PT	Epithelial_score	0.2393472060004789	3780
GSM7980861_N-2	GSE250521	PT	Proliferation_score	0.07939228122913594	3780
GSM7980861_N-2	GSE250521	PT	CAF_ECM_score	0.2878051805829148	3780
GSM7980861_N-2	GSE250521	PT	EMT_score	0.12521125725964405	3780
GSM7980861_N-2	GSE250521	PT	Hypoxia_score	0.10642549918096898	3780
GSM7980862_N-3	GSE250521	PT	DM1_like_score	0.24506850489000767	4538
GSM7980862_N-3	GSE250521	PT	RAI_8_score	0.24506850489000767	4538
GSM7980862_N-3	GSE250521	PT	TDS_like_score	0.2343628267194732	4538
GSM7980862_N-3	GSE250521	PT	Epithelial_score	0.18179647338413502	4538
GSM7980862_N-3	GSE250521	PT	Proliferation_score	0.029674218421667432	4538
GSM7980862_N-3	GSE250521	PT	CAF_ECM_score	0.19773685589645437	4538
GSM7980862_N-3	GSE250521	PT	EMT_score	0.04662332672074689	4538
GSM7980862_N-3	GSE250521	PT	Hypoxia_score	0.026951082028075522	4538
GSM7980863_N-4	GSE250521	PT	DM1_like_score	0.38874273307030066	3027
GSM7980863_N-4	GSE250521	PT	RAI_8_score	0.38874273307030066	3027
GSM7980863_N-4	GSE250521	PT	TDS_like_score	0.4010950247661131	3027
GSM7980863_N-4	GSE250521	PT	Epithelial_score	0.2617446064899601	3027
GSM7980863_N-4	GSE250521	PT	Proliferation_score	0.01199624385465532	3027
GSM7980863_N-4	GSE250521	PT	CAF_ECM_score	0.2659783384889257	3027
GSM7980863_N-4	GSE250521	PT	EMT_score	0.08667292776239577	3027
GSM7980863_N-4	GSE250521	PT	Hypoxia_score	0.058169401936150736	3027
GSM7980864_PTC-1	GSE250521	PTC	DM1_like_score	0.5544333342010466	2262
GSM7980864_PTC-1	GSE250521	PTC	RAI_8_score	0.5544333342010466	2262
GSM7980864_PTC-1	GSE250521	PTC	TDS_like_score	0.5966494129444131	2262
GSM7980864_PTC-1	GSE250521	PTC	Epithelial_score	0.4885025737767176	2262
GSM7980864_PTC-1	GSE250521	PTC	Proliferation_score	0.3030453517170529	2262
GSM7980864_PTC-1	GSE250521	PTC	CAF_ECM_score	0.6488484801552103	2262
GSM7980864_PTC-1	GSE250521	PTC	EMT_score	0.2593720031042302	2262
GSM7980864_PTC-1	GSE250521	PTC	Hypoxia_score	0.14945064796264704	2262
GSM7980865_PTC-2	GSE250521	PTC	DM1_like_score	0.3912442670061304	4947
GSM7980865_PTC-2	GSE250521	PTC	RAI_8_score	0.3912442670061304	4947
GSM7980865_PTC-2	GSE250521	PTC	TDS_like_score	0.37004588662021204	4947
GSM7980865_PTC-2	GSE250521	PTC	Epithelial_score	0.33020741956384575	4947
GSM7980865_PTC-2	GSE250521	PTC	Proliferation_score	0.029572155943090508	4947
GSM7980865_PTC-2	GSE250521	PTC	CAF_ECM_score	0.44093606440693633	4947
GSM7980865_PTC-2	GSE250521	PTC	EMT_score	0.1501877954328283	4947
GSM7980865_PTC-2	GSE250521	PTC	Hypoxia_score	0.13405546423248138	4947
GSM7980866_PTC-3	GSE250521	PTC	DM1_like_score	0.4104605451472717	4516
GSM7980866_PTC-3	GSE250521	PTC	RAI_8_score	0.4104605451472717	4516
GSM7980866_PTC-3	GSE250521	PTC	TDS_like_score	0.41006664225018097	4516
GSM7980866_PTC-3	GSE250521	PTC	Epithelial_score	0.48418842117708283	4516
GSM7980866_PTC-3	GSE250521	PTC	Proliferation_score	0.10410594198792965	4516
GSM7980866_PTC-3	GSE250521	PTC	CAF_ECM_score	0.7301497542045496	4516
GSM7980866_PTC-3	GSE250521	PTC	EMT_score	0.10707385615163245	4516
GSM7980866_PTC-3	GSE250521	PTC	Hypoxia_score	0.08720112467355029	4516
GSM7980867_PTC-4	GSE250521	PTC	DM1_like_score	0.38969820490370294	4498
GSM7980867_PTC-4	GSE250521	PTC	RAI_8_score	0.38969820490370294	4498
GSM7980867_PTC-4	GSE250521	PTC	TDS_like_score	0.3678104323042489	4498
GSM7980867_PTC-4	GSE250521	PTC	Epithelial_score	0.4956282551498664	4498
