sample	condition	Thyroid_TF	Thyroid_TF_n_genes	Cell_cycle	Cell_cycle_n_genes	Tumor_suppressor	Tumor_suppressor_n_genes	T_cell	T_cell_n_genes	Macrophage_TAM	Macrophage_TAM_n_genes	Stromal_endo	Stromal_endo_n_genes	Immune_escape	Immune_escape_n_genes	Glycolysis_OxPhos	Glycolysis_OxPhos_n_genes
GSM7980860_N-1	PT	0.4829790490539637	4	0.083656340203016	8	0.2680561448128151	7	0.10774398065305103	9	0.096451347793108	6	0.3207012101169557	7	0.4694543032466454	9	0.5941209190356971	9
GSM7980861_N-2	PT	0.4792180940850224	4	0.06868680985430482	8	0.17375601328405266	7	0.15001932641584728	9	0.1884885608203119	6	0.30298641450378083	7	0.5694186010597917	9	0.5851503694551026	9
GSM7980862_N-3	PT	0.3013271315875236	4	0.04074572528712438	8	0.11916443540862115	7	0.07697803256805975	9	0.08736384367212426	6	0.18619054171579646	7	0.3562059243355659	9	0.38727416501520967	9
GSM7980863_N-4	PT	0.2399659954519782	4	0.03292763393558431	8	0.05615211647667382	7	0.021182474255141057	9	0.02350941465829524	6	0.13089443185831773	7	0.18152631259584792	9	0.27492863727632083	9
GSM7980864_PTC-1	PTC	0.44611558628330983	4	0.4739920372944571	8	0.3995400355147231	7	0.39255985226385876	9	0.310324937725133	6	0.5917674737215138	7	0.5950029316323006	9	0.6462081004045442	9
GSM7980865_PTC-2	PTC	0.4084697913063931	4	0.02419830404185307	8	0.28735765531282004	7	0.09627005930221892	9	0.14869948345852904	6	0.2916044392707109	7	0.4632580967609801	9	0.5239037262245133	9
GSM7980866_PTC-3	PTC	0.39702343346906255	4	0.0663468272051963	8	0.2420516675965275	7	0.15126505859594594	9	0.1337877541791729	6	0.2738328603528966	7	0.38924707856201074	9	0.49145297161849877	9
GSM7980867_PTC-4	PTC	0.5606477576361	4	0.05723495312258092	8	0.30117506324967136	7	0.09808079247374496	9	0.23250125022448642	6	0.23412961640411828	7	0.6465361727924588	9	0.6194282545155329	9
GSM7980868_LPTC-1	LPTC	0.43306138892127805	4	0.11699675582394906	8	0.32472686498370223	7	0.1793214504285494	9	0.16897358955381844	6	0.35884892792863826	7	0.4464465486060039	9	0.49055655667746756	9
GSM7980869_LPTC-2	LPTC	0.5730737190471449	4	0.1201684395190927	8	0.29480945692676785	7	0.23920180071624156	9	0.1417342728203087	6	0.35156961497793293	7	0.4125602161009002	9	0.5130894085404687	9
GSM7980870_LPTC-3	LPTC	0.718849996233938	4	0.2018721072120407	8	0.5732453870120875	7	0.19328243375967163	9	0.31355235047088154	6	0.5409575020646026	7	0.6801752942769937	9	0.7399086585328755	9
GSM7980871_LPTC-4	LPTC	0.5882571861900918	4	0.20480948172317956	8	0.32617545257783026	7	0.11525466123145811	9	0.23300376235079742	6	0.24233276605399434	7	0.3665268165642063	9	0.5283937117629515	9
GSM7980872_ATC-1	ATC	0.25691341169582205	4	0.6167203751570591	8	0.5578995723247652	7	0.34703285682255336	9	0.4317337079399859	6	0.366413732046562	7	0.6437069352179436	9	0.7333363240949656	9
GSM7980873_ATC-2	ATC	0.07143697578901556	4	0.7916636879975177	8	0.6450213258939003	7	0.7741706355839666	9	0.5635626126623855	6	0.5472451878696354	7	0.8214913988748622	9	0.8497785101117361	9
GSM7980874_ATC-3	ATC	0.024935349131943677	4	0.22256947725678478	8	0.12740731904995434	7	0.18916821102428846	9	0.12039503231634473	6	0.1958352360692542	7	0.17127491481651969	9	0.218309700234321	9
GSM7980875_ATC-4	ATC	0.35868995725113256	4	0.118745903540496	8	0.24403895613657323	7	0.3640821815264818	9	0.26959232759594437	6	0.4271644907235856	7	0.4486170657539498	9	0.4628669395685416	9
