sample_id	dataset	condition	gene_set	n_genes_used	n_spots	mean_score	median_score	p90	morans_I
GSM7221915_P1	GSE230424	PTC_HT	HLA_II	7	3647	6.658940579112588	7.393665380630714	9.57198649924603	0.6697726360450308
GSM7221915_P1	GSE230424	PTC_HT	B_cell	6	3647	4.297111059196611	4.6052201834882585	8.021919730833217	0.5098318857093643
GSM7221915_P1	GSE230424	PTC_HT	TLS	6	3647	2.3292423055369853	1.6505895918810285	5.024692152612841	0.5399243879545023
GSM7221915_P1	GSE230424	PTC_HT	IGHV_AICDA	6	3647	10.507345475315525	10.890870655889506	11.889759454900293	0.6056574357363472
GSM7221916_P2	GSE230424	PTC_HT	HLA_II	7	3154	6.3025095662772515	6.834834949376829	10.631172793560433	0.6907105461234246
GSM7221916_P2	GSE230424	PTC_HT	B_cell	6	3154	3.651350488505822	3.3944508622700433	6.798807532724622	0.5554434402003986
GSM7221916_P2	GSE230424	PTC_HT	TLS	6	3154	2.1391172925194377	1.6505895918810285	4.87344650302722	0.5483285242937215
GSM7221916_P2	GSE230424	PTC_HT	IGHV_AICDA	6	3154	9.895572741446346	10.315934842252513	11.683464888553164	0.6362081444836348
GSM7221917_P3	GSE230424	PTC_HT	HLA_II	7	4062	5.175711912823134	5.4611365480750536	10.37861305032503	0.8055203721940768
GSM7221917_P3	GSE230424	PTC_HT	B_cell	6	4062	3.3090745509318418	3.1856629863771144	6.986119216093989	0.6717886218537209
GSM7221917_P3	GSE230424	PTC_HT	TLS	6	4062	2.1771585061950773	1.5350733944960862	5.086923811355103	0.6057899743812873
GSM7221917_P3	GSE230424	PTC_HT	IGHV_AICDA	6	4062	8.15657333697214	9.030944222862985	11.451354798636133	0.8439414393393202
GSM7221918_P4	GSE230424	PTC_HT	HLA_II	7	4626	6.648339602746711	7.098312292245614	9.472389888900288	0.4827942023134804
GSM7221918_P4	GSE230424	PTC_HT	B_cell	6	4626	2.312304066204537	1.7181643322370137	4.788311121229186	0.2395812919142934
GSM7221918_P4	GSE230424	PTC_HT	TLS	6	4626	1.9675035158890677	1.6505895918810285	3.5322199109278594	0.269502401083983
GSM7221918_P4	GSE230424	PTC_HT	IGHV_AICDA	6	4626	9.426419702879153	9.832949426151247	10.930029867055651	0.3983193427521524
