dataset	condition	n_samples	n_spots	DM1_mean	DM1_median	DM1_q25	DM1_q75	Epi_mean	Prol_mean
GSE250521	ATC	4	11276	6.579142433639805e-10	0.032965567	-0.0007270909875	0.13761356	-1.8553308708138556e-08	1.0388495959963605e-09
GSE250521	LPTC	4	13634	1.0544840524892867e-08	-0.007926523500000001	-0.3161809	0.35356367499999997	4.131430475247954e-08	1.0822588340479631e-09
GSE250521	PT	4	14740	3.9460142334755073e-08	-0.059031402999999996	-0.3081192275	0.2344565575	-1.7007140841958164e-08	4.407732628456726e-09
GSE250521	PTC	4	16223	-2.414106994925999e-08	-0.015204569	-0.260492285	0.28602249	1.7707121864700933e-08	6.1287192244483955e-09
GSE230424	PTC_HT	4	14133	-3.226477487567141e-08	-0.0036564916	-0.37699413	0.43050018	6.071841294020292e-09	-1.7298676823869973e-09
GSE248205	CONTROL	2	2808	4.6485078349426066e-08	-0.021160647499999997	-0.32273387249999996	0.323631705	-9.502485750467812e-09	-3.5178062647092072e-09
GSE248205	GD	3	6240	4.152085095971012e-09	-0.057035803999999996	-0.34948718749999996	0.290461205	-7.179838133574971e-09	-2.7384599237806767e-09
GSE248205	HT	3	6502	-2.394249155475016e-09	0.13157177	-0.33847445	0.4391231675	-2.656181175688798e-09	-8.498383877886897e-09
