sample	condition	Hypoxia	Hypoxia_n	EMT_program	EMT_program_n	Thyroid_differen	Thyroid_differen_n	Stemness_lineage	Stemness_lineage_n	Senescence_SASP	Senescence_SASP_n	Apoptosis_DDR	Apoptosis_DDR_n	Angiogenesis	Angiogenesis_n	Cellular_stress	Cellular_stress_n
GSM7980860_N-1	PT	0.45012292935544285	9	0.2784189718614977	10	0.6129699522312665	9	0.28055318157971226	8	0.15781298661900545	9	0.2731454894562136	10	0.399849537421257	10	0.5988650172101546	15
GSM7980861_N-2	PT	0.4661274447961	9	0.4402662106111467	10	0.5575149161942039	9	0.3160430727781449	8	0.21586736166194634	9	0.20449396435418662	10	0.2933165176499618	10	0.5591182447682289	15
GSM7980862_N-3	PT	0.3013027241655602	9	0.2037117398765245	10	0.3658605971127557	9	0.17552342003102664	8	0.13391222317672702	9	0.1252351519838509	10	0.14722737032862096	10	0.3928566804168981	15
GSM7980863_N-4	PT	0.2434630102253864	9	0.11724639867606573	10	0.3223957660418177	9	0.11085522551807057	8	0.07030453610191185	9	0.0937151348425028	10	0.09428210845419639	10	0.28306181603957087	15
GSM7980864_PTC-1	PTC	0.5299073252652883	9	0.5475800564074577	10	0.6622477507023189	9	0.42445248117745527	8	0.41292648012306804	9	0.36290037153210686	10	0.3687241391359783	10	0.6306867554125639	15
GSM7980865_PTC-2	PTC	0.4222758141814819	9	0.4135798526965659	10	0.5052654173006286	9	0.3075099043368004	8	0.2752253550445204	9	0.2279919506256831	10	0.2900691100050465	10	0.5715361382475378	15
GSM7980866_PTC-3	PTC	0.3130178669101858	9	0.3812589806275711	10	0.5055109707614407	9	0.20645510842409345	8	0.1546714740509535	9	0.1727586579215547	10	0.14633352142703754	10	0.43077516426587753	15
GSM7980867_PTC-4	PTC	0.457422572272974	9	0.6369333785082545	10	0.5913799614527594	9	0.3920012136666657	8	0.34392379530202805	9	0.3515419159284407	10	0.29392837445840153	10	0.6417162064177484	15
GSM7980868_LPTC-1	LPTC	0.45487771585963277	9	0.3368425637486996	10	0.5229631106821734	9	0.3303786243218059	8	0.2908042006673557	9	0.344430929561134	10	0.28887426054059506	10	0.5706496965894386	15
GSM7980869_LPTC-2	LPTC	0.4384261722710181	9	0.5038834182589919	10	0.6116286008085692	9	0.27198948850838606	8	0.3121225581663106	9	0.3681365865937469	10	0.39355969084335596	10	0.5274845793014056	15
GSM7980870_LPTC-3	LPTC	0.6809847989308433	9	0.7178452833537047	10	0.7580326504513443	9	0.5945775923272414	8	0.5513395453052702	9	0.5548740122735111	10	0.5882425679745273	10	0.7449968010729895	15
GSM7980871_LPTC-4	LPTC	0.5305193673255021	9	0.470725588776103	10	0.555472189549838	9	0.3386221814875123	8	0.39594891076488964	9	0.3474232388122049	10	0.25107913503988627	10	0.5473347433966016	15
GSM7980872_ATC-1	ATC	0.607721320484515	9	0.5177886378734252	10	0.04192440879282242	9	0.39696163338442075	8	0.5077572800629244	9	0.5201284272396772	10	0.22362568217177803	10	0.7322679522543671	15
GSM7980873_ATC-2	ATC	0.8017486844903102	9	0.7319217731899621	10	-0.00789362152998629	9	0.5878790299678693	8	0.6360833697822633	9	0.6918675050012053	10	0.43756049069504305	10	0.8413483719633102	15
GSM7980874_ATC-3	ATC	0.27258341214982085	9	0.18029624068880695	10	-0.012735084186414768	9	0.07063527635890993	8	0.15570367388721157	9	0.18514664076290777	10	0.13477451342096225	10	0.27903038759728116	15
GSM7980875_ATC-4	ATC	0.3025896093931409	9	0.2871477734791618	10	0.47341222844994374	9	0.15336704287871586	8	0.3267976118535091	9	0.18749285994387427	10	0.19854887443455432	10	0.4227803953724722	15
