sample_id	stage	n_spots	DM1_mean	DM1_std	DM1_q75	DM1_q25	DM1_iqr	high_DM1_spot_frac	rho_DM1_RAI8_within_sample
GSM7980860_N-1	PT	3395	-1.0609351988325815e-07	0.46827934288518186	0.27526754	-0.31499094	0.5902584799999999	0.2500736377025037	-1.0
GSM7980861_N-2	PT	3780	1.4793921693134817e-07	0.501371545504327	0.237927855	-0.34466851	0.582596365	0.25	-1.0
GSM7980862_N-3	PT	4538	8.361277170460809e-08	0.4370215669257106	0.22193305500000002	-0.27291272	0.49484577500000004	0.250110180696342	-1.0
GSM7980863_N-4	PT	3027	1.0521968959960302e-09	0.5100130055252928	0.193281345	-0.3181374	0.5114187450000001	0.2500825900231252	-0.9999999999999999
GSM7980864_PTC-1	PTC	2262	-1.0484491600083869e-08	0.5124974862554661	0.375949885	-0.2454129375	0.6213628225	0.2502210433244916	-1.0
GSM7980865_PTC-2	PTC	4947	2.862209419859013e-09	0.45916850769806256	0.2882087	-0.28401473499999996	0.572223435	0.2500505356781888	-1.0
GSM7980866_PTC-3	PTC	4516	-6.630918954949032e-08	0.45585498298723565	0.2189926525	-0.22448714250000001	0.443479795	0.25	-1.0
GSM7980867_PTC-4	PTC	4498	-1.8370766514845645e-08	0.45761814775318727	0.251631555	-0.27762990249999997	0.5292614575	0.2501111605157848	-1.0
GSM7980868_LPTC-1	LPTC	1520	3.279839454414644e-08	0.41697152826814965	0.20714183	-0.23847668	0.44561850999999997	0.25	-1.0
GSM7980869_LPTC-2	LPTC	4071	2.243927683856984e-08	0.5013320017541365	0.36915222000000003	-0.340056185	0.709208405	0.2500614099729796	-1.0
GSM7980870_LPTC-3	LPTC	3336	8.667916667400031e-09	0.48086485928858025	0.3912999475	-0.33820456	0.7295045075	0.25	-1.0
GSM7980871_LPTC-4	LPTC	4707	-5.598400255288993e-09	0.503059684158042	0.25098857500000005	-0.312532875	0.5635214500000001	0.25005311238580835	-1.0
GSM7980872_ATC-1	ATC	4715	-3.898831173215973e-09	0.33791910229510197	0.13761356	-0.05314152	0.19075508	0.0	-1.0
GSM7980873_ATC-2	ATC	2354	-1.8326253170524734e-09	0.30534351052011643	0.026224691	0.026224691	0.0	0.0	-1.0
GSM7980874_ATC-3	ATC	1621	4.929056041931781e-10	0.2486215835864087	0.032965567	0.032965567	0.0	0.0	-0.9999999999999998
GSM7980875_ATC-4	ATC	2586	1.1336670530915758e-08	0.44407184385593107	0.3136203925	-0.25669673000000004	0.5703171225000001	0.25019334880123745	-1.0
