	MYC_targets	Glycolysis_OxPhos	Immune_escape	Cell_cycle	Hypoxia	EMT_program	Stemness_lineage	Angiogenesis	Senescence_SASP	Apoptosis_DDR	Cellular_stress	Thyroid_differen
MYC_targets		0.4483479263787105	0.3933374464382809	0.30042843608489395	0.43081380412967063	0.38543750089965817	0.36329254163459734	0.3326676243450345	0.3569334704521384	0.39033742503811064	0.4446758688100617	0.36940689026881796
Glycolysis_OxPhos	0.4483479263787105		0.40308763054389934	0.2976080479125757	0.49144117768770645	0.3950467176969994	0.3706881096370708	0.34328482086966433	0.36339485672223215	0.39290858898844605	0.4599040959849578	0.3825381757677095
Immune_escape	0.3933374464382809	0.40308763054389934		0.28946268073576265	0.39963024035994604	0.36842050117295	0.34543654377343885	0.33020984925499075	0.34875652815404357	0.3657927414397734	0.4129769171998178	0.3351172557918712
Cell_cycle	0.30042843608489395	0.2976080479125757	0.28946268073576265		0.29855331879355884	0.28325814431847224	0.2814662821612034	0.27514922315253987	0.3004784953022716	0.328240589953768	0.29960778872039584	0.2491566449149714
Hypoxia	0.43081380412967063	0.49144117768770645	0.39963024035994604	0.29855331879355884		0.3915036747293142	0.37166670566398213	0.38054920281979454	0.36281632332400265	0.3870246632765935	0.44799731135832155	0.3721247516398559
EMT_program	0.38543750089965817	0.3950467176969994	0.36842050117295	0.28325814431847224	0.3915036747293142		0.33257991816910293	0.3281164882671743	0.34167868170701493	0.35569311820917615	0.40320341326417	0.33592611456607485
Stemness_lineage	0.36329254163459734	0.3706881096370708	0.34543654377343885	0.2814662821612034	0.37166670566398213	0.33257991816910293		0.3162767830003119	0.32775213660726593	0.34019770695803897	0.37755754050075657	0.3398564073681824
Angiogenesis	0.3326676243450345	0.34328482086966433	0.33020984925499075	0.27514922315253987	0.38054920281979454	0.3281164882671743	0.3162767830003119		0.30898955067877126	0.3275716321297313	0.3498653608763681	0.36481606116579984
Senescence_SASP	0.3569334704521384	0.36339485672223215	0.34875652815404357	0.3004784953022716	0.36281632332400265	0.34167868170701493	0.32775213660726593	0.30898955067877126		0.34201108345860753	0.37073334953240566	0.2966695199003803
Apoptosis_DDR	0.39033742503811064	0.39290858898844605	0.3657927414397734	0.328240589953768	0.3870246632765935	0.35569311820917615	0.34019770695803897	0.3275716321297313	0.34201108345860753		0.3977063053382865	0.3386749530546301
Cellular_stress	0.4446758688100617	0.4599040959849578	0.4129769171998178	0.29960778872039584	0.44799731135832155	0.40320341326417	0.37755754050075657	0.3498653608763681	0.37073334953240566	0.3977063053382865		0.4005613000737412
Thyroid_differen	0.36940689026881796	0.3825381757677095	0.3351172557918712	0.2491566449149714	0.3721247516398559	0.33592611456607485	0.3398564073681824	0.36481606116579984	0.2966695199003803	0.3386749530546301	0.4005613000737412	
