condition	axis	n_samples	n_spots	mean	median	q25	q75	comparison	n1	n2	mean_diff	MW_U	MW_p
CONTROL	RAI_8_score_raw	2.0	2808.0	-4.6485078349426066e-08	0.021160647499999997	-0.323631705	0.32273387249999996						
CONTROL	DM1_like_score_raw	2.0	2808.0	4.6485078349426066e-08	-0.021160647499999997	-0.32273387249999996	0.323631705						
CONTROL	Epithelial_score_raw	2.0	2808.0	-9.502485750467812e-09	-0.05146136900000001	-0.5625761	0.287309465						
CONTROL	Proliferation_score_raw	2.0	2808.0	-3.5178062647092072e-09	-0.10629403	-0.12801062	-0.10629403						
CONTROL	CAF_ECM_score_raw	2.0	2808.0	-3.20658831681041e-09	-0.102717095	-0.30732757	0.149704485						
CONTROL	Hypoxia_score_raw	2.0	2808.0	-1.1332524919737797e-08	-0.044613344	-0.26313663	0.13713443						
GD	RAI_8_score_raw	3.0	6240.0	-4.152085095971012e-09	0.057035803999999996	-0.290461205	0.34948718749999996						
GD	DM1_like_score_raw	3.0	6240.0	4.152085095971012e-09	-0.057035803999999996	-0.34948718749999996	0.290461205						
GD	Epithelial_score_raw	3.0	6240.0	-7.179838133574971e-09	0.013919495	-0.28186088	0.272110515						
GD	Proliferation_score_raw	3.0	6240.0	-2.7384599237806767e-09	-0.10977102	-0.15353891	-0.0229387165						
GD	CAF_ECM_score_raw	3.0	6240.0	-2.7338033668742265e-09	-0.07186624	-0.33430696	0.1804791475						
GD	Hypoxia_score_raw	3.0	6240.0	3.1227210817164065e-10	-0.0456038085	-0.2593499	0.1498485675						
HT	RAI_8_score_raw	3.0	6502.0	2.394249155475016e-09	-0.13157177	-0.4391231675	0.33847445						
HT	DM1_like_score_raw	3.0	6502.0	-2.394249155475016e-09	0.13157177	-0.33847445	0.4391231675						
HT	Epithelial_score_raw	3.0	6502.0	-2.656181175688798e-09	-0.109175205	-0.44831985	0.343704675						
HT	Proliferation_score_raw	3.0	6502.0	-8.498383877886897e-09	-0.19332395	-0.27053576	0.1467339						
HT	CAF_ECM_score_raw	3.0	6502.0	-1.0744578351207491e-09	-0.09732951249999999	-0.306577565	0.18235291						
HT	Hypoxia_score_raw	3.0	6502.0	1.282783449988198e-09	-0.0530755055	-0.31484133	0.18943677750000001						
	RAI_8_score_raw							CONTROL_vs_GD	2808.0	6240.0	-4.2332993253455055e-08	8559098.0	0.07906874765837729
	RAI_8_score_raw							CONTROL_vs_HT	2808.0	6502.0	-4.887932750490108e-08	9810017.0	1.0439020631608732e-08
	RAI_8_score_raw							GD_vs_HT	6240.0	6502.0	-6.5463342514460285e-09	22065517.0	1.016543115798682e-17
	DM1_like_score_raw							CONTROL_vs_GD	2808.0	6240.0	4.2332993253455055e-08	8962822.0	0.07906874765837729
	DM1_like_score_raw							CONTROL_vs_HT	2808.0	6502.0	4.887932750490108e-08	8447599.0	1.0439020631608732e-08
	DM1_like_score_raw							GD_vs_HT	6240.0	6502.0	6.5463342514460285e-09	18506963.0	1.016543115798682e-17
	Epithelial_score_raw							CONTROL_vs_GD	2808.0	6240.0	-2.322647616892841e-09	8699025.5	0.5899636788480775
	Epithelial_score_raw							CONTROL_vs_HT	2808.0	6502.0	-6.846304574779013e-09	9417956.0	0.015066342224209729
	Epithelial_score_raw							GD_vs_HT	6240.0	6502.0	-4.523656957886173e-09	21733461.0	3.0821389910008265e-12
	Proliferation_score_raw							CONTROL_vs_GD	2808.0	6240.0	-7.793463409285305e-10	11443209.0	8.041152407087726e-123
	Proliferation_score_raw							CONTROL_vs_HT	2808.0	6502.0	4.98057761317769e-09	10772235.0	8.04411797384309e-44
	Proliferation_score_raw							GD_vs_HT	6240.0	6502.0	5.75992395410622e-09	23071506.0	2.488605431652475e-41
	CAF_ECM_score_raw							CONTROL_vs_GD	2808.0	6240.0	-4.727849499361835e-10	9136470.0	0.0010806540856487935
	CAF_ECM_score_raw							CONTROL_vs_HT	2808.0	6502.0	-2.1321304816896606e-09	9378008.0	0.036193477708063235
	CAF_ECM_score_raw							GD_vs_HT	6240.0	6502.0	-1.6593455317534773e-09	21060404.0	0.00019112175314208222
