comparison	n_panck	n_vim	panck_mean	vim_mean	MW_p
TROP2 PanCK+ vs VIM+ (microPTC)	5	6	2.1291612760037806	2.3675672585611447	0.7137536313307795
TROP2 PanCK+ vs VIM+ (PDTC)	9	9	1.8967706102088684	1.7082656419910596	0.2507536199295268
TROP2 PanCK+ vs VIM+ (Normal thyroid)	6	6	2.1305737870499133	2.116412409606099	0.748348568843747
TROP2 PanCK+ vs VIM+ (Non-neoplastic nodular area)	9	9	2.585608398587557	2.056582017710443	0.051090762795429484
TROP2 microPTC PanCK+ vs Normal PanCK+	5	6	2.1291612760037806	2.1305737870499133	0.7143791829912025
DM1_axis microPTC PanCK+ vs Normal PanCK+	5	6	4.386108072478716	4.346052367534004	1.0
RAI_8 microPTC PanCK+ vs Normal PanCK+	5	6	4.827906951672985	4.685997147351332	0.24675324675324672
Eight_gene_DM1 microPTC PanCK+ vs Normal PanCK+	5	6	2.2304414401375574	2.550511180088089	0.017316017316017316
HLA_II microPTC PanCK+ vs Normal PanCK+	5	6	2.8401451902723256	2.500202141274205	0.030303030303030304
Cell_cycle microPTC PanCK+ vs Normal PanCK+	5	6	2.1955037673970668	2.272166906010496	0.42857142857142855
DM1_axis PDTC PanCK+ vs microPTC PanCK+	9	5	3.9755288070116652	4.386108072478716	0.000999000999000999
RAI_8 PDTC PanCK+ vs microPTC PanCK+	9	5	4.457483874839831	4.827906951672985	0.000999000999000999
Thyroid_TF PDTC PanCK+ vs microPTC PanCK+	9	5	4.731766528581586	4.281445728857472	0.006993006993006993
