sample	condition	WNT_signaling	WNT_signaling_n	NOTCH_signaling	NOTCH_signaling_n	Hippo_YAP	Hippo_YAP_n	RAS_MAPK	RAS_MAPK_n	PI3K_AKT	PI3K_AKT_n	MYC_targets	MYC_targets_n	TGF_beta	TGF_beta_n	Inflammation_NFkB	Inflammation_NFkB_n
GSM7980860_N-1	PT	0.2499888888276486	8	0.297471388293738	8	0.23277338302020334	6	0.35394591560679706	9	0.4379454981065	8	0.4493059879962564	8	0.3489302376069354	9	0.1897025247449838	9
GSM7980861_N-2	PT	0.22278236372550872	8	0.27535603466144887	8	0.2079293358804848	6	0.23966416513381827	9	0.3622088781362115	8	0.4674534360098162	8	0.28354516919737366	9	0.19677280861011373	9
GSM7980862_N-3	PT	0.10607085226867444	8	0.17546298013873235	8	0.1418794117952314	6	0.21136128537640078	9	0.20814756138560353	8	0.3021601888767102	8	0.1760209826746707	9	0.14896032590328911	9
GSM7980863_N-4	PT	0.0618456502797852	8	0.11607336314870968	8	0.08754113854256827	6	0.1071080230758085	9	0.16254905616557927	8	0.18840625264934882	8	0.11409175283292053	9	0.09883390192499208	9
GSM7980864_PTC-1	PTC	0.3391633812784131	8	0.40277916087130167	8	0.3133735003520379	6	0.4517595250455646	9	0.4570101695831647	8	0.5555593851560484	8	0.40682656757843993	9	0.43958510897159425	9
GSM7980865_PTC-2	PTC	0.22526470424482686	8	0.23933170876973306	8	0.19771707350279688	6	0.3218795408808618	9	0.35904523131932464	8	0.4654199381851928	8	0.2544921705576848	9	0.13444961010959192	9
GSM7980866_PTC-3	PTC	0.18784796593310843	8	0.1769003548398736	8	0.14102553703738882	6	0.2633990493854288	9	0.27312266323701606	8	0.41061022065733355	8	0.1488864878640911	9	0.10661966639139506	9
GSM7980867_PTC-4	PTC	0.34088963750477397	8	0.3512184772673485	8	0.2671222354948803	6	0.4523751728361145	9	0.482563996224514	8	0.5626567200457766	8	0.37954463012332856	9	0.20313532661601721	9
GSM7980868_LPTC-1	LPTC	0.30291238712962326	8	0.3517101565058621	8	0.30352963982909426	6	0.3845515879508362	9	0.4276296715336126	8	0.4440836619474782	8	0.37663127240099886	9	0.25246117995869566	9
GSM7980869_LPTC-2	LPTC	0.3497544356108665	8	0.3962006640809871	8	0.3388611107908428	6	0.43153393378338034	9	0.44089200134097684	8	0.4314373662202466	8	0.3867620833673532	9	0.255759610752975	9
GSM7980870_LPTC-3	LPTC	0.5339942409219846	8	0.5377980103074818	8	0.5478276500922545	6	0.6207963269769856	9	0.6588461323071604	8	0.6999590412744243	8	0.6272127162614788	9	0.43481148897265587	9
GSM7980871_LPTC-4	LPTC	0.2908087366258302	8	0.35806621920568016	8	0.3541764587149616	6	0.4439491563198559	9	0.4190405962903516	8	0.4893788364163484	8	0.4018999293138973	9	0.2650559161832671	9
GSM7980872_ATC-1	ATC	0.5131187657849557	8	0.4669290493850599	8	0.4837557670048903	6	0.5258781681092358	9	0.5249039590181824	8	0.6847855445598497	8	0.5778508358543091	9	0.48875200059437157	9
GSM7980873_ATC-2	ATC	0.5967308312662986	8	0.6410271536775529	8	0.5428447638493599	6	0.7229004706931875	9	0.6970441615617401	8	0.848538930683652	8	0.6341324449419717	9	0.6696959945745286	9
GSM7980874_ATC-3	ATC	0.1081331172076366	8	0.19557676515972108	8	0.18953462699556006	6	0.1897901771763164	9	0.1824421461089787	8	0.2260407450233322	8	0.17898665615633572	9	0.1310127085820212	9
GSM7980875_ATC-4	ATC	0.16992760943191795	8	0.20069113836697897	8	0.11617169512015424	6	0.20969320977274278	9	0.25947480945985746	8	0.3344802457798676	8	0.22867784721610207	9	0.255060128675165	9
