sample	condition	RAI_8_score	DM1_like_score	TDS_like_score	Epithelial_score	Proliferation_score	CAF_ECM_score	EMT_score	Hypoxia_score	TROP2
GSM7980860_N-1	PT	0.49220443534104785	0.49220443534104785	0.4980942701367403	0.22886675369606224	0.02291103300213926	0.3647265570292508	0.060117729407481835	0.0926268511888596	-0.0052091335211053415
GSM7980861_N-2	PT	0.39003041339665295	0.39003041339665295	0.36538853953454997	0.23807027407361495	0.09948137567426532	0.27093012331666183	0.09759925014553349	0.10823558758290261	0.0313793828440706
GSM7980862_N-3	PT	0.22227758133732375	0.22227758133732375	0.20852094720314157	0.18035221883703292	0.031794509234409345	0.17825189508359665	0.057270846696407564	0.03311340342595878	0.08012667480395885
GSM7980863_N-4	PT	0.3971223757884525	0.3971223757884525	0.4092880859048823	0.27021969919930233	0.02728903976136517	0.2848221683812724	0.08394538798827998	0.04924966660577227	0.05286934611030863
GSM7980864_PTC-1	PTC	0.5553241618399831	0.5553241618399831	0.597329539830018	0.4768350532943011	0.31076539673575193	0.6320546495417804	0.26691119790291906	0.15143282615085984	0.3274693781485401
GSM7980865_PTC-2	PTC	0.38980377478710687	0.38980377478710687	0.37290922566568524	0.3413297401993157	0.03299804541681207	0.4279084557848247	0.17402823308247078	0.14539311318761905	0.3414725459926804
GSM7980866_PTC-3	PTC	0.4378540209894249	0.4378540209894249	0.4371790572307555	0.49091743216320094	0.10532327972347544	0.7309383158093503	0.10173408379897088	0.08272636256686423	0.4308040510773461
GSM7980867_PTC-4	PTC	0.3924453862061645	0.3924453862061645	0.36629968431852605	0.5006960526848809	0.03565012173367987	0.5306884360075557	0.09312421682927859	0.0856972195547362	0.5822058729308772
GSM7980868_LPTC-1	LPTC	0.4082496632326293	0.4082496632326293	0.37994974006426585	0.3814309433014925	-0.02067711067274753	0.76555188615483	0.23256416588270337	0.1322424319278021	0.26780745834352854
GSM7980869_LPTC-2	LPTC	0.47957672434146126	0.47957672434146126	0.38612904243013557	0.5480933030867381	0.04327388903298051	0.3714191648843659	0.09492446944681023	0.11076295033715379	0.415769096752099
GSM7980870_LPTC-3	LPTC	0.45436731689002496	0.45436731689002496	0.3584440069853323	0.39961619966499246	0.09547584784141855	0.4892273515229556	0.12508995745418416	0.29602741982037606	0.5624558193256711
GSM7980871_LPTC-4	LPTC	0.5094678565474907	0.5094678565474907	0.4357567789770422	0.6226503045971861	0.1748502064041451	0.5898559527505557	0.19068842969587377	0.20422964846053088	0.5341251136979711
GSM7980872_ATC-1	ATC	0.04316398511984657	0.04316398511984657	0.06491662162530014	0.3678292817298743	0.17141217762284397	0.47220852673700925	0.1659387197464118	0.17413117225050628	0.2923282263841858
GSM7980873_ATC-2	ATC	0.0005661735431840838	0.0005661735431840838	-0.005285534846542918	0.380639948738998	0.44974709528514945	0.21626521838639823	0.28981597310919016	0.305799340607088	0.05667549830593092
GSM7980874_ATC-3	ATC	0.05460859630725965	0.05460859630725965	0.08139586980597589	0.049203408299872194	0.2016142118817876	0.4183433265944462	0.2009637529589742	0.497694027758386	-0.003934464875059141
GSM7980875_ATC-4	ATC	0.46548181195891836	0.46548181195891836	0.46191878499142075	0.3717183269904803	0.07262100574665556	0.5840947265194777	0.046183350043975634	0.07165609584118261	0.006294922497811087
