sample	dataset	condition	TROP2	DM1_like	Epithelial	Proliferation	CAF_ECM	EMT	Hypoxia	RAI_8	HLA_II	B_cell	TLS	IGHV_AICDA
GSM7980860_N-1	GSE250521	PT	-0.0052091335211053	0.4922044353410478	0.2288667536960622	0.0229110330021392	0.3647265570292508	0.0601177294074818	0.0926268511888596	0.4922044353410478				
GSM7980861_N-2	GSE250521	PT	0.0313793828440705	0.3900304133966529	0.2380702740736149	0.0994813756742653	0.2709301233166618	0.0975992501455334	0.1082355875829026	0.3900304133966529				
GSM7980862_N-3	GSE250521	PT	0.0801266748039588	0.2222775813373237	0.1803522188370329	0.0317945092344093	0.1782518950835966	0.0572708466964075	0.0331134034259587	0.2222775813373237				
GSM7980863_N-4	GSE250521	PT	0.0528693461103092	0.3971223757884525	0.2702196991993023	0.0272890397613651	0.2848221683812724	0.0839453879882799	0.0492496666057722	0.3971223757884525				
GSM7980864_PTC-1	GSE250521	PTC	0.32746937814854	0.5553241618399831	0.4768350532943011	0.3107653967357519	0.6320546495417804	0.266911197902919	0.1514328261508598	0.5553241618399831				
GSM7980865_PTC-2	GSE250521	PTC	0.3414725459926804	0.3898037747871068	0.3413297401993157	0.032998045416812	0.4279084557848247	0.1740282330824707	0.145393113187619	0.3898037747871068				
GSM7980866_PTC-3	GSE250521	PTC	0.4308040510773461	0.4378540209894249	0.4909174321632009	0.1053232797234754	0.7309383158093503	0.1017340837989708	0.0827263625668642	0.4378540209894249				
GSM7980867_PTC-4	GSE250521	PTC	0.5822058729308772	0.3924453862061645	0.5006960526848809	0.0356501217336798	0.5306884360075557	0.0931242168292785	0.0856972195547362	0.3924453862061645				
GSM7980868_LPTC-1	GSE250521	LPTC	0.2678074583435285	0.4082496632326293	0.3814309433014925	-0.0206771106727475	0.76555188615483	0.2325641658827033	0.1322424319278021	0.4082496632326293				
GSM7980869_LPTC-2	GSE250521	LPTC	0.4157690967520989	0.4795767243414612	0.5480933030867381	0.0432738890329805	0.3714191648843659	0.0949244694468102	0.1107629503371537	0.4795767243414612				
GSM7980870_LPTC-3	GSE250521	LPTC	0.5624558193256711	0.4543673168900249	0.3996161996649924	0.0954758478414185	0.4892273515229556	0.1250899574541841	0.296027419820376	0.4543673168900249				
GSM7980871_LPTC-4	GSE250521	LPTC	0.5341251136979711	0.5094678565474907	0.6226503045971861	0.1748502064041451	0.5898559527505557	0.1906884296958737	0.2042296484605308	0.5094678565474907				
GSM7980872_ATC-1	GSE250521	ATC	0.2923282263841856	0.0431639851198465	0.3678292817298743	0.1714121776228439	0.4722085267370092	0.1659387197464118	0.1741311722505062	0.0431639851198465				
GSM7980873_ATC-2	GSE250521	ATC	0.0566754983059308	0.000566173543184	0.380639948738998	0.4497470952851494	0.2162652183863982	0.2898159731091901	0.305799340607088	0.000566173543184				
GSM7980874_ATC-3	GSE250521	ATC	-0.0039344648750591	0.0546085963072596	0.0492034082998721	0.2016142118817876	0.4183433265944462	0.2009637529589742	0.497694027758386	0.0546085963072596				
GSM7980875_ATC-4	GSE250521	ATC	0.006294922497811	0.4654818119589183	0.3717183269904803	0.0726210057466555	0.5840947265194777	0.0461833500439756	0.0716560958411826	0.4654818119589183				
GSM7221915_P1	GSE230424	PTC_HT	0.0404418882601333								0.6697726360450308	0.5098318857093643	0.5399243879545023	0.6056574357363472
GSM7221916_P2	GSE230424	PTC_HT	0.2165202853856602								0.6907105461234246	0.5554434402003986	0.5483285242937215	0.6362081444836348
GSM7221917_P3	GSE230424	PTC_HT	0.0260646008455707								0.8055203721940768	0.6717886218537209	0.6057899743812873	0.8439414393393202
GSM7221918_P4	GSE230424	PTC_HT	0.1244302536011944								0.4827942023134804	0.2395812919142934	0.269502401083983	0.3983193427521524
GSM7908359_C1	GSE248205	CONTROL	-0.0045156742051819											
GSM7908360_C2	GSE248205	CONTROL	0.0617659437178042											
GSM7908361_HT1	GSE248205	HT	0.0155197515687107											
GSM7908362_HT2	GSE248205	HT	0.0308364559386822											
GSM7908363_HT3	GSE248205	HT	0.0488118105851505											
GSM7908364_GD1	GSE248205	GD	0.1133691469254379											
GSM7908365_GD2	GSE248205	GD	0.0604674098710264											
GSM7908366_GD3	GSE248205	GD	-0.008311978929426											
