axis	condition	mean	std	count
B_cell	ATC	0.25933229060244656	0.19194154727143278	4
B_cell	CONTROL	0.06493987102442246	0.030562498450623903	2
B_cell	GD	0.19723904550163104	0.009720581322783806	3
B_cell	HT	0.3737099146110505	0.08847103259835483	3
B_cell	LPTC	0.2304769835920192	0.046937282868518344	4
B_cell	PT	0.09743142458210874	0.02587154286378722	4
B_cell	PTC	0.2768357036922677	0.2005548934257224	4
B_cell	PTC_HT	0.4977465087433671	0.17374309379868133	4
CAF_ECM_score	ATC	0.43470856962245286	0.15405784291494765	4
CAF_ECM_score	CONTROL	0.279201508124452	0.18433949177616368	2
CAF_ECM_score	GD	0.17730398918581414	0.06706837056862212	3
CAF_ECM_score	HT	0.26545557881707516	0.03818938834679877	3
CAF_ECM_score	LPTC	0.5542229892138864	0.1704397321200582	4
CAF_ECM_score	PT	0.27435039770956404	0.06120298275304299	4
CAF_ECM_score	PTC	0.5897633871058245	0.12637745174348064	4
CAF_ECM_score	PTC_HT	0.34463682032846604	0.07291404922919048	4
DM1_like_score	ATC	0.13294655735608796	0.22811223854704316	4
DM1_like_score	CONTROL	0.31461841702402915	0.07749722994053607	2
DM1_like_score	GD	0.3944362422935648	0.044134514043831403	3
DM1_like_score	HT	0.48982674834899925	0.11524677204679135	3
DM1_like_score	LPTC	0.47095390193055836	0.04604078337022299	4
DM1_like_score	PT	0.38305401963034813	0.10388277251456501	4
DM1_like_score	PTC	0.4364590878145379	0.07921449198773235	4
DM1_like_score	PTC_HT	0.5314034675726829	0.0781589523505915	4
EMT_score	ATC	0.18095307883355571	0.10454345940731818	4
EMT_score	CONTROL	0.10957624414897617	0.1292957260678266	2
EMT_score	GD	0.09458309764499107	0.012969027014933316	3
EMT_score	HT	0.05901536955821814	0.04442066916620749	3
EMT_score	LPTC	0.17550500714032266	0.0614500502205485	4
EMT_score	PT	0.07882789630711867	0.03528523659974416	4
EMT_score	PTC	0.15655253316056317	0.0713377939272137	4
EMT_score	PTC_HT	0.14784345135500132	0.062435286100861485	4
Epithelial_score	ATC	0.2913704182450548	0.16336110676622445	4
Epithelial_score	CONTROL	0.11147521175005934	0.010349490751400065	2
Epithelial_score	GD	0.15778506339759088	0.08286089384519695	3
Epithelial_score	HT	0.2564267864729375	0.098650854243071	3
Epithelial_score	LPTC	0.48534818988423023	0.12527061793919225	4
Epithelial_score	PT	0.22006196435570097	0.036918873398619614	4
Epithelial_score	PTC	0.44963166741687816	0.07975578066827888	4
Epithelial_score	PTC_HT	0.355619204407078	0.04621704897146924	4
HLA_II	ATC	0.5624664225718365	0.2524333218740797	4
HLA_II	CONTROL	0.181796173713202	0.05335396297510909	2
HLA_II	GD	0.4084819670037058	0.06872615333782979	3
HLA_II	HT	0.39259571995588605	0.0860236146746024	3
HLA_II	LPTC	0.45228550055204425	0.1526702366396494	4
HLA_II	PT	0.3162494909861562	0.13754469360653301	4
HLA_II	PTC	0.42939965252180357	0.1947819160816993	4
HLA_II	PTC_HT	0.6601330924260672	0.13421598409181418	4
Hypoxia_score	ATC	0.26256917795358026	0.19216326711045698	4
Hypoxia_score	CONTROL	0.048286044213895415	0.012114129089780113	2
Hypoxia_score	GD	0.05481803586905413	0.02713204844389086	3
Hypoxia_score	HT	0.07350578937041471	0.008446623297268153	3
Hypoxia_score	LPTC	0.1883742004711227	0.08662452441411087	4
Hypoxia_score	PT	0.06802511064752631	0.03374307455879306	4
Hypoxia_score	PTC	0.11489703301231251	0.03164859427812025	4
Hypoxia_score	PTC_HT	0.1091440680789386	0.05549137561112199	4
IGHV_AICDA	ATC	0.5216666477383443	0.06482001260000851	4
IGHV_AICDA	CONTROL	0.2940839312534588	0.09293829981815455	2
IGHV_AICDA	GD	0.4082717857365073	0.07867498560287535	3
IGHV_AICDA	HT	0.40258260615351854	0.11885141669918134	3
IGHV_AICDA	LPTC	0.6209523183415652	0.10815042586118293	4
IGHV_AICDA	PT	0.49137979717094027	0.07899738566393669	4
IGHV_AICDA	PTC	0.6213601245500322	0.10121203130007166	4
IGHV_AICDA	PTC_HT	0.619928098835312	0.1830654767087424	4
Proliferation_score	ATC	0.22125615406573892	0.15657089547535052	4
Proliferation_score	CONTROL	0.020726184079374717	0.019789060794841065	2
Proliferation_score	GD	0.05092650096924514	0.0682619559998595	3
Proliferation_score	HT	0.2809755278126427	0.10743022122533606	3
Proliferation_score	LPTC	0.09494622337103531	0.06610691832591852	4
Proliferation_score	PT	0.035061033409842575	0.030432575182569997	4
Proliferation_score	PTC	0.11756634699934368	0.1283052643798855	4
Proliferation_score	PTC_HT	0.13870328695450385	0.08829109530889026	4
RAI_8_score	ATC	0.13294655735608796	0.22811223854704316	4
RAI_8_score	CONTROL	0.31461841702402915	0.07749722994053607	2
RAI_8_score	GD	0.3944362422935648	0.044134514043831403	3
RAI_8_score	HT	0.48982674834899925	0.11524677204679135	3
RAI_8_score	LPTC	0.47095390193055836	0.04604078337022299	4
RAI_8_score	PT	0.38305401963034813	0.10388277251456501	4
RAI_8_score	PTC	0.4364590878145379	0.07921449198773235	4
RAI_8_score	PTC_HT	0.5314034675726829	0.0781589523505915	4
TDS_like_score	ATC	0.141199703266416	0.22369276142523326	4
TDS_like_score	CONTROL	0.32686592206706544	0.08020000001734684	2
TDS_like_score	GD	0.4073002836047956	0.04805597031423907	3
TDS_like_score	HT	0.4943981907372504	0.1080305943034744	3
TDS_like_score	LPTC	0.39793623347369045	0.02641050465443369	4
TDS_like_score	PT	0.3793417951033825	0.1084878339992695	4
TDS_like_score	PTC	0.43614309352976377	0.10875117353355927	4
TDS_like_score	PTC_HT	0.534833689400939	0.06470177404190829	4
TLS	ATC	0.32284179337340274	0.13891053147596696	4
TLS	CONTROL	0.11927747711692079	0.05938866104699397	2
TLS	GD	0.3048512523380655	0.08636372749590339	3
TLS	HT	0.398444310642966	0.07308609165741664	3
TLS	LPTC	0.3635884853111507	0.2446713621410233	4
TLS	PT	0.2187833911666776	0.08220205359730062	4
TLS	PTC	0.4669516407457248	0.13205982047677173	4
TLS	PTC_HT	0.49121181181197077	0.14713885437821703	4
TROP2	ATC	0.09661133267149878	0.14358941025658448	4
TROP2	CONTROL	0.010955661467640931	0.023025414932439144	2
TROP2	GD	0.053619615520810536	0.07363805444881143	3
TROP2	HT	0.016844957783971597	0.02610175878764707	3
TROP2	LPTC	0.45011132016554195	0.15198182592458886	4
TROP2	PT	0.040096849068933495	0.03500861210116132	4
TROP2	PTC	0.420050373644905	0.11790020368651953	4
TROP2	PTC_HT	0.09443587061123501	0.0862298475582997	4
