slide	stage	n_spots	mean_target_DM1_like_z	mean_pred_morph_DM1_z	rho_spot_target_vs_pred	p_spot_target_vs_pred
GSM7980860_N-1	PT	200	0.09647103457555335	0.3232221305370331	0.39413785344633623	7.719392891219038e-09
GSM7980861_N-2	PT	200	-0.028739463052284725	-0.20588402450084686	0.26223505587639695	0.0001760050983131864
GSM7980862_N-3	PT	200	0.006042847619504488	-0.3241851329803467	0.19772294307357685	0.005008942421176651
GSM7980863_N-4	PT	200	0.09884536077808055	-0.2294975221157074	0.16842721068026706	0.01712340725358994
GSM7980864_PTC-1	PTC	200	0.14284653691075516	0.16425581276416779	0.33602019239749975	1.1477853649989444e-06
GSM7980865_PTC-2	PTC	200	-0.07025529228095607	-0.025452377274632454	0.4726183154578865	1.594436608637625e-12
GSM7980866_PTC-3	PTC	200	-0.1268360018996096	-0.17655296623706818	0.10587568659555481	0.135667647366611
GSM7980867_PTC-4	PTC	200	0.013794720860317206	-0.08362850546836853	0.31312050221664045	6.347191944234861e-06
GSM7980868_LPTC-1	LPTC	200	-0.08128149655024033	-0.32604044675827026	0.3209300232505813	3.5981415519002334e-06
GSM7980869_LPTC-2	LPTC	200	0.0711881233159298	0.6144611835479736	0.46279191877770315	5.214618939573702e-12
GSM7980870_LPTC-3	LPTC	200	-0.026647729864847158	0.09354835748672485	0.4068236374971322	2.2606889818051992e-09
GSM7980871_LPTC-4	LPTC	200	-0.024809738813627705	0.04788912832736969	0.3279698222342623	2.1275785827493702e-06
GSM7980872_ATC-1	ATC	200	0.051987112210306226	0.006611150689423084	-0.019805119864915798	0.7807372491733843
GSM7980873_ATC-2	ATC	200	-0.09466383127858931	-0.16994474828243256	-0.10429643222399025	0.14163208432701452
GSM7980874_ATC-3	ATC	200	-0.015822743908883274	0.11905195564031601	0.039208225877014835	0.5814797772995148
GSM7980875_ATC-4	ATC	200	-0.012119438621408766	0.09389231353998184	0.32570529627115163	2.5229831150159933e-06
