test	tcga_target	lee2024_value	n_DM1	n_DM2	p	verdict	n
HT-13_DM1vsDM2_cohen_d	1.583	-0.016573420867202236	353.0	16.0	0.8339199000164994	WEAK_OR_FLIP	
MAPK-9_DM1vsDM2_cohen_d	1.81	0.9989590752782416	353.0	16.0	0.0022574209338112497	REPLICATES_SIGN	
FA-12_DM1vsDM2_cohen_d	-0.641	-1.2196251747138789	353.0	16.0	0.0022039147826987226	REPLICATES_SIGN	
AUC_HT_vs_Hashimoto_GMM	0.948	0.9285775273224043				REPLICATES	632.0
AUC_HT_dediff_ATCPDTCvsPTC	n/a (dediff axis)	0.3946360153256705				INFO	369.0
AUC_FA_dediff_ATCPDTCvsPTC	n/a (dediff axis)	0.7931034482758621				INFO	369.0
AUC_MAPK_dediff_ATCPDTCvsPTC	n/a (dediff axis)	0.3823207443897099				INFO	369.0
AUC_HT_vs_DMsurrogate_DM1	n/a	0.4844192634560906				INFO	369.0
AUC_MAPK_vs_DMsurrogate_DM1	n/a	0.7257436260623229				INFO	369.0
AUC_FAneg_vs_DMsurrogate_DM1	n/a	0.7262747875354107				INFO	369.0
AUC_p8_vs_DMsurrogate_DM1_sanity	>=0.95 (tautology)	1.0				SANITY	369.0
AUC_HTplusFA_combo_vs_DMsurrogate	0.974	0.6519121813031161				WEAK	369.0
AUC_HTplusFA_combo_vs_Hashimoto	n/a	0.7281784386617101				INFO	369.0
pearson_HT_x_FA_tumor	-0.156	-0.0058582388128802804			0.9107026892791354	REPLICATES_ORTHOGONAL	369.0
pearson_HT_x_MAPK_tumor	0.233	-0.05294225326011421				INFO	369.0
pearson_FA_x_MAPK_tumor	0.007	-0.4181170275383955				INFO	369.0
PFI_HR_DM1vsDM2_BRAF_cPTC	0.211					NOT_TESTABLE_no_survival_in_GSE213647 (GEO SOFT genotype/treatment=NA; Lee 2024 MOESM5 has only fixation/library/dx_year/age/sex)	0.0
OS_HR_DM1vsDM2_BRAF_cPTC	0.067					NOT_TESTABLE_no_survival_in_GSE213647 (GEO SOFT genotype/treatment=NA; Lee 2024 MOESM5 has only fixation/library/dx_year/age/sex)	0.0
DSS_HR_DM1vsDM2_BRAF_cPTC	8.78					NOT_TESTABLE_no_survival_in_GSE213647 (GEO SOFT genotype/treatment=NA; Lee 2024 MOESM5 has only fixation/library/dx_year/age/sex)	0.0
DM1xTERT_PFI_HR	6.94					NOT_TESTABLE_no_survival_in_GSE213647 (GEO SOFT genotype/treatment=NA; Lee 2024 MOESM5 has only fixation/library/dx_year/age/sex)	0.0
