gene	dm_cluster	n	altered_pct	deep_del_pct	amp_pct
CDKN2A	DM1	90	5.6	0.0	0.0
CDKN2A	DM2	53	13.2	0.0	0.0
CDKN2A	not_DM	397	3.0	0.0	0.0
CDKN2B	DM1	90	5.6	0.0	0.0
CDKN2B	DM2	53	13.2	0.0	0.0
CDKN2B	not_DM	397	3.0	0.0	0.0
TP53	DM1	90	1.1	0.0	0.0
TP53	DM2	53	20.8	0.0	0.0
TP53	not_DM	397	2.8	0.5	0.0
MYC	DM1	90	1.1	0.0	0.0
MYC	DM2	53	11.3	0.0	0.0
MYC	not_DM	397	1.3	0.3	0.0
PTEN	DM1	90	4.4	2.2	0.0
PTEN	DM2	53	17.0	5.7	0.0
PTEN	not_DM	397	0.5	0.0	0.0
RB1	DM1	90	3.3	0.0	0.0
RB1	DM2	53	13.2	1.9	0.0
RB1	not_DM	397	3.5	0.0	0.0
EGFR	DM1	90	2.2	0.0	0.0
EGFR	DM2	53	22.6	0.0	0.0
EGFR	not_DM	397	1.0	0.0	0.0
MET	DM1	90	2.2	0.0	0.0
MET	DM2	53	26.4	0.0	0.0
MET	not_DM	397	1.3	0.0	0.0
CCND1	DM1	90	0.0	0.0	0.0
CCND1	DM2	53	9.4	0.0	0.0
CCND1	not_DM	397	3.8	0.0	0.0
