gene	n	spearman_rho	p
SLC5A5	497	-0.069	0.12307626920852265
TPO	497	-0.683	2.0611210119062392e-69
TG	497	-0.46	2.1717152937374633e-27
TSHR	497	-0.353	5.192699494764918e-16
PAX8	497	-0.379	2.233706641522365e-18
NKX2-1	497	-0.191	1.8424555802088786e-05
FOXE1	497	-0.228	2.7584611134567213e-07
DIO1	497	-0.331	3.504124670938627e-14
