protein	n_DM1	n_DM2	mean_DM1	mean_DM2	cohens_d	mw_p
MAPK1	55	47	1.377	0.987	0.742	0.00034590802972597897
AKT1	55	47	0.88	0.705	0.317	0.21424384537713126
MTOR	55	47	1.125	1.038	0.31	0.10423834047267308
PTEN	55	47	0.702	0.492	0.483	0.027194759918475118
TP53	55	47	-1.455	-1.35	-0.344	0.08878284609648662
EGFR	55	47	0.163	-0.098	0.775	5.869502000523475e-05
RAF1	55	47	1.045	0.971	0.348	0.10786364845774704
NKX2-1	25	12	1.072	0.867	0.354	0.4653923881242664
