cohort	group	axis	n	mean	median	sd
GSE286332	PTC	8-gene RAI	9	0.5014108882851921	0.6478523682322893	0.42679021283182944
GSE286332	PTC+HT	8-gene RAI	9	-0.5014108882851918	-0.5628721357902021	0.7754938904969804
GSE286332	PTC	HLA_II module	9	-0.8329357905066501	-0.9062715510713382	0.37177852012877927
GSE286332	PTC+HT	HLA_II module	9	0.8329357905066493	1.1235148145107998	0.5282303700982184
TCGA-THCA	DM1	g8_RAI	130	0.587458578474465	0.6848894077365667	0.5504431036123384
TCGA-THCA	DM1	HLA_II module	130	-0.9318201657406999	-0.9214703480694405	0.6480924683766766
TCGA-THCA	DM1	HT-overlap signature score	130	-0.7748996370456117	-0.8598226677336669	0.4676421569642635
TCGA-THCA	DM1+hashi	g8_RAI	10	0.33640509215631675	0.43133341266056857	0.5007525212234564
TCGA-THCA	DM1+hashi	HLA_II module	10	1.2391513639561809	1.07924719624058	0.4867334245717682
TCGA-THCA	DM1+hashi	HT-overlap signature score	10	1.7212185838320746	1.710516017347196	1.0016115510004608
TCGA-THCA	DM2	g8_RAI	272	-0.28955634538783254	-0.29542281807339643	0.4811954069977891
TCGA-THCA	DM2	HLA_II module	272	0.01849912242843233	0.04827595892170925	0.5634137439903104
TCGA-THCA	DM2	HT-overlap signature score	272	-0.21236025162825295	-0.24252242077462532	0.40372873181316793
TCGA-THCA	DM2+hashi	g8_RAI	88	-0.5439154930916033	-0.5317489647296108	0.5176660884890234
TCGA-THCA	DM2+hashi	HLA_II module	88	1.1785607568885863	1.1668837848634959	0.43248697328677105
TCGA-THCA	DM2+hashi	HT-overlap signature score	88	1.6055313115965182	1.529942400566498	0.7252547096542349
Mun2025-protein	PTC	8-gene protein mean	177	0.9596460715221954	0.9153866405714285	0.24396335437863786
Mun2025-protein	PDTC	8-gene protein mean	46	0.7893207103913045	0.671665172142857	0.3488056686338166
Mun2025-protein	ATC	8-gene protein mean	113	0.5176504070366624	0.4875836548571429	0.18258940220634035
