layer	cohort_cut	cell_type	n_DM1	n_DM2	mean_DM1	mean_DM2	cohen_d	MW_p	BH_FDR
TLS_signature	BRAF_cPTC_CLAM_n41	TLS_Cabrita12	26	15	0.33417466840151305	-0.546643602025257	1.0937424491117318	0.0006816431386151663	0.0006816431386151663
geneset_LM22	BRAF_cPTC_CLAM_n41	Macrophage_M2	26	15	0.25165822698743495	-0.9628892997091405	2.320641242924608	1.7770474795171823e-06	1.599342731565464e-05
geneset_LM22	BRAF_cPTC_CLAM_n41	DC	26	15	0.4283052681154009	-0.9571167271116664	1.8230048697612464	1.3979113020408282e-05	4.1937339061224845e-05
geneset_LM22	BRAF_cPTC_CLAM_n41	Treg	26	15	0.4636613547085962	-0.965960003632221	1.6993142567702781	4.479663911021777e-06	2.0158487599597996e-05
geneset_LM22	BRAF_cPTC_CLAM_n41	Naive_B	26	15	0.30735951468649986	-0.7244367034895766	1.350365869557045	4.6307273315838145e-05	0.00010419136496063583
geneset_LM22	BRAF_cPTC_CLAM_n41	CD4_Tfh	26	15	0.32865104674443796	-0.6177009564032685	1.3009284321308099	0.00010272788105483084	0.00018491018589869552
geneset_LM22	BRAF_cPTC_CLAM_n41	Macrophage_M1	26	15	0.5005655075731805	-0.6061590623996044	1.170442630086427	0.0012187364256394419	0.0018281046384591628
geneset_LM22	BRAF_cPTC_CLAM_n41	CD8_T	26	15	0.3737514382087838	-0.71315413878	1.0399442819083076	0.0027819383185309922	0.0035767778381112754
geneset_LM22	BRAF_cPTC_CLAM_n41	Plasma_cells	26	15	0.2806205578137217	-0.3383107744190956	0.6384028987534057	0.052958181869523405	0.05957795460321383
geneset_LM22	BRAF_cPTC_CLAM_n41	Memory_B	26	15	0.2062810080792965	-0.12468889182890112	0.39351476664893675	0.42460090274675955	0.42460090274675955
nuSVR_8class	BRAF_cPTC_CLAM_n41	Myeloid cell	26	15	0.2310161018877919	0.20284730568585851	1.9356249995672512	2.6523445028050407e-06	2.1218756022440326e-05
nuSVR_8class	BRAF_cPTC_CLAM_n41	Malignant cell	26	15	0.30081200809967396	0.2528383330357108	1.454410890498392	2.2761517573216234e-05	9.104607029286493e-05
nuSVR_8class	BRAF_cPTC_CLAM_n41	NK cell	26	15	0.03851692003727129	0.02949151314119333	0.5549676708290289	0.107296906781342	0.14306254237512267
nuSVR_8class	BRAF_cPTC_CLAM_n41	Fibroblast	26	15	0.08584967801038844	0.07427646547797088	0.3856702120725395	0.3366204369462409	0.3847090707957039
nuSVR_8class	BRAF_cPTC_CLAM_n41	B cell	26	15	0.05555087492990423	0.04832221811178294	0.3809030183704595	0.6551647126421812	0.6551647126421812
nuSVR_8class	BRAF_cPTC_CLAM_n41	T cell	26	15	0.09873895603559875	0.13658180877640805	-0.7934795179779781	0.02381136073530453	0.038098177176487245
nuSVR_8class	BRAF_cPTC_CLAM_n41	Endothelial cell	26	15	0.12011928625763607	0.13907379760705066	-0.8643239326213684	0.022188379880571592	0.038098177176487245
nuSVR_8class	BRAF_cPTC_CLAM_n41	Epithelial cell	26	15	0.069396174741735	0.11656855816402457	-1.696938010523288	5.834906122511855e-05	0.00015559749660031612
TLS_signature	BRAF_cPTC_n110	TLS_Cabrita12	85	25	0.4111501019362325	-0.5141641435766205	0.9646150412074703	6.405398904284219e-07	6.405398904284219e-07
geneset_LM22	BRAF_cPTC_n110	Macrophage_M2	85	25	0.2124691326699684	-0.9271409684461911	1.8255581080344916	1.8972189718231394e-10	8.537485373204127e-10
geneset_LM22	BRAF_cPTC_n110	DC	85	25	0.4921050221271099	-0.9075500375150933	1.7369811708286451	1.175991794364414e-11	1.0583926149279727e-10
geneset_LM22	BRAF_cPTC_n110	Treg	85	25	0.46270328962349544	-0.8985957011399249	1.4292708189002241	3.0129305732393587e-10	9.038791719718076e-10
geneset_LM22	BRAF_cPTC_n110	Naive_B	85	25	0.441794149258867	-0.6990504883843003	1.2562709984760392	5.214143892388427e-10	1.1731823757873961e-09
geneset_LM22	BRAF_cPTC_n110	CD4_Tfh	85	25	0.3926974023731025	-0.5448780933658465	1.040003909067584	1.5843025521867868e-07	2.8517445939362164e-07
geneset_LM22	BRAF_cPTC_n110	CD8_T	85	25	0.48840889940668014	-0.5839134330728286	1.0155656650328182	7.004339513109753e-06	1.050650926966463e-05
geneset_LM22	BRAF_cPTC_n110	Macrophage_M1	85	25	0.46601801918486896	-0.5217223994673915	0.948266462312795	7.76704185033542e-05	9.986196664716968e-05
geneset_LM22	BRAF_cPTC_n110	Plasma_cells	85	25	0.28983707426919203	-0.28282258407872735	0.5738337301063321	0.012799933879334204	0.014399925614250979
geneset_LM22	BRAF_cPTC_n110	Memory_B	85	25	0.3176324875730079	0.03732600400912021	0.30045033079350797	0.6429193644417155	0.6429193644417155
nuSVR_8class	BRAF_cPTC_n110	Malignant cell	85	25	0.2952637097662325	0.2582406281015235	1.220684371835312	2.0676108027609003e-08	8.270443211043601e-08
nuSVR_8class	BRAF_cPTC_n110	Myeloid cell	85	25	0.2276116528049666	0.2077421652679802	1.000907778491997	2.784091314391128e-06	7.424243505043008e-06
nuSVR_8class	BRAF_cPTC_n110	B cell	85	25	0.05928158566228763	0.04789614982505967	0.5363623608791479	0.05593461682364241	0.07457948909818989
nuSVR_8class	BRAF_cPTC_n110	Fibroblast	85	25	0.08192824157337605	0.06869023019243184	0.48913778237683064	0.020443637372930687	0.0327098197966891
nuSVR_8class	BRAF_cPTC_n110	NK cell	85	25	0.0371347454768646	0.03204269480333775	0.3197291069263936	0.08432728220208636	0.09637403680238442
