head	testset	n	n_pos	AUROC	CI_lo95	CI_hi95
A	ITSNdb_combined	311	130	0.7903527411814705	0.7377936361219852	0.8409226258130922
A	ITSNdb_no_overlap	103	32	0.46302816901408456	0.3416567990832696	0.5833455165692008
A	ITSNdb_in_master	208	98	0.9252319109461966	0.8906843120968033	0.957633089447012
B	ITSNdb_no_overlap_corr	103	-1		0.3789959600724783	0.5343979264596056
