head	testset	n	n_pos	AUROC	CI_lo95	CI_hi95
A	ITSNdb_combined	311	130	0.7873778155546111	0.7343121397584723	0.8371855566913706
A	ITSNdb_no_overlap	103	32	0.47271126760563387	0.35163294769962783	0.5895035674573759
A	ITSNdb_in_master	208	98	0.9204081632653062	0.882751444092657	0.9533115676733618
C	ITSNdb_no_overlap_corr	103	-1		0.5169916297974969	0.49521152747880337
