combination	no_overlap_AUROC	CI_lo95	CI_hi95
full	0.4793133802816901	0.3565936751420622	0.5951350437658753
A_only	0.4480633802816902	0.3346548656822629	0.5703755631909738
AB	0.4630281690140845	0.3416567990832696	0.5833455165692008
AC	0.4727112676056338	0.3516329476996278	0.5895035674573759
AD	0.474031690140845	0.3543450292397661	0.5963269176352792
