tag	head	testset	n	n_pos	AUROC	CI_lo95	CI_hi95
full	A	ITSNdb_combined	311	130	0.7744581385465363	0.7223884321005245	0.8279162791750104
full	A	ITSNdb_no_overlap	103	32	0.4793133802816901	0.3565936751420622	0.5951350437658753
full	A	ITSNdb_in_master	208	98	0.910204081632653	0.8683406258953084	0.9454375190946044
A_only	A	ITSNdb_combined	311	130	0.8058648533786655	0.7550148269592871	0.8533969707462462
A_only	A	ITSNdb_no_overlap	103	32	0.4480633802816902	0.3346548656822629	0.5703755631909738
A_only	A	ITSNdb_in_master	208	98	0.9387755102040816	0.9074165747315024	0.9679860593593128
AB	A	ITSNdb_combined	311	130	0.7903527411814705	0.7377936361219852	0.8409226258130922
AB	A	ITSNdb_no_overlap	103	32	0.4630281690140845	0.3416567990832696	0.5833455165692008
AB	A	ITSNdb_in_master	208	98	0.9252319109461966	0.8906843120968033	0.957633089447012
AC	A	ITSNdb_combined	311	130	0.7873778155546111	0.7343121397584723	0.8371855566913706
AC	A	ITSNdb_no_overlap	103	32	0.4727112676056338	0.3516329476996278	0.5895035674573759
AC	A	ITSNdb_in_master	208	98	0.9204081632653062	0.882751444092657	0.9533115676733618
AD	A	ITSNdb_combined	311	130	0.7925201869953251	0.7385125646641283	0.8411407348419682
AD	A	ITSNdb_no_overlap	103	32	0.474031690140845	0.3543450292397661	0.5963269176352792
AD	A	ITSNdb_in_master	208	98	0.9264378478664194	0.8920264276321969	0.957645833889579
