cohort	n	BRAF_V600E	RAS_hotspot	TripleNeg	TERT+	PTC_HT	PTC_CTRL	cPTC	Normal	fvPTC	ATC	FTC	other	dark_matter
TCGA-THCA	576	319	61	184	39									
GSE286332	18					9	0							
GSE213647-Korean	632								262					
K2-Yoo2016	180	67	45		0									68
