genotype	studies	n	k	crude_pct	pooled_pct	ci_low	ci_high	I2
BRAF V600E	6	65	43	66.15384615384616	62.1034236583365	45.906704346657015	75.98723445910025	35.53720936391039
RAS	3	40	33	82.5	78.74424430492697	52.70833627400209	92.48896004701126	47.41630621219153
