gene	thymus_nTPM	thyroid_nTPM	thymus_thyroid_ratio	interpretation
TSHR	19.4	257.0	0.0754863813229572	present in thymus mTEC bulk signal
FOXE1	1.9	182.0	0.010439560439560439	present in thymus mTEC bulk signal
DUOX1	1.4	59.2	0.023648648648648646	present in thymus mTEC bulk signal
DIO2	1.1	332.6	0.003307276007215875	present in thymus mTEC bulk signal
PAX8	0.5	537.2	0.0009307520476545048	present in thymus mTEC bulk signal
TG	0.4	8743.8	4.574670051922506e-05	present in thymus mTEC bulk signal
SLC5A5	0.0	11.2	0.0	absent in thymus → potential AIRE gap (hypothesis)
TPO	0.0	1387.6	0.0	absent in thymus → potential AIRE gap (hypothesis)
IYD	0.0	442.1	0.0	absent in thymus → potential AIRE gap (hypothesis)
DUOX2	0.0	70.8	0.0	absent in thymus → potential AIRE gap (hypothesis)
NKX2-1	0.0	162.9	0.0	absent in thymus → potential AIRE gap (hypothesis)
DIO1	0.0	243.4	0.0	absent in thymus → potential AIRE gap (hypothesis)
