tissueSiteDetailId	AIRE_TPM
Brain_Hypothalamus	4.01706
Brain_Anterior_cingulate_cortex_BA24	1.6906900000000002
Brain_Cortex	1.38286
Brain_Frontal_Cortex_BA9	1.30457
Brain_Nucleus_accumbens_basal_ganglia	1.15205
Brain_Substantia_nigra	0.8485889999999999
Brain_Caudate_basal_ganglia	0.834599
Nerve_Tibial	0.779275
Skin_Not_Sun_Exposed_Suprapubic	0.756532
Kidney_Medulla	0.6048100000000001
Small_Intestine_Terminal_Ileum	0.592345
Brain_Putamen_basal_ganglia	0.57372
Skin_Sun_Exposed_Lower_leg	0.569186
Brain_Hippocampus	0.5465810000000001
Testis	0.5248430000000001
Brain_Spinal_cord_cervical_c-1	0.49190100000000003
Cervix_Endocervix	0.488022
Brain_Amygdala	0.487196
Pituitary	0.45509799999999995
Cervix_Ectocervix	0.348698
Prostate	0.296113
Vagina	0.290779
Kidney_Cortex	0.287119
Adipose_Subcutaneous	0.255288
Thyroid	0.21394699999999997
Bladder	0.21043800000000001
Breast_Mammary_Tissue	0.200457
Colon_Transverse	0.18846500000000002
Colon_Sigmoid	0.173381
Adipose_Visceral_Omentum	0.15770399999999998
Heart_Atrial_Appendage	0.154275
Artery_Coronary	0.147781
Brain_Cerebellum	0.14502
Stomach	0.11253699999999998
Spleen	0.0973684
Minor_Salivary_Gland	0.09097369999999999
Esophagus_Mucosa	0.0880148
Uterus	0.0784184
Artery_Aorta	0.0708283
Brain_Cerebellar_Hemisphere	0.06847189999999999
Esophagus_Gastroesophageal_Junction	0.059812300000000006
Whole_Blood	0.05722530000000001
Fallopian_Tube	0.056295000000000005
Lung	0.0530461
Heart_Left_Ventricle	0.0520391
Esophagus_Muscularis	0.049373099999999996
Artery_Tibial	0.0479609
Cells_EBV-transformed_lymphocytes	0.0364515
Adrenal_Gland	0.035228800000000005
Cells_Cultured_fibroblasts	0.0267741
Ovary	0.021812099999999997
Muscle_Skeletal	0.018382
Pancreas	0.0137373
Liver	0.00848615
