gene	adipose_tissue	adrenal_gland	appendix	bone_marrow	brain	breast	cervix	colon	duodenum	epididymis	esophagus	fallopian_tube	gallbladder	heart_muscle	kidney	liver	lung	lymph_node	ovary	pancreas	parathyroid_gland	pituitary_gland	placenta	prostate	rectum	retina	salivary_gland	seminal_vesicle	skeletal_muscle	skin	small_intestine	smooth_muscle	spleen	stomach	testis	thymus	thyroid_gland	tongue	tonsil	urinary_bladder	vagina
TG	1.5	3.1	0.5	7.4		1.2	2.2	2.9	0.0	0.9	1.9	0.3	8.0	12.7	3.2	3.1	3.6	11.2	1.1	6.9	2.5	1.0	0.2	3.4	0.1	0.1	3.6	1.7	2.4		1.6	0.1	1.7		2.8	0.4	8743.8	0.0	0.6	0.6	1.5
TPO	10.5	0.3	0.4	0.1		9.0	0.6	3.9	0.6	0.0	1.7	0.6	2.8	9.4	0.2	0.4	0.6	1.3	0.2	1.8	0.3	0.5	0.0	0.5	0.8	0.1	2.7	0.0	4.8		3.1	0.6	18.9		1.1	0.0	1387.6	5.2	0.3	2.1	0.8
TSHR	0.5	0.6	0.7	1.0		0.7	0.2	0.4	0.3	0.4	0.2	1.0	0.4	0.3	0.3	0.4	0.2	1.8	0.1	0.4	0.3	0.2	0.3	0.4	0.3	2.0	0.5	0.2	0.7		0.3	0.1	0.7		0.6	19.4	257.0	0.2	0.8	0.3	0.1
SLC5A5	0.0	0.0	0.2	0.2		0.1	5.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.1	60.7	0.0	0.4		0.2	0.0	0.2		0.4	0.0	11.2	0.0	0.1	0.2	0.0
DUOX1	0.8	10.0	1.2	0.3		6.3	65.5	0.6	0.7	77.7	69.8	15.2	3.5	2.0	0.7	0.1	46.0	0.6	1.0	0.3	6.5	0.7	1.7	8.4	0.4	1.2	11.5	15.2	0.5		0.9	0.4	0.5		1.3	1.4	59.2	0.0	20.0	8.8	26.5
DUOX2	0.5	1.3	20.3	0.0		0.3	12.3	10.9	1.4	3.0	20.3	0.4	273.1	0.7	0.9	0.7	2.4	0.1	0.5	1.2	0.2	0.1	0.0	11.1	5.2	0.0	4.3	1.8	0.0		7.6	2.5	0.0		1.3	0.0	70.8	0.0	4.0	86.8	20.7
IYD	0.1	0.0	0.5	0.3		0.4	0.1	6.0	17.0	0.6	0.1	0.0	8.3	0.5	24.8	31.4	0.7	0.5	0.0	0.4	0.0	0.0	0.0	0.2	6.2	0.2	0.1	0.0	0.0		18.5	0.2	0.1		0.2	0.0	442.1	0.0	0.1	0.1	0.0
PAX8	1.9	5.8	0.4	0.4		1.6	17.1	1.6	0.6	35.8	2.6	48.4	3.6	2.2	241.1	1.1	1.3	1.7	1.6	1.1	1.3	1.3	1.9	1.0	1.0	1.5	1.6	31.9	0.5		2.2	0.9	0.7		2.2	0.5	537.2	0.4	1.0	2.6	1.0
FOXE1	0.0	0.0	0.0	0.0		0.0	2.0	0.0	0.0	0.3	5.4	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.7	0.1	0.0		0.0	0.0	0.0		0.4	1.9	182.0	0.0	22.6	0.0	3.1
NKX2-1	0.0	0.1	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	52.0	0.0	0.1	0.1	0.0	11.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.1	0.0	162.9	0.0	0.0	0.0	0.0
DIO1	0.1	0.2	0.1	0.1		0.6	0.1	0.1	0.1	0.0	0.2	4.4	0.9	0.5	135.2	173.3	0.3	0.7	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.1		0.1	0.0	0.2		0.6	0.0	243.4	0.0	0.0	0.1	0.1
DIO2	1.4	3.0	0.6	0.1		14.3	153.7	1.3	1.2	0.4	56.8	0.6	4.7	11.1	4.6	0.1	1.5	0.7	0.2	1.7	6.2	29.7	13.6	8.6	1.5	6.9	31.3	28.6	6.3		1.4	4.2	0.5		4.4	1.1	332.6	65.9	31.2	5.6	25.0
