ligand_receptor,cluster_pair,mean,pval
"('TG', 'TPO')","('Epithelial cell', 'Epithelial cell')",4.638732469903523,0.0
"('IGFBP2', 'CD24')","('Epithelial cell', 'Epithelial cell')",1.3816159229351521,0.0
"('CLU', 'TYROBP')","('Epithelial cell', 'Epithelial cell')",1.2074674060673354,0.0
"('MDK', 'VEGFA')","('Epithelial cell', 'Epithelial cell')",0.5357914583550559,0.0
"('VEGFA', 'FLT1')","('Epithelial cell', 'Epithelial cell')",0.5266942942843718,0.0
"('VEGFA', 'KDR')","('Epithelial cell', 'Epithelial cell')",0.48916096008751836,0.0
"('KDR', 'VEGFA')","('Epithelial cell', 'Epithelial cell')",0.48916096008751836,0.0
"('VEGFA', 'PDGFRB')","('Epithelial cell', 'Epithelial cell')",0.48825711691868284,0.0
"('HLA-DRA', 'LGMN')","('Epithelial cell', 'Epithelial cell')",0.46453777274345964,0.0
"('ADM', 'TSHR')","('Epithelial cell', 'Epithelial cell')",0.4639940555082923,0.0
"('IGF1', 'VEGFA')","('Epithelial cell', 'Epithelial cell')",0.4432826492309004,0.0
"('FGF7', 'VEGFA')","('Epithelial cell', 'Epithelial cell')",0.44137224799383984,0.0
"('VEGFA', 'FLT4')","('Epithelial cell', 'Epithelial cell')",0.4402710287187047,0.0
"('MDK', 'TSPAN1')","('Epithelial cell', 'Epithelial cell')",0.43864405687302965,0.0
"('TSPAN1', 'ITGA6')","('Epithelial cell', 'Epithelial cell')",0.3410550400535053,0.0
"('COMP', 'ITGB6')","('Myeloid cell', 'T cell')",0.2628756856572801,0.0
"('S100A1', 'RYR2')","('Epithelial cell', 'Epithelial cell')",0.21779622392539671,0.0
"('KDR', 'PLCG2')","('Epithelial cell', 'Epithelial cell')",0.21443972506837625,0.0
"('KDR', 'CDH5')","('Epithelial cell', 'Epithelial cell')",0.15505952629317715,0.0
"('FLT4', 'KDR')","('Epithelial cell', 'Epithelial cell')",0.12167479711420397,0.0
"('KDR', 'FLT4')","('Epithelial cell', 'Epithelial cell')",0.12167479711420397,0.0
"('FGF7', 'FGFR2')","('Epithelial cell', 'Epithelial cell')",0.11583284552049156,0.0
"('CCL5', 'ACKR1')","('Epithelial cell', 'Epithelial cell')",0.11581411209583849,0.0
"('ANGPTL4', 'CDH5')","('Epithelial cell', 'Epithelial cell')",0.10706734854730196,0.0
"('ANGPT2', 'CDH5')","('Epithelial cell', 'Epithelial cell')",0.09327688026980707,0.0
"('MMRN2', 'CLEC14A')","('Epithelial cell', 'Epithelial cell')",0.07371536483384991,0.0
"('PTN', 'PTPRB')","('Epithelial cell', 'Epithelial cell')",0.06645131902686202,0.0
"('CCL5', 'TNFRSF4')","('Epithelial cell', 'Epithelial cell')",0.0541313680788625,0.0
"('ANGPTL4', 'CDH11')","('Epithelial cell', 'Epithelial cell')",0.051622535207763144,0.0
"('GAS1', 'PTCH1')","('Epithelial cell', 'Epithelial cell')",0.038730565575850695,0.0
