cluster_1,,Epithelial cell,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
cluster_2,,Epithelial cell,Myeloid cell,T cell,Epithelial cell,Myeloid cell,T cell,Epithelial cell,Myeloid cell,T cell
source,target,,,,,,,,,
CCL2,MMP14,0.060544279320425595,0.0,0.0,0.25941507561675725,0.0,0.0,0.10392786303484626,0.0,0.0
TNFSF9,TNFRSF9,0.0006334365600641469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.019709692689115918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.20487099804484413,0.16880178839340143,0.1787726948134319,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB5,CTSL,0.14763060692018223,0.2744120792023709,0.060888632552626026,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQA2,CTSL,0.14752684260009655,0.27430831488228524,0.06078486823254035,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB1,CTSL,0.4796706087006321,0.6064520809828208,0.3929286343330759,0.3960778328611676,0.5228593051433563,0.30933585849361145,0.5177559731455262,0.6445374454277149,0.43101399877797003
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRA,CTSL,0.43878420666789836,0.565565678950087,0.35204223230034215,0.5800435456468884,0.7068250179290771,0.4933015712793323,0.2064257065247244,0.33320717880691303,0.11968373215716818
IL1RN,IL1R2,0.009651826248591101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,IL1R2,0.006638551813750061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS1,SHH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,GAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1A,IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLL1,NOTCH3,0.1635623020532226,0.12749309240177992,0.13746399882181037,0.0,0.0,0.0,0.0,0.0,0.0
DLL4,NOTCH4,0.03986204311526112,0.15178338901775618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL13,IL13RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL22,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL20,IL20RA,0.004901907465957986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL24,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGF7,FGFR2,0.11583284552049156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL22,IL22RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL19,ACKR4,0.037133344292499024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL21,ACKR4,0.31150667743001464,0.0,0.0,0.0,0.0,0.0,0.23447864886948114,0.0,0.0
ADM,CALCRL,0.07065005090466157,0.0,0.0,0.0,0.0,0.0,0.13187187883556667,0.0,0.0
ADM,RAMP2,0.14950804868342263,0.16876599594587666,0.0,0.0,0.0,0.0,0.21072987661432774,0.22998782387678174,0.0
CALCA,CALCRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCA,RAMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCB,CALCRL,0.05514083796502293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCB,RAMP2,0.133998835743784,0.15325678300623802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM,RAMP3,0.18142161903038523,0.2288046519421993,0.0,0.0,0.0,0.0,0.2426434469612903,0.29002647987310437,0.0
CALCA,RAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCB,RAMP3,0.1659124060907466,0.21329543900256065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APELA,APLNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL17,CCR4,0.001300896287176911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL22,CCR4,0.0039803364839287505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL20,CCR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL19,CCR7,0.03949293914786139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL21,CCR7,0.313866272285377,0.0,0.0,0.0,0.0,0.0,0.2368382437248435,0.0,0.0
SAA1,FPR2,0.0019711228845662046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSPO3,LGR5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMU,NMUR2,0.0022234571649428995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SST,SSTR1,0.0008873352675797751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SST,SSTR2,0.005250593973849405,0.2554202443138163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF,HMOX1,0.014542030043284665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRA,LGMN,0.46453777274345964,0.43238349107497515,0.0,0.6057971117224498,0.5736428300539653,0.0,0.2321792726002857,0.20002499093180118,0.0
HLA-DRB5,LGMN,0.17338417299574355,0.14122989132725902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQA2,LGMN,0.17328040867565786,0.14112612700717334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB1,LGMN,0.5054241747761934,0.4732698931077089,0.0,0.42183139893672894,0.3896771172682444,0.0,0.5435095392210876,0.511355257552603,0.0
HLA-DQB2,LGMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMA3,ITGA6,0.03969767996936204,0.0,0.07328877631634441,0.0,0.0,0.0,0.09495752578436528,0.0,0.12854862213134766
VEGFD,KDR,0.08574916371899706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSG,C3,0.2502743089068028,0.4181383182906141,0.15019392015696306,0.0,0.0,0.0,0.0,0.0,0.0
CGA,TSHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGFA,FLT1,0.5266942942843718,0.6953836345842603,0.0,0.5220479767059047,0.6907373170057933,0.0,0.2035879894974416,0.3722773297973301,0.0
PLAUR,PLAU,0.009639245799376861,0.11176929289538168,0.0,0.0,0.0,0.0,0.07952576110745743,0.18165580820346225,0.0
OSM,LIFR,0.2890943282959508,0.46891135117232763,0.07186519030162355,0.0,0.0,0.0,0.0,0.0,0.0
VEGFA,KDR,0.48916096008751836,0.0,0.0,0.48451464250905135,0.0,0.0,0.1660546553005882,0.0,0.0
KDR,VEGFA,0.48916096008751836,0.48451464250905135,0.1660546553005882,0.0,0.0,0.0,0.0,0.0,0.0
HLA-G,CD160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDN1,EDNRB,0.07759000462785903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMA4,ITGA6,0.0659951440507432,0.0,0.09958624039772557,0.0,0.0,0.0,0.0,0.0,0.0
VWF,GP9,0.27466450374854584,0.0,0.0,0.10809598096374665,0.0,0.0,0.1862896381719267,0.0,0.0
VEGFD,FLT4,0.0368592323501834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL2,CCR4,0.021464510176129378,0.0,0.0,0.220335306472461,0.0,0.0,0.06484809389055005,0.0,0.0
TG,TPO,4.638732469903523,3.844360113143921,3.2940960759701934,4.27074984394222,3.476377487182617,2.9261134500088897,4.104586876260335,3.3102145195007324,2.759950482327005
HLA-G,KLRC1,0.0032396557886403585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMP9,LRP1,0.18849287987357438,0.3635802095799097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMRN2,CD93,0.10367268880810401,0.0,0.09123817924494312,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN1,ITGA6,0.3410550400535053,0.0,0.37464613640048766,0.0,0.0,0.0,0.0,0.0,0.0
MMRN2,CLEC14A,0.07371536483384991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAA1,CD36,0.1069823192013068,0.38302053300419237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LY6H,CD36,0.10781983622148925,0.38385805002437484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL11,ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL13,ACKR1,0.0735451737225091,0.0,0.0,0.2243265831888395,0.0,0.0,0.0,0.0,0.0
CCL14,ACKR1,0.1848018987683122,0.0,0.0,0.3198428078910388,0.0,0.0,0.0,0.0,0.0
CCL17,ACKR1,0.07154950079858409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL2,ACKR1,0.09171311468753655,0.0,0.0,0.29058391098386815,0.0,0.0,0.1350966984019572,0.0,0.0
CCL5,ACKR1,0.11581411209583849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL8,ACKR1,0.0752183446838823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBP,ACKR1,0.07197366296288801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL1,ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL2,ACKR1,0.07389780421272601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL13,ACKR4,0.0032057532829255202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL5,CCR4,0.04556550758443131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFB1,CCR6,0.004155963260859729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL23,FPR2,0.000659355080276462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCN,KDR,0.8381629740278139,0.0,0.0,1.3636408535164875,0.0,0.0,0.7700326413046298,0.0,0.0
GREM1,KDR,0.09235068751953929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,LDLR,0.26840454304565364,0.0,0.0,0.4009028400382469,0.0,0.0,0.07206077715721941,0.0,0.0
MDK,LRP1,0.3172437531637848,0.4923310828701202,0.0,0.3263058295242147,0.5013931592305501,0.0,0.0,0.0,0.0
DLK1,NOTCH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLL4,NOTCH3,0.15460489932901436,0.11853568967757167,0.12850659609760212,0.0,0.0,0.0,0.0,0.0,0.0
DLL1,NOTCH4,0.04881944583946937,0.16074079174196443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH4,0.09012814183109089,0.20204948773358594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLK1,NOTCH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
