generation	pulls_cd8_reweight	pulls_cd4_reweight	pulls_public_reweight	pulls_axis_shift	pulls_synergy_shift	pulls_gate_shift	pulls_transform_flip	reward_cd8_reweight	reward_cd4_reweight	reward_public_reweight	reward_axis_shift	reward_synergy_shift	reward_gate_shift	reward_transform_flip
0	20	16	22	19	19	16	20	0.08019147286261863	0.05107775987516017	0.0744459459571244	0.04957857171769664	0.12508700666417527	0.08384144449450348	0.07716282011939579
1	46	25	33	44	41	37	38	0.12088507859661868	0.07236136963390094	0.0744459459571244	0.1704870072047543	0.18366960050930592	0.10552146679477958	0.1485141171466775
2	66	41	55	61	62	58	53	0.12437058925226097	0.13124248779329106	0.11159255357483122	0.19657861125221	0.24723880098119322	0.1300337247325536	0.1935195422935545
3	82	68	73	80	80	76	69	0.17167547374301007	0.18053251399845238	0.12059395602572776	0.2044016825488314	0.2835074995453075	0.20130616736637685	0.20818546564440943
4	105	88	96	99	95	90	87	0.22259301541190746	0.20083957961658472	0.17453016238564512	0.2401178142684438	0.31572738926763655	0.2276214736604859	0.27263434563775246
5	109	110	106	113	125	115	114	0.22259301541190746	0.22812649029306642	0.18282931394720714	0.2624813754158597	0.4104816472847408	0.2936040050840779	0.28311114699352824
6	129	127	124	130	144	136	134	0.26045505798533264	0.2466971446732621	0.2135396921536894	0.27983342645385134	0.4360485046450201	0.33824834168659745	0.32115821488138874
7	148	146	141	148	165	154	154	0.2901476594907362	0.2720993465556508	0.22027111374955	0.2907725263864058	0.47389214967452875	0.353023266009733	0.34852461427995873
8	166	164	160	167	184	172	175	0.3091856094338158	0.2922252685630461	0.2514492266067474	0.3163085150369792	0.49856036830287365	0.37471442857931136	0.40083120275595097
9	184	183	176	185	205	193	194	0.3310002006744591	0.3199699675505667	0.2533849347530144	0.3431975345098236	0.5333720768759941	0.4192041220109385	0.43186970478177655
10	203	201	194	203	225	212	214	0.3481380351499974	0.3307288561732037	0.2624280578960312	0.3447961809882074	0.5481618655625204	0.4269879285426692	0.4454966358198774
11	222	221	211	222	244	231	233	0.3613860360737067	0.3572660610600089	0.2682953295339009	0.36692605784893584	0.5691035059948659	0.45002540028705174	0.4622856753418586
12	239	240	230	241	265	250	251	0.36568250479441633	0.36690422815341805	0.2853635689515839	0.37535069636104446	0.5878667946306998	0.4581474374536224	0.46478801529998415
13	257	258	249	259	284	271	270	0.3721105248934008	0.37810534728907363	0.30579820490678333	0.3830931535736246	0.5920278019072192	0.48926757983309466	0.47354509524352184
14	276	277	267	277	302	293	288	0.3799859284698178	0.39134169908739036	0.3081296296134103	0.3850799479606254	0.5920278019072192	0.514923786009614	0.4735570209301202
15	295	297	285	296	321	312	306	0.3904638042550267	0.4068894781751118	0.31086798765665014	0.4012485660808168	0.5925488926809731	0.525970386732917	0.4775366112933713
16	315	315	302	316	340	331	325	0.4070545451276141	0.4117776055839889	0.3112178339588464	0.41916785132552603	0.599547839180908	0.5357727087272551	0.4883656060776336
17	333	335	320	334	359	352	343	0.4163986770931709	0.4244694935041947	0.3179522136377253	0.42255676452888924	0.6038629034684848	0.5516035552178996	0.48922344346056224
18	352	354	339	353	377	371	362	0.4211780805127048	0.43627924720622824	0.32745071096299316	0.426595188614568	0.6039535921843937	0.5609475872399462	0.49168805130723636
19	371	373	357	372	396	390	381	0.4251596757781526	0.4393594425123847	0.3287656788065899	0.433115251478999	0.6072650058950797	0.5637004162183661	0.49373130453551295
20	388	393	378	389	416	410	398	0.42713378388518997	0.4585465078062543	0.35549190350532955	0.43312260730102725	0.6170039142875342	0.5749540833919543	0.4963099587533317
21	406	413	396	408	434	428	419	0.42713378388518997	0.46791257630934746	0.35549190350532955	0.44140454648539473	0.6175667607309681	0.5749540833919543	0.5098173597831134
22	424	431	413	427	454	449	438	0.4296393960050262	0.4738802408861309	0.35865715784093966	0.4504739433192593	0.6288494867038815	0.5869975163553942	0.5175189607749043
23	442	449	431	447	475	468	456	0.43039547329115235	0.4743439993260842	0.36316497298853656	0.46263402613414706	0.6457226583105712	0.59846130265922	0.5192836891120107
24	460	468	449	465	495	488	475	0.4316130835655496	0.4823980698035266	0.36737494054595354	0.4671656203290203	0.6532904681669944	0.6079836896639771	0.5276210833857997
25	479	487	468	484	514	506	494	0.43750035413121136	0.48699392481068227	0.37159718527474994	0.4689917902386197	0.6549574666032703	0.6079836896639771	0.5314261119986157
26	497	506	487	502	533	526	513	0.4398376441624	0.49057022347304025	0.37580660931843646	0.47077261024465744	0.6566255410544686	0.615558618857883	0.5368822601752671
